MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,16.44,-999.00,-999.00,16.52,-999.00,-999.00,-999.00,16.12,20.43,21.59,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,15.71,13.38,16.10,-999.00,15.57,13.40,15.87,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,15.48,15.44,12.49,-999.00,-999.00,15.30,12.51,-999.00,19.61,20.37,-999.00,-999.00
CESM2,15.74,15.61,-999.00,15.62,19.70,15.47,-999.00,15.38,21.12,23.96,-999.00,-999.00
CNRM-CM5,16.18,16.34,14.17,-999.00,-999.00,16.19,14.19,-999.00,20.07,21.44,-999.00,-999.00
CNRM-CM6-1,16.19,-999.00,-999.00,16.56,-999.00,-999.00,-999.00,16.28,21.70,23.52,-999.00,-999.00
COSMOS-ASO,15.42,-999.00,11.26,-999.00,-999.00,-999.00,11.28,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,15.62,15.68,-999.00,-999.00,-999.00,15.54,-999.00,-999.00,19.11,21.18,-999.00,-999.00
CSIRO-Mk3L-1-2,17.20,17.13,-999.00,-999.00,-999.00,16.98,-999.00,-999.00,20.09,-999.00,-999.00,-999.00
EC-EARTH-2-2,14.84,14.94,-999.00,-999.00,-999.00,14.81,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,17.22,17.05,-999.00,-999.00,-999.00,16.90,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,15.68,15.25,-999.00,15.17,-999.00,15.10,-999.00,14.94,20.68,20.98,-999.00,-999.00
FGOALS-g2,14.64,14.07,11.36,-999.00,-999.00,13.93,11.38,-999.00,18.51,19.53,-999.00,-999.00
FGOALS-g3,16.03,16.04,-999.00,16.50,-999.00,15.91,-999.00,16.25,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,16.46,16.36,-999.00,-999.00,-999.00,16.23,-999.00,-999.00,21.20,23.29,-999.00,-999.00
GISS-E2-1-G,15.74,15.31,-999.00,15.66,17.46,15.16,-999.00,15.38,16.61,21.21,-999.00,-999.00
GISS-E2-R,16.63,16.32,14.05,-999.00,-999.00,16.18,14.07,-999.00,19.87,20.31,-999.00,-999.00
HadCM3,14.38,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,15.65,15.68,-999.00,-999.00,-999.00,15.53,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,15.92,15.90,-999.00,-999.00,-999.00,15.76,-999.00,-999.00,20.14,21.66,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,15.86,-999.00,16.03,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,15.73,15.57,14.17,15.72,-999.00,15.43,14.19,15.44,18.67,19.12,-999.00,-999.00
IPSL-CM5A-LR,13.36,13.17, 9.97,-999.00,-999.00,13.04, 9.98,-999.00,17.87,20.12,-999.00,-999.00
IPSL-CM6A-LR,15.00,14.67,-999.00,14.62,17.02,14.53,-999.00,14.40,20.05,23.50,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,17.35,16.94,15.86,16.93,-999.00,16.81,15.88,16.71,20.72,21.45,-999.00,-999.00
MIROC-ESM,14.67,14.44,12.72,-999.00,-999.00,14.33,12.74,-999.00,18.62,20.77,-999.00,-999.00
MPI-ESM1-2-LR,16.19,15.95,13.32,15.97,-999.00,15.79,-999.00,16.29,21.32,21.65,-999.00,-999.00
MPI-ESM-P,16.22,15.99,13.15,-999.00,-999.00,15.84,13.17,-999.00,20.81,22.37,-999.00,-999.00
MRI-CGCM3,17.46,17.33,13.63,-999.00,-999.00,17.18,13.65,-999.00,20.65,21.45,-999.00,-999.00
MRI-ESM2-0,15.48,15.32,-999.00,-999.00,-999.00,15.18,-999.00,-999.00,19.56,20.78,-999.00,-999.00
NESM3,17.44,17.51,-999.00,18.26,-999.00,17.33,-999.00,17.93,23.09,24.34,-999.00,-999.00
NorESM1-F,17.20,16.92,-999.00,17.05,18.38,16.78,-999.00,16.80,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,16.65,16.45,-999.00,16.39,-999.00,16.32,-999.00,16.16,19.43,23.54,-999.00,-999.00
UofT-CCSM-4,15.27,15.24,11.41,-999.00,-999.00,15.10,11.43,-999.00,-999.00,-999.00,-999.00,-999.00
