MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.96,-999.00,-999.00, 0.56,-999.00,-999.00,-999.00, 0.67, 1.32, 1.28,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.50, 0.45, 0.56,-999.00, 0.53, 0.43, 0.62,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.74, 0.58, 0.42,-999.00,-999.00, 0.60, 0.41,-999.00, 0.66,-999.00,-999.00,-999.00
CESM2, 1.29, 0.99,-999.00, 0.75,-999.00, 1.01,-999.00, 0.82, 1.73, 1.49,-999.00,-999.00
CNRM-CM5, 0.77, 0.56, 0.52,-999.00,-999.00, 0.57, 0.51,-999.00, 0.99, 1.05,-999.00,-999.00
CNRM-CM6-1, 0.77,-999.00,-999.00, 0.44,-999.00,-999.00,-999.00,-999.00, 1.13, 0.99,-999.00,-999.00
COSMOS-ASO, 0.97,-999.00, 0.45,-999.00,-999.00,-999.00, 0.45,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.01, 1.04,-999.00,-999.00,-999.00, 1.00,-999.00,-999.00, 1.02, 0.79,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.68, 0.60,-999.00,-999.00,-999.00, 0.57,-999.00,-999.00, 0.63,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.44, 0.32,-999.00,-999.00,-999.00, 0.33,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.79, 0.45,-999.00,-999.00,-999.00, 0.46,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.18, 1.21,-999.00, 1.11,-999.00, 1.14,-999.00, 1.07, 1.40, 1.40,-999.00,-999.00
FGOALS-g2, 0.66, 0.51, 0.41,-999.00,-999.00, 0.52, 0.40,-999.00, 0.59, 0.73,-999.00,-999.00
FGOALS-g3, 1.15, 0.80,-999.00, 0.86,-999.00, 0.81,-999.00, 0.83,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.48, 0.44,-999.00,-999.00,-999.00, 0.44,-999.00,-999.00, 0.70, 0.67,-999.00,-999.00
GISS-E2-1-G, 1.24, 0.97,-999.00, 1.03,-999.00, 0.97,-999.00, 0.95, 1.16, 0.92,-999.00,-999.00
GISS-E2-R, 0.72, 0.60, 0.54,-999.00,-999.00, 0.61, 0.53,-999.00, 0.77, 0.73,-999.00,-999.00
HadCM3, 0.72,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.51, 0.46,-999.00,-999.00,-999.00, 0.44,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.55, 0.41,-999.00,-999.00,-999.00, 0.41,-999.00,-999.00, 0.46, 0.53,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.69,-999.00, 0.43,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.42, 0.41, 0.47, 0.34,-999.00, 0.41, 0.46, 0.32, 0.38, 0.43,-999.00,-999.00
IPSL-CM5A-LR, 0.45, 0.42, 0.35,-999.00,-999.00, 0.42, 0.34,-999.00, 0.55, 0.66,-999.00,-999.00
IPSL-CM6A-LR, 0.58, 0.81,-999.00, 0.72,-999.00, 0.84,-999.00, 0.77, 0.90, 0.95,-999.00,-999.00
KCM1-2-2, 0.82, 0.70,-999.00,-999.00,-999.00, 0.70,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.32, 0.26, 0.29,-999.00,-999.00, 0.25, 0.28, 0.22, 0.43, 0.41,-999.00,-999.00
MIROC-ESM, 0.26, 0.28, 0.25,-999.00,-999.00, 0.28, 0.24,-999.00, 0.19, 0.20,-999.00,-999.00
MPI-ESM1-2-LR, 0.77, 0.65, 0.54,-999.00,-999.00, 0.63,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.52, 0.43, 0.36,-999.00,-999.00, 0.43, 0.35,-999.00, 1.07, 1.44,-999.00,-999.00
MRI-CGCM3, 0.98, 0.99, 0.59,-999.00,-999.00, 0.99, 0.56,-999.00, 1.15, 1.52,-999.00,-999.00
MRI-ESM2-0, 1.11, 0.74,-999.00,-999.00,-999.00, 0.74,-999.00,-999.00, 1.38, 1.41,-999.00,-999.00
NESM3, 0.94, 0.79,-999.00, 0.68,-999.00, 0.79,-999.00, 0.63, 1.18, 1.12,-999.00,-999.00
NorESM1-F, 0.67, 0.56,-999.00, 0.40,-999.00, 0.58,-999.00, 0.42,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.06, 0.95,-999.00,-999.00,-999.00, 0.97,-999.00,-999.00, 1.56, 1.53,-999.00,-999.00
UofT-CCSM-4, 0.44, 0.34, 0.40,-999.00,-999.00, 0.35, 0.39,-999.00,-999.00,-999.00,-999.00,-999.00
