MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,27.09,-999.00,-999.00,26.93,-999.00,-999.00,-999.00,27.01,31.19,32.06,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,23.41,21.85,23.58,-999.00,23.44,21.85,23.68,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,24.14,23.76,20.91,-999.00,-999.00,23.78,20.91,-999.00,27.74,28.18,-999.00,-999.00
CESM2,25.47,25.08,-999.00,25.04,28.53,25.11,-999.00,25.15,30.03,31.77,-999.00,-999.00
CNRM-CM5,24.05,23.91,21.85,-999.00,-999.00,23.93,21.85,-999.00,27.42,28.42,-999.00,-999.00
CNRM-CM6-1,23.60,-999.00,-999.00,23.75,-999.00,-999.00,-999.00,23.84,28.81,29.90,-999.00,-999.00
COSMOS-ASO,25.94,-999.00,21.51,-999.00,-999.00,-999.00,21.51,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,26.43,26.08,-999.00,-999.00,-999.00,26.12,-999.00,-999.00,30.23,32.23,-999.00,-999.00
CSIRO-Mk3L-1-2,25.65,25.29,-999.00,-999.00,-999.00,25.31,-999.00,-999.00,28.79,-999.00,-999.00,-999.00
EC-EARTH-2-2,21.27,21.03,-999.00,-999.00,-999.00,21.04,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,22.99,22.61,-999.00,-999.00,-999.00,22.63,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,24.55,23.98,-999.00,23.90,-999.00,24.01,-999.00,24.01,28.99,28.97,-999.00,-999.00
FGOALS-g2,23.59,22.61,19.80,-999.00,-999.00,22.63,19.80,-999.00,26.15,28.15,-999.00,-999.00
FGOALS-g3,24.50,24.38,-999.00,24.56,-999.00,24.40,-999.00,24.67,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,25.40,24.95,-999.00,-999.00,-999.00,24.97,-999.00,-999.00,28.84,30.28,-999.00,-999.00
GISS-E2-1-G,25.28,24.78,-999.00,24.91,26.89,24.79,-999.00,25.00,26.00,29.41,-999.00,-999.00
GISS-E2-R,24.73,24.38,22.04,-999.00,-999.00,24.40,22.05,-999.00,28.01,28.74,-999.00,-999.00
HadCM3,25.94,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,25.53,25.39,-999.00,-999.00,-999.00,25.41,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,25.98,25.96,-999.00,-999.00,-999.00,25.98,-999.00,-999.00,30.67,32.05,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,24.98,-999.00,25.63,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,25.04,24.66,22.83,24.76,-999.00,24.68,22.83,24.83,27.43,27.75,-999.00,-999.00
IPSL-CM5A-LR,23.72,23.39,20.44,-999.00,-999.00,23.43,20.44,-999.00,28.17,29.78,-999.00,-999.00
IPSL-CM6A-LR,23.97,23.45,-999.00,23.57,26.62,23.47,-999.00,23.65,28.85,31.89,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,25.11,24.44,23.01,24.31,-999.00,24.46,23.01,24.41,27.96,28.38,-999.00,-999.00
MIROC-ESM,24.45,23.97,22.07,-999.00,-999.00,23.99,22.07,-999.00,28.30,30.07,-999.00,-999.00
MPI-ESM1-2-LR,24.26,23.70,21.96,25.56,-999.00,23.73,-999.00,25.60,28.45,28.58,-999.00,-999.00
MPI-ESM-P,25.02,24.65,22.15,-999.00,-999.00,24.67,22.15,-999.00,29.45,30.92,-999.00,-999.00
MRI-CGCM3,24.06,23.70,21.02,-999.00,-999.00,23.72,21.02,-999.00,27.12,27.92,-999.00,-999.00
MRI-ESM2-0,25.06,24.52,-999.00,-999.00,-999.00,24.55,-999.00,-999.00,28.37,29.19,-999.00,-999.00
NESM3,23.78,23.44,-999.00,23.72,-999.00,23.46,-999.00,23.81,28.88,29.65,-999.00,-999.00
NorESM1-F,25.01,24.53,-999.00,24.44,26.15,24.56,-999.00,24.56,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,25.80,25.40,-999.00,25.29,-999.00,25.43,-999.00,25.41,28.89,31.46,-999.00,-999.00
UofT-CCSM-4,24.09,23.72,21.75,-999.00,-999.00,23.75,21.75,-999.00,-999.00,-999.00,-999.00,-999.00
