MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.91,-999.00,-999.00, 1.67,-999.00,-999.00,-999.00, 1.64, 1.02, 1.06,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.90, 0.83, 1.63,-999.00, 0.90, 0.83, 1.61,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.76, 0.84, 1.03,-999.00,-999.00, 0.83, 1.03,-999.00, 0.88, 0.89,-999.00,-999.00
CESM2, 0.83, 0.99,-999.00, 1.79, 0.98, 0.98,-999.00, 1.76, 0.94, 0.96,-999.00,-999.00
CNRM-CM5, 0.77, 0.76, 0.99,-999.00,-999.00, 0.75, 0.99,-999.00, 0.83, 0.87,-999.00,-999.00
CNRM-CM6-1, 0.76,-999.00,-999.00, 1.54,-999.00,-999.00,-999.00, 1.52, 0.90, 0.95,-999.00,-999.00
COSMOS-ASO, 0.85,-999.00, 1.12,-999.00,-999.00,-999.00, 1.12,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.17, 1.37,-999.00,-999.00,-999.00, 1.36,-999.00,-999.00, 1.15, 1.14,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.86, 0.92,-999.00,-999.00,-999.00, 0.91,-999.00,-999.00, 0.89,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.44, 0.54,-999.00,-999.00,-999.00, 0.54,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.69, 0.74,-999.00,-999.00,-999.00, 0.73,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.94, 1.05,-999.00, 1.73,-999.00, 1.02,-999.00, 1.71, 1.07, 1.02,-999.00,-999.00
FGOALS-g2, 0.96, 0.91, 0.98,-999.00,-999.00, 0.90, 0.99,-999.00, 0.92, 1.13,-999.00,-999.00
FGOALS-g3, 0.99, 0.97,-999.00, 1.69,-999.00, 0.96,-999.00, 1.66,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.83, 0.88,-999.00,-999.00,-999.00, 0.87,-999.00,-999.00, 0.90, 1.01,-999.00,-999.00
GISS-E2-1-G, 0.89, 0.83,-999.00, 1.46, 0.90, 0.82,-999.00, 1.43, 0.91, 0.91,-999.00,-999.00
GISS-E2-R, 0.72, 0.64, 0.96,-999.00,-999.00, 0.63, 0.96,-999.00, 0.70, 0.70,-999.00,-999.00
HadCM3, 0.77,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.81, 0.82,-999.00,-999.00,-999.00, 0.81,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.81, 0.77,-999.00,-999.00,-999.00, 0.76,-999.00,-999.00, 0.87, 0.93,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.91,-999.00, 1.76,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.57, 0.76, 0.90, 1.33,-999.00, 0.75, 0.90, 1.30, 0.60, 0.60,-999.00,-999.00
IPSL-CM5A-LR, 0.95, 1.10, 1.04,-999.00,-999.00, 1.10, 1.04,-999.00, 1.08, 1.21,-999.00,-999.00
IPSL-CM6A-LR, 0.69, 0.81,-999.00, 1.42, 0.70, 0.80,-999.00, 1.39, 0.78, 0.86,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.91, 0.91, 0.92, 1.60,-999.00, 0.90, 0.92, 1.57, 0.97, 0.92,-999.00,-999.00
MIROC-ESM, 1.08, 1.08, 1.26,-999.00,-999.00, 1.07, 1.26,-999.00, 1.07, 1.10,-999.00,-999.00
MPI-ESM1-2-LR, 0.96, 1.01, 0.98, 0.75,-999.00, 1.00,-999.00, 0.75, 0.87, 0.95,-999.00,-999.00
MPI-ESM-P, 1.09, 1.03, 1.16,-999.00,-999.00, 1.02, 1.16,-999.00, 1.10, 1.29,-999.00,-999.00
MRI-CGCM3, 0.81, 0.89, 1.05,-999.00,-999.00, 0.88, 1.05,-999.00, 0.96, 1.02,-999.00,-999.00
MRI-ESM2-0, 0.99, 1.03,-999.00,-999.00,-999.00, 1.02,-999.00,-999.00, 1.18, 1.23,-999.00,-999.00
NESM3, 0.79, 0.80,-999.00, 1.59,-999.00, 0.79,-999.00, 1.56, 0.75, 0.78,-999.00,-999.00
NorESM1-F, 1.12, 1.26,-999.00, 2.00, 1.09, 1.25,-999.00, 1.96,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.96, 1.19,-999.00, 1.99,-999.00, 1.18,-999.00, 1.96, 0.98, 1.12,-999.00,-999.00
UofT-CCSM-4, 0.82, 0.93, 0.90,-999.00,-999.00, 0.92, 0.90,-999.00,-999.00,-999.00,-999.00,-999.00
