MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,26.81,-999.00,-999.00,27.09,-999.00,-999.00,-999.00,27.46,30.87,31.72,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,24.12,21.72,24.40,-999.00,24.21,21.71,24.80,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,24.10,24.36,20.77,-999.00,-999.00,24.42,20.76,-999.00,27.73,28.15,-999.00,-999.00
CESM2,25.47,25.79,-999.00,25.66,28.58,25.86,-999.00,26.09,30.00,31.71,-999.00,-999.00
CNRM-CM5,23.77,24.31,21.65,-999.00,-999.00,24.37,21.64,-999.00,27.22,28.23,-999.00,-999.00
CNRM-CM6-1,23.44,-999.00,-999.00,24.33,-999.00,-999.00,-999.00,24.74,28.68,29.76,-999.00,-999.00
COSMOS-ASO,25.62,-999.00,21.24,-999.00,-999.00,-999.00,21.23,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,26.51,26.81,-999.00,-999.00,-999.00,26.94,-999.00,-999.00,30.05,31.99,-999.00,-999.00
CSIRO-Mk3L-1-2,25.38,25.47,-999.00,-999.00,-999.00,25.54,-999.00,-999.00,28.55,-999.00,-999.00,-999.00
EC-EARTH-2-2,21.29,21.53,-999.00,-999.00,-999.00,21.57,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,23.02,23.19,-999.00,-999.00,-999.00,23.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,24.54,24.64,-999.00,24.46,-999.00,24.72,-999.00,24.90,28.93,28.86,-999.00,-999.00
FGOALS-g2,23.39,23.00,19.39,-999.00,-999.00,23.08,19.38,-999.00,26.01,28.13,-999.00,-999.00
FGOALS-g3,24.40,24.91,-999.00,25.00,-999.00,24.99,-999.00,25.41,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,25.23,25.32,-999.00,-999.00,-999.00,25.39,-999.00,-999.00,28.58,30.04,-999.00,-999.00
GISS-E2-1-G,25.05,25.12,-999.00,25.17,26.57,25.18,-999.00,25.52,25.72,29.22,-999.00,-999.00
GISS-E2-R,24.42,24.61,21.85,-999.00,-999.00,24.66,21.84,-999.00,27.59,28.41,-999.00,-999.00
HadCM3,26.08,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,25.34,25.82,-999.00,-999.00,-999.00,25.90,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,25.75,26.34,-999.00,-999.00,-999.00,26.41,-999.00,-999.00,30.61,32.03,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,25.63,-999.00,26.47,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,25.19,25.47,22.83,25.50,-999.00,25.52,22.83,25.80,27.51,27.84,-999.00,-999.00
IPSL-CM5A-LR,23.75,24.23,20.30,-999.00,-999.00,24.35,20.29,-999.00,28.29,29.90,-999.00,-999.00
IPSL-CM6A-LR,24.13,24.28,-999.00,24.29,26.72,24.35,-999.00,24.64,28.98,31.99,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,24.89,24.90,22.69,24.47,-999.00,24.99,22.68,24.90,27.71,28.11,-999.00,-999.00
MIROC-ESM,24.23,24.29,21.79,-999.00,-999.00,24.39,21.77,-999.00,27.92,29.58,-999.00,-999.00
MPI-ESM1-2-LR,23.93,24.09,21.71,26.10,-999.00,24.18,-999.00,26.21,28.26,28.31,-999.00,-999.00
MPI-ESM-P,24.61,25.02,21.60,-999.00,-999.00,25.13,21.59,-999.00,28.95,30.36,-999.00,-999.00
MRI-CGCM3,24.12,24.44,21.09,-999.00,-999.00,24.50,21.08,-999.00,27.12,27.87,-999.00,-999.00
MRI-ESM2-0,24.86,25.03,-999.00,-999.00,-999.00,25.09,-999.00,-999.00,28.16,29.06,-999.00,-999.00
NESM3,23.71,24.13,-999.00,24.38,-999.00,24.17,-999.00,24.73,28.69,29.45,-999.00,-999.00
NorESM1-F,25.20,25.41,-999.00,25.10,26.49,25.51,-999.00,25.56,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,25.80,26.15,-999.00,25.91,-999.00,26.26,-999.00,26.42,28.89,31.41,-999.00,-999.00
UofT-CCSM-4,24.20,24.37,21.73,-999.00,-999.00,24.45,21.72,-999.00,-999.00,-999.00,-999.00,-999.00
