MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.42,-999.00,-999.00, 0.39,-999.00,-999.00,-999.00, 0.40, 0.69, 0.93,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.50, 0.47, 0.43,-999.00, 0.49, 0.47, 0.42,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.51, 0.54, 0.37,-999.00,-999.00, 0.52, 0.36,-999.00, 0.42,-999.00,-999.00,-999.00
CESM2, 0.56, 0.56,-999.00, 0.55,-999.00, 0.54,-999.00, 0.53, 0.60, 0.64,-999.00,-999.00
CNRM-CM5, 0.50, 0.51, 0.44,-999.00,-999.00, 0.50, 0.44,-999.00, 0.51, 0.57,-999.00,-999.00
CNRM-CM6-1, 0.41,-999.00,-999.00, 0.34,-999.00,-999.00,-999.00,-999.00, 0.59, 0.77,-999.00,-999.00
COSMOS-ASO, 0.71,-999.00, 0.56,-999.00,-999.00,-999.00, 0.53,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.52, 0.51,-999.00,-999.00,-999.00, 0.48,-999.00,-999.00, 0.72, 0.92,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.83, 0.93,-999.00,-999.00,-999.00, 0.91,-999.00,-999.00, 0.62,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.46, 0.53,-999.00,-999.00,-999.00, 0.52,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.47, 0.60,-999.00,-999.00,-999.00, 0.58,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.86, 0.83,-999.00, 0.61,-999.00, 0.77,-999.00, 0.58, 0.85, 0.76,-999.00,-999.00
FGOALS-g2, 0.50, 0.47, 0.35,-999.00,-999.00, 0.46, 0.34,-999.00, 0.31, 0.53,-999.00,-999.00
FGOALS-g3, 0.45, 0.43,-999.00, 0.41,-999.00, 0.41,-999.00, 0.40,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.71, 0.78,-999.00,-999.00,-999.00, 0.76,-999.00,-999.00, 1.04, 0.87,-999.00,-999.00
GISS-E2-1-G, 0.89, 0.86,-999.00, 0.80,-999.00, 0.83,-999.00, 0.78, 0.80, 0.99,-999.00,-999.00
GISS-E2-R, 0.50, 0.52, 0.38,-999.00,-999.00, 0.52, 0.37,-999.00, 0.49, 0.35,-999.00,-999.00
HadCM3, 0.54,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.54, 0.46,-999.00,-999.00,-999.00, 0.44,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.46, 0.39,-999.00,-999.00,-999.00, 0.37,-999.00,-999.00, 0.51, 0.74,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.55,-999.00, 0.43,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.29, 0.32, 0.32, 0.28,-999.00, 0.31, 0.32, 0.28, 0.28, 0.30,-999.00,-999.00
IPSL-CM5A-LR, 0.31, 0.28, 0.23,-999.00,-999.00, 0.27, 0.23,-999.00, 0.29, 0.23,-999.00,-999.00
IPSL-CM6A-LR, 0.24, 0.25,-999.00, 0.23,-999.00, 0.24,-999.00, 0.23, 0.33, 0.36,-999.00,-999.00
KCM1-2-2, 1.02, 0.85,-999.00,-999.00,-999.00, 0.85,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.55, 0.57, 0.46,-999.00,-999.00, 0.55, 0.46, 0.39, 0.61, 0.65,-999.00,-999.00
MIROC-ESM, 0.26, 0.25, 0.30,-999.00,-999.00, 0.25, 0.29,-999.00, 0.28, 0.32,-999.00,-999.00
MPI-ESM1-2-LR, 0.83, 0.82, 0.69,-999.00,-999.00, 0.79,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.66, 0.74, 0.52,-999.00,-999.00, 0.71, 0.51,-999.00, 0.96, 1.28,-999.00,-999.00
MRI-CGCM3, 0.49, 0.43, 0.36,-999.00,-999.00, 0.41, 0.35,-999.00, 0.68, 0.77,-999.00,-999.00
MRI-ESM2-0, 0.57, 0.59,-999.00,-999.00,-999.00, 0.56,-999.00,-999.00, 0.99, 0.86,-999.00,-999.00
NESM3, 0.41, 0.42,-999.00, 0.48,-999.00, 0.41,-999.00, 0.47, 0.46, 0.51,-999.00,-999.00
NorESM1-F, 0.37, 0.36,-999.00, 0.39,-999.00, 0.35,-999.00, 0.38,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.67, 0.72,-999.00,-999.00,-999.00, 0.70,-999.00,-999.00, 0.92, 0.60,-999.00,-999.00
UofT-CCSM-4, 0.34, 0.37, 0.28,-999.00,-999.00, 0.35, 0.28,-999.00,-999.00,-999.00,-999.00,-999.00
