MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,28.30,-999.00,-999.00,28.84,-999.00,-999.00,-999.00,28.94,31.46,32.17,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,26.48,24.44,26.70,-999.00,26.51,24.43,26.87,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,26.91,27.13,24.44,-999.00,-999.00,27.13,24.44,-999.00,30.02,30.40,-999.00,-999.00
CESM2,27.55,27.78,-999.00,28.00,30.68,27.80,-999.00,28.17,31.52,33.06,-999.00,-999.00
CNRM-CM5,26.76,27.23,25.29,-999.00,-999.00,27.24,25.28,-999.00,29.73,30.61,-999.00,-999.00
CNRM-CM6-1,25.73,-999.00,-999.00,26.91,-999.00,-999.00,-999.00,27.12,30.08,30.97,-999.00,-999.00
COSMOS-ASO,26.77,-999.00,23.25,-999.00,-999.00,-999.00,23.25,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,27.51,27.69,-999.00,-999.00,-999.00,27.71,-999.00,-999.00,30.65,32.10,-999.00,-999.00
CSIRO-Mk3L-1-2,27.47,27.72,-999.00,-999.00,-999.00,27.74,-999.00,-999.00,30.18,-999.00,-999.00,-999.00
EC-EARTH-2-2,24.26,24.48,-999.00,-999.00,-999.00,24.50,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,25.38,25.65,-999.00,-999.00,-999.00,25.66,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,26.06,26.19,-999.00,26.37,-999.00,26.20,-999.00,26.57,29.93,29.88,-999.00,-999.00
FGOALS-g2,25.84,25.59,22.66,-999.00,-999.00,25.61,22.65,-999.00,28.43,30.15,-999.00,-999.00
FGOALS-g3,27.23,27.27,-999.00,27.74,-999.00,27.28,-999.00,27.87,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,26.85,27.06,-999.00,-999.00,-999.00,27.07,-999.00,-999.00,29.77,31.02,-999.00,-999.00
GISS-E2-1-G,26.97,27.07,-999.00,27.38,28.15,27.07,-999.00,27.55,27.59,30.69,-999.00,-999.00
GISS-E2-R,27.58,27.78,25.00,-999.00,-999.00,27.79,25.00,-999.00,30.16,30.39,-999.00,-999.00
HadCM3,28.33,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,26.99,27.47,-999.00,-999.00,-999.00,27.49,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,27.43,27.94,-999.00,-999.00,-999.00,27.96,-999.00,-999.00,30.86,32.01,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,27.87,-999.00,28.75,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,26.34,26.44,24.57,26.66,-999.00,26.45,24.57,26.78,28.70,29.00,-999.00,-999.00
IPSL-CM5A-LR,25.54,25.93,22.42,-999.00,-999.00,25.96,22.41,-999.00,29.56,31.16,-999.00,-999.00
IPSL-CM6A-LR,26.57,26.64,-999.00,26.76,28.69,26.66,-999.00,26.97,30.96,33.79,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,26.94,26.97,24.73,26.82,-999.00,27.01,24.73,27.05,29.88,30.27,-999.00,-999.00
MIROC-ESM,25.92,25.84,23.87,-999.00,-999.00,25.88,23.86,-999.00,29.31,30.87,-999.00,-999.00
MPI-ESM1-2-LR,26.84,27.13,24.76,27.23,-999.00,27.17,-999.00,27.26,30.80,30.92,-999.00,-999.00
MPI-ESM-P,26.92,27.14,24.50,-999.00,-999.00,27.17,24.50,-999.00,30.65,31.75,-999.00,-999.00
MRI-CGCM3,26.60,26.98,24.08,-999.00,-999.00,26.99,24.07,-999.00,29.31,30.04,-999.00,-999.00
MRI-ESM2-0,27.39,27.63,-999.00,-999.00,-999.00,27.65,-999.00,-999.00,30.29,31.11,-999.00,-999.00
NESM3,26.24,26.74,-999.00,27.30,-999.00,26.72,-999.00,27.45,30.95,31.69,-999.00,-999.00
NorESM1-F,27.30,27.48,-999.00,27.56,28.51,27.51,-999.00,27.75,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,27.62,27.94,-999.00,27.99,-999.00,27.97,-999.00,28.24,30.32,32.60,-999.00,-999.00
UofT-CCSM-4,26.83,26.89,24.64,-999.00,-999.00,26.90,24.64,-999.00,-999.00,-999.00,-999.00,-999.00
