MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.66,-999.00,-999.00, 3.31,-999.00,-999.00,-999.00, 3.12, 4.29, 4.53,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.40, 2.12, 2.22,-999.00, 2.26, 2.00, 2.06,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 3.18, 3.02, 2.82,-999.00,-999.00, 2.84, 2.71,-999.00, 3.48, 3.55,-999.00,-999.00
CESM2, 2.47, 2.30,-999.00, 2.15,-999.00, 2.10,-999.00, 1.91, 3.12, 3.60,-999.00,-999.00
CNRM-CM5, 2.64, 2.52, 2.45,-999.00,-999.00, 2.36, 2.35,-999.00, 2.80, 2.87,-999.00,-999.00
CNRM-CM6-1, 2.50,-999.00,-999.00, 2.07,-999.00,-999.00,-999.00,-999.00, 2.80, 2.96,-999.00,-999.00
COSMOS-ASO, 1.82,-999.00, 2.08,-999.00,-999.00,-999.00, 2.04,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 2.34, 2.26,-999.00,-999.00,-999.00, 2.03,-999.00,-999.00, 2.33, 2.62,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.59, 1.52,-999.00,-999.00,-999.00, 1.35,-999.00,-999.00, 1.75,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.47, 2.34,-999.00,-999.00,-999.00, 2.19,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 3.12, 2.91,-999.00,-999.00,-999.00, 2.77,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.84, 1.70,-999.00, 1.51,-999.00, 1.52,-999.00, 1.34, 2.29, 2.36,-999.00,-999.00
FGOALS-g2, 2.36, 2.25, 2.43,-999.00,-999.00, 2.15, 2.39,-999.00, 2.19, 2.57,-999.00,-999.00
FGOALS-g3, 2.87, 2.54,-999.00, 2.45,-999.00, 2.43,-999.00, 2.29,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.77, 1.63,-999.00,-999.00,-999.00, 1.47,-999.00,-999.00, 1.88, 2.00,-999.00,-999.00
GISS-E2-1-G, 1.95, 1.77,-999.00, 1.58,-999.00, 1.66,-999.00, 1.45, 2.00, 2.23,-999.00,-999.00
GISS-E2-R, 1.71, 1.66, 1.74,-999.00,-999.00, 1.55, 1.65,-999.00, 2.17, 2.17,-999.00,-999.00
HadCM3, 2.56,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 3.60, 3.40,-999.00,-999.00,-999.00, 3.30,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.57, 3.39,-999.00,-999.00,-999.00, 3.29,-999.00,-999.00, 3.87, 4.01,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.14,-999.00, 2.92,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.27, 2.10, 2.12, 1.95,-999.00, 1.92, 2.02, 1.76, 2.25, 2.26,-999.00,-999.00
IPSL-CM5A-LR, 1.60, 1.47, 1.55,-999.00,-999.00, 1.31, 1.45,-999.00, 1.50, 1.58,-999.00,-999.00
IPSL-CM6A-LR, 2.60, 2.40,-999.00, 2.14,-999.00, 2.18,-999.00, 1.90, 2.82, 3.02,-999.00,-999.00
KCM1-2-2, 3.87, 3.68,-999.00,-999.00,-999.00, 3.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.54, 2.50, 2.39,-999.00,-999.00, 2.37, 2.32, 2.21, 2.63, 2.57,-999.00,-999.00
MIROC-ESM, 2.30, 2.24, 2.35,-999.00,-999.00, 2.10, 2.26,-999.00, 2.21, 2.40,-999.00,-999.00
MPI-ESM1-2-LR, 2.60, 2.27, 2.58,-999.00,-999.00, 2.12,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 2.51, 2.37, 2.45,-999.00,-999.00, 2.21, 2.36,-999.00, 2.54, 2.71,-999.00,-999.00
MRI-CGCM3, 2.90, 2.71, 2.33,-999.00,-999.00, 2.55, 2.23,-999.00, 3.36, 3.37,-999.00,-999.00
MRI-ESM2-0, 2.79, 2.57,-999.00,-999.00,-999.00, 2.42,-999.00,-999.00, 3.12, 3.23,-999.00,-999.00
NESM3, 2.79, 2.64,-999.00, 2.22,-999.00, 2.48,-999.00, 2.05, 2.30, 2.43,-999.00,-999.00
NorESM1-F, 2.71, 2.63,-999.00, 2.44,-999.00, 2.45,-999.00, 2.24,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.13, 2.02,-999.00,-999.00,-999.00, 1.88,-999.00,-999.00, 2.45, 3.22,-999.00,-999.00
UofT-CCSM-4, 2.98, 2.85, 3.25,-999.00,-999.00, 2.64, 3.12,-999.00,-999.00,-999.00,-999.00,-999.00
