MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 6.28,-999.00,-999.00, 5.82,-999.00,-999.00,-999.00, 5.51, 6.35, 6.37,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 5.11, 5.85, 4.94,-999.00, 4.91, 5.77, 4.72,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 5.86, 5.76, 5.81,-999.00,-999.00, 5.62, 5.76,-999.00, 6.18, 6.42,-999.00,-999.00
CESM2, 5.30, 5.03,-999.00, 4.96,-999.00, 4.89,-999.00, 4.80, 5.78, 6.30,-999.00,-999.00
CNRM-CM5, 5.31, 5.28, 5.16,-999.00,-999.00, 5.15, 5.09,-999.00, 5.57, 5.71,-999.00,-999.00
CNRM-CM6-1, 5.10,-999.00,-999.00, 4.80,-999.00,-999.00,-999.00,-999.00, 5.31, 5.49,-999.00,-999.00
COSMOS-ASO, 5.08,-999.00, 4.85,-999.00,-999.00,-999.00, 4.79,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 6.90, 6.82,-999.00,-999.00,-999.00, 6.62,-999.00,-999.00, 7.16, 7.53,-999.00,-999.00
CSIRO-Mk3L-1-2, 5.34, 5.09,-999.00,-999.00,-999.00, 4.89,-999.00,-999.00, 5.36,-999.00,-999.00,-999.00
EC-EARTH-2-2, 4.98, 4.78,-999.00,-999.00,-999.00, 4.67,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 5.06, 4.81,-999.00,-999.00,-999.00, 4.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 5.38, 5.25,-999.00, 5.14,-999.00, 5.01,-999.00, 4.85, 5.85, 5.92,-999.00,-999.00
FGOALS-g2, 4.61, 4.28, 4.85,-999.00,-999.00, 4.06, 4.70,-999.00, 3.88, 4.50,-999.00,-999.00
FGOALS-g3, 5.33, 5.21,-999.00, 5.14,-999.00, 4.87,-999.00, 4.76,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 6.11, 5.79,-999.00,-999.00,-999.00, 5.55,-999.00,-999.00, 6.24, 7.09,-999.00,-999.00
GISS-E2-1-G, 5.63, 5.63,-999.00, 5.68,-999.00, 5.38,-999.00, 5.42, 5.65, 6.16,-999.00,-999.00
GISS-E2-R, 5.47, 5.14, 5.20,-999.00,-999.00, 5.01, 5.11,-999.00, 5.65, 5.51,-999.00,-999.00
HadCM3, 6.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 5.80, 5.52,-999.00,-999.00,-999.00, 5.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 5.87, 5.39,-999.00,-999.00,-999.00, 5.11,-999.00,-999.00, 5.75, 5.90,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 5.62,-999.00, 5.05,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 4.99, 4.94, 6.15, 4.96,-999.00, 4.83, 6.10, 4.82, 4.90, 4.89,-999.00,-999.00
IPSL-CM5A-LR, 4.92, 4.74, 4.54,-999.00,-999.00, 4.63, 4.47,-999.00, 5.42, 5.79,-999.00,-999.00
IPSL-CM6A-LR, 5.39, 5.26,-999.00, 5.13,-999.00, 5.07,-999.00, 4.94, 5.47, 5.61,-999.00,-999.00
KCM1-2-2, 6.89, 7.09,-999.00,-999.00,-999.00, 7.09,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 4.76, 4.63, 5.18,-999.00,-999.00, 4.52, 5.14, 4.39, 4.59, 4.58,-999.00,-999.00
MIROC-ESM, 2.74, 2.62, 3.86,-999.00,-999.00, 2.54, 3.81,-999.00, 2.21, 2.66,-999.00,-999.00
MPI-ESM1-2-LR, 5.74, 5.46, 5.64,-999.00,-999.00, 5.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 5.37, 5.14, 5.64,-999.00,-999.00, 4.90, 5.51,-999.00, 6.42, 6.69,-999.00,-999.00
MRI-CGCM3, 6.22, 6.19, 5.67,-999.00,-999.00, 5.88, 5.46,-999.00, 6.66, 6.69,-999.00,-999.00
MRI-ESM2-0, 5.56, 5.28,-999.00,-999.00,-999.00, 5.05,-999.00,-999.00, 6.04, 6.28,-999.00,-999.00
NESM3, 4.97, 4.84,-999.00, 4.79,-999.00, 4.46,-999.00, 4.34, 5.24, 5.12,-999.00,-999.00
NorESM1-F, 5.38, 5.10,-999.00, 4.62,-999.00, 4.91,-999.00, 4.43,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 6.26, 5.69,-999.00,-999.00,-999.00, 5.48,-999.00,-999.00, 5.86, 5.88,-999.00,-999.00
UofT-CCSM-4, 5.98, 5.79, 5.35,-999.00,-999.00, 5.69, 5.31,-999.00,-999.00,-999.00,-999.00,-999.00
