MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,27.22,-999.00,-999.00,26.56,-999.00,-999.00,-999.00,26.50,30.35,31.10,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,24.60,23.94,24.63,-999.00,24.59,23.95,24.64,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,26.59,25.98,24.66,-999.00,-999.00,25.96,24.66,-999.00,29.56,29.98,-999.00,-999.00
CESM2,26.49,25.72,-999.00,25.69,29.80,25.71,-999.00,25.70,30.55,32.16,-999.00,-999.00
CNRM-CM5,26.14,25.62,24.90,-999.00,-999.00,25.61,24.90,-999.00,29.11,30.01,-999.00,-999.00
CNRM-CM6-1,24.95,-999.00,-999.00,24.45,-999.00,-999.00,-999.00,24.46,29.21,30.26,-999.00,-999.00
COSMOS-ASO,25.69,-999.00,22.81,-999.00,-999.00,-999.00,22.81,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,26.33,25.67,-999.00,-999.00,-999.00,25.66,-999.00,-999.00,29.47,31.04,-999.00,-999.00
CSIRO-Mk3L-1-2,26.82,26.23,-999.00,-999.00,-999.00,26.22,-999.00,-999.00,29.17,-999.00,-999.00,-999.00
EC-EARTH-2-2,23.92,23.31,-999.00,-999.00,-999.00,23.29,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,25.46,24.71,-999.00,-999.00,-999.00,24.70,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,25.17,24.34,-999.00,24.14,-999.00,24.32,-999.00,24.16,28.85,28.91,-999.00,-999.00
FGOALS-g2,25.61,24.41,23.34,-999.00,-999.00,24.39,23.35,-999.00,28.26,29.69,-999.00,-999.00
FGOALS-g3,26.58,25.80,-999.00,25.83,-999.00,25.79,-999.00,25.85,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,26.56,25.86,-999.00,-999.00,-999.00,25.84,-999.00,-999.00,29.39,30.76,-999.00,-999.00
GISS-E2-1-G,26.29,25.42,-999.00,25.37,27.43,25.40,-999.00,25.39,26.83,30.15,-999.00,-999.00
GISS-E2-R,26.67,25.87,24.61,-999.00,-999.00,25.86,24.61,-999.00,29.11,29.26,-999.00,-999.00
HadCM3,26.54,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,26.02,25.53,-999.00,-999.00,-999.00,25.51,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,26.37,25.86,-999.00,-999.00,-999.00,25.84,-999.00,-999.00,29.56,30.67,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,25.99,-999.00,26.12,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,25.52,24.73,24.35,24.62,-999.00,24.72,24.35,24.62,27.84,28.13,-999.00,-999.00
IPSL-CM5A-LR,25.06,24.25,22.48,-999.00,-999.00,24.23,22.48,-999.00,28.79,30.48,-999.00,-999.00
IPSL-CM6A-LR,25.72,24.74,-999.00,24.66,27.83,24.72,-999.00,24.67,30.05,33.08,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,26.07,25.24,24.57,25.15,-999.00,25.23,24.57,25.16,28.59,28.99,-999.00,-999.00
MIROC-ESM,24.89,24.11,23.57,-999.00,-999.00,24.10,23.58,-999.00,27.94,29.46,-999.00,-999.00
MPI-ESM1-2-LR,26.46,25.50,24.70,23.42,-999.00,25.49,-999.00,23.39,30.25,30.41,-999.00,-999.00
MPI-ESM-P,26.06,25.18,24.18,-999.00,-999.00,25.17,24.19,-999.00,29.89,31.09,-999.00,-999.00
MRI-CGCM3,26.51,25.90,24.00,-999.00,-999.00,25.89,24.00,-999.00,29.11,29.88,-999.00,-999.00
MRI-ESM2-0,26.66,25.88,-999.00,-999.00,-999.00,25.87,-999.00,-999.00,29.71,30.51,-999.00,-999.00
NESM3,26.64,25.74,-999.00,25.89,-999.00,25.72,-999.00,25.90,31.05,31.84,-999.00,-999.00
NorESM1-F,26.69,25.95,-999.00,25.82,27.78,25.93,-999.00,25.83,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,26.90,26.00,-999.00,25.93,-999.00,25.98,-999.00,25.94,29.30,31.97,-999.00,-999.00
UofT-CCSM-4,26.32,25.67,24.08,-999.00,-999.00,25.66,24.08,-999.00,-999.00,-999.00,-999.00,-999.00
