MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.84,-999.00,-999.00, 2.15,-999.00,-999.00,-999.00, 2.17, 2.18, 2.26,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.27, 1.08, 1.44,-999.00, 1.21, 1.02, 1.41,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.40, 1.48, 1.06,-999.00,-999.00, 1.46, 1.03,-999.00, 1.49, 1.50,-999.00,-999.00
CESM2, 1.23, 1.30,-999.00, 1.45,-999.00, 1.25,-999.00, 1.44, 1.51, 1.63,-999.00,-999.00
CNRM-CM5, 1.11, 1.19, 0.96,-999.00,-999.00, 1.16, 0.91,-999.00, 1.42, 1.52,-999.00,-999.00
CNRM-CM6-1, 1.17,-999.00,-999.00, 1.36,-999.00,-999.00,-999.00,-999.00, 1.59, 1.66,-999.00,-999.00
COSMOS-ASO, 0.71,-999.00, 0.62,-999.00,-999.00,-999.00, 0.57,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.93, 0.99,-999.00,-999.00,-999.00, 0.94,-999.00,-999.00, 1.05, 1.26,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.97, 0.95,-999.00,-999.00,-999.00, 0.90,-999.00,-999.00, 1.16,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.74, 0.76,-999.00,-999.00,-999.00, 0.75,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.81, 0.87,-999.00,-999.00,-999.00, 0.86,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.94, 0.94,-999.00, 0.96,-999.00, 0.92,-999.00, 0.94, 1.12, 1.14,-999.00,-999.00
FGOALS-g2, 1.45, 1.40, 0.82,-999.00,-999.00, 1.39, 0.80,-999.00, 1.78, 1.85,-999.00,-999.00
FGOALS-g3, 1.06, 1.06,-999.00, 1.21,-999.00, 1.04,-999.00, 1.21,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.65, 0.75,-999.00,-999.00,-999.00, 0.70,-999.00,-999.00, 1.01, 1.08,-999.00,-999.00
GISS-E2-1-G, 1.34, 1.35,-999.00, 1.34,-999.00, 1.33,-999.00, 1.31, 1.31, 1.42,-999.00,-999.00
GISS-E2-R, 1.30, 1.38, 1.00,-999.00,-999.00, 1.37, 0.98,-999.00, 1.58, 1.57,-999.00,-999.00
HadCM3, 1.26,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.88, 1.97,-999.00,-999.00,-999.00, 1.92,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.85, 1.97,-999.00,-999.00,-999.00, 1.93,-999.00,-999.00, 2.10, 2.21,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.10,-999.00, 1.22,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.35, 1.38, 1.06, 1.51,-999.00, 1.37, 1.03, 1.54, 1.61, 1.68,-999.00,-999.00
IPSL-CM5A-LR, 0.99, 1.02, 0.86,-999.00,-999.00, 0.98, 0.82,-999.00, 1.02, 0.94,-999.00,-999.00
IPSL-CM6A-LR, 1.01, 1.01,-999.00, 1.11,-999.00, 0.97,-999.00, 1.09, 1.27, 1.59,-999.00,-999.00
KCM1-2-2, 0.50, 0.44,-999.00,-999.00,-999.00, 0.44,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.43, 1.33, 1.07,-999.00,-999.00, 1.33, 1.06, 1.34, 1.78, 1.81,-999.00,-999.00
MIROC-ESM, 2.00, 1.94, 1.38,-999.00,-999.00, 1.94, 1.35,-999.00, 2.46, 2.59,-999.00,-999.00
MPI-ESM1-2-LR, 1.18, 1.29, 0.99,-999.00,-999.00, 1.22,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.19, 1.27, 0.94,-999.00,-999.00, 1.23, 0.90,-999.00, 1.24, 1.27,-999.00,-999.00
MRI-CGCM3, 0.87, 0.94, 0.64,-999.00,-999.00, 0.91, 0.60,-999.00, 1.20, 1.27,-999.00,-999.00
MRI-ESM2-0, 1.34, 1.36,-999.00,-999.00,-999.00, 1.33,-999.00,-999.00, 1.61, 1.65,-999.00,-999.00
NESM3, 1.18, 1.30,-999.00, 1.40,-999.00, 1.24,-999.00, 1.37, 1.50, 1.58,-999.00,-999.00
NorESM1-F, 1.52, 1.65,-999.00, 1.83,-999.00, 1.62,-999.00, 1.84,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.00, 1.43,-999.00,-999.00,-999.00, 1.35,-999.00,-999.00, 1.25, 1.45,-999.00,-999.00
UofT-CCSM-4, 1.32, 1.39, 0.83,-999.00,-999.00, 1.37, 0.80,-999.00,-999.00,-999.00,-999.00,-999.00
