MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.20,-999.00,-999.00, 2.38,-999.00,-999.00,-999.00, 2.24, 2.50, 2.65,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.29, 1.07, 1.50,-999.00, 1.20, 1.01, 1.38,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.44, 1.36, 1.09,-999.00,-999.00, 1.32, 1.06,-999.00, 1.57, 1.59,-999.00,-999.00
CESM2, 1.29, 1.13,-999.00, 1.26,-999.00, 1.05,-999.00, 1.11, 1.84, 2.03,-999.00,-999.00
CNRM-CM5, 1.08, 1.01, 0.87,-999.00,-999.00, 0.96, 0.82,-999.00, 1.40, 1.54,-999.00,-999.00
CNRM-CM6-1, 1.10,-999.00,-999.00, 1.07,-999.00,-999.00,-999.00,-999.00, 1.61, 1.67,-999.00,-999.00
COSMOS-ASO, 0.54,-999.00, 0.45,-999.00,-999.00,-999.00, 0.43,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.13, 1.09,-999.00,-999.00,-999.00, 1.02,-999.00,-999.00, 1.33, 1.66,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.11, 1.00,-999.00,-999.00,-999.00, 0.93,-999.00,-999.00, 1.50,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.80, 0.70,-999.00,-999.00,-999.00, 0.67,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.77, 0.72,-999.00,-999.00,-999.00, 0.69,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.08, 1.01,-999.00, 1.05,-999.00, 0.97,-999.00, 0.99, 1.32, 1.41,-999.00,-999.00
FGOALS-g2, 1.81, 1.64, 0.99,-999.00,-999.00, 1.61, 0.97,-999.00, 2.19, 2.33,-999.00,-999.00
FGOALS-g3, 1.23, 1.08,-999.00, 1.21,-999.00, 1.05,-999.00, 1.14,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.56, 0.51,-999.00,-999.00,-999.00, 0.45,-999.00,-999.00, 0.85, 0.92,-999.00,-999.00
GISS-E2-1-G, 1.35, 1.31,-999.00, 1.28,-999.00, 1.27,-999.00, 1.24, 1.33, 1.38,-999.00,-999.00
GISS-E2-R, 1.35, 1.32, 1.21,-999.00,-999.00, 1.29, 1.19,-999.00, 1.61, 1.64,-999.00,-999.00
HadCM3, 1.42,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.06, 1.97,-999.00,-999.00,-999.00, 1.89,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.05, 2.02,-999.00,-999.00,-999.00, 1.95,-999.00,-999.00, 2.54, 2.77,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.06,-999.00, 1.11,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.65, 1.59, 1.38, 1.72,-999.00, 1.56, 1.35, 1.65, 1.89, 1.93,-999.00,-999.00
IPSL-CM5A-LR, 1.14, 1.12, 1.00,-999.00,-999.00, 1.07, 0.96,-999.00, 1.12, 1.06,-999.00,-999.00
IPSL-CM6A-LR, 1.15, 1.08,-999.00, 1.16,-999.00, 1.03,-999.00, 1.10, 1.41, 1.56,-999.00,-999.00
KCM1-2-2, 0.50, 0.44,-999.00,-999.00,-999.00, 0.44,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.62, 1.39, 1.28,-999.00,-999.00, 1.37, 1.27, 1.38, 2.01, 2.07,-999.00,-999.00
MIROC-ESM, 1.91, 1.65, 1.52,-999.00,-999.00, 1.62, 1.49,-999.00, 2.36, 2.61,-999.00,-999.00
MPI-ESM1-2-LR, 1.40, 1.42, 1.06,-999.00,-999.00, 1.33,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.14, 1.04, 0.85,-999.00,-999.00, 0.99, 0.81,-999.00, 1.26, 1.36,-999.00,-999.00
MRI-CGCM3, 0.87, 0.81, 0.60,-999.00,-999.00, 0.76, 0.56,-999.00, 1.36, 1.41,-999.00,-999.00
MRI-ESM2-0, 1.52, 1.40,-999.00,-999.00,-999.00, 1.34,-999.00,-999.00, 1.82, 1.91,-999.00,-999.00
NESM3, 1.31, 1.34,-999.00, 1.53,-999.00, 1.25,-999.00, 1.42, 1.75, 1.89,-999.00,-999.00
NorESM1-F, 1.73, 1.67,-999.00, 1.75,-999.00, 1.61,-999.00, 1.67,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.19, 1.69,-999.00,-999.00,-999.00, 1.59,-999.00,-999.00, 1.51, 1.90,-999.00,-999.00
UofT-CCSM-4, 1.31, 1.26, 0.81,-999.00,-999.00, 1.23, 0.78,-999.00,-999.00,-999.00,-999.00,-999.00
