MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,10.13,-999.00,-999.00,12.87,-999.00,-999.00,-999.00,12.98,10.18,10.23,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,12.35,10.07,14.10,-999.00,12.37,10.07,14.13,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,11.89,13.01,11.61,-999.00,-999.00,13.03,11.61,-999.00,11.66,11.45,-999.00,-999.00
CESM2,11.01,11.91,-999.00,13.76,10.73,11.90,-999.00,13.77,10.34, 9.80,-999.00,-999.00
CNRM-CM5,11.61,12.65,11.94,-999.00,-999.00,12.67,11.93,-999.00,11.59,11.59,-999.00,-999.00
CNRM-CM6-1,12.30,-999.00,-999.00,15.43,-999.00,-999.00,-999.00,15.42,11.72,11.47,-999.00,-999.00
COSMOS-ASO,11.34,-999.00,11.07,-999.00,-999.00,-999.00,11.06,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,11.33,12.34,-999.00,-999.00,-999.00,12.36,-999.00,-999.00,11.23,10.96,-999.00,-999.00
CSIRO-Mk3L-1-2,10.77,11.96,-999.00,-999.00,-999.00,11.96,-999.00,-999.00,10.14,-999.00,-999.00,-999.00
EC-EARTH-2-2,10.56,11.73,-999.00,-999.00,-999.00,11.75,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,10.98,12.02,-999.00,-999.00,-999.00,12.05,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,11.91,13.07,-999.00,14.93,-999.00,13.11,-999.00,14.97,11.50,11.45,-999.00,-999.00
FGOALS-g2,11.11,12.38,10.87,-999.00,-999.00,12.41,10.86,-999.00,11.20,10.88,-999.00,-999.00
FGOALS-g3,11.20,12.96,-999.00,14.83,-999.00,12.99,-999.00,14.91,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,12.11,13.21,-999.00,-999.00,-999.00,13.23,-999.00,-999.00,11.68,11.37,-999.00,-999.00
GISS-E2-1-G, 8.18, 9.18,-999.00,11.16, 7.73, 9.21,-999.00,11.22, 8.98, 8.84,-999.00,-999.00
GISS-E2-R, 8.14, 8.75, 7.98,-999.00,-999.00, 8.77, 7.98,-999.00, 7.77, 7.84,-999.00,-999.00
HadCM3,10.87,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,11.96,13.17,-999.00,-999.00,-999.00,13.16,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,11.90,12.96,-999.00,-999.00,-999.00,12.96,-999.00,-999.00,11.48,11.28,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,11.79,-999.00,13.81,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,10.72,11.87,10.98,13.26,-999.00,11.90,10.97,13.28,10.46,10.34,-999.00,-999.00
IPSL-CM5A-LR, 9.83,10.96, 9.28,-999.00,-999.00,11.00, 9.27,-999.00, 9.92, 9.65,-999.00,-999.00
IPSL-CM6A-LR,11.37,12.84,-999.00,15.00,11.50,12.87,-999.00,15.05,11.44,11.35,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,11.10,12.51,11.05,14.50,-999.00,12.53,11.04,14.54,10.54,10.61,-999.00,-999.00
MIROC-ESM,11.68,13.35,10.52,-999.00,-999.00,13.39,10.51,-999.00,11.06,10.54,-999.00,-999.00
MPI-ESM1-2-LR,10.41,11.63,10.08, 1.46,-999.00,11.66,-999.00, 1.45,10.45,10.48,-999.00,-999.00
MPI-ESM-P, 9.87,10.98, 9.64,-999.00,-999.00,10.98, 9.64,-999.00, 9.64, 9.42,-999.00,-999.00
MRI-CGCM3,11.58,12.61,11.42,-999.00,-999.00,12.63,11.41,-999.00,11.10,10.95,-999.00,-999.00
MRI-ESM2-0,10.61,11.74,-999.00,-999.00,-999.00,11.77,-999.00,-999.00,10.66,10.79,-999.00,-999.00
NESM3,11.43,12.55,-999.00,14.92,-999.00,12.58,-999.00,14.96,12.04,12.08,-999.00,-999.00
NorESM1-F,12.18,13.45,-999.00,15.47,11.53,13.47,-999.00,15.50,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,10.57,11.57,-999.00,13.52,-999.00,11.57,-999.00,13.54, 9.95, 9.55,-999.00,-999.00
UofT-CCSM-4,11.67,12.89,11.41,-999.00,-999.00,12.91,11.41,-999.00,-999.00,-999.00,-999.00,-999.00
