MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.19,-999.00,-999.00,-0.10,-999.00,-999.00,-999.00, 3.06, 7.28, 8.33,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.37,-2.72,-0.82,-999.00, 2.62,-2.81, 2.99,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-0.00, 0.14,-5.13,-999.00,-999.00, 1.47,-5.23,-999.00, 6.06, 6.63,-999.00,-999.00
CESM2, 3.10, 3.00,-999.00, 0.58, 8.89, 4.16,-999.00, 4.10, 9.38,11.35,-999.00,-999.00
CNRM-CM5,-3.60,-2.83,-7.08,-999.00,-999.00,-1.43,-7.20,-999.00, 2.22, 3.64,-999.00,-999.00
CNRM-CM6-1,-2.46,-999.00,-999.00,-3.55,-999.00,-999.00,-999.00, 0.72, 5.96, 7.46,-999.00,-999.00
COSMOS-ASO, 2.98,-999.00,-3.05,-999.00,-999.00,-999.00,-3.15,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-0.57,-0.23,-999.00,-999.00,-999.00, 1.01,-999.00,-999.00, 4.40, 6.36,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.59, 0.93,-999.00,-999.00,-999.00, 2.10,-999.00,-999.00, 4.67,-999.00,-999.00,-999.00
EC-EARTH-2-2,-3.78,-3.29,-999.00,-999.00,-999.00,-2.04,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-0.73,-0.05,-999.00,-999.00,-999.00, 1.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-1.70,-1.98,-999.00,-4.77,-999.00,-0.65,-999.00,-0.78, 5.60, 5.46,-999.00,-999.00
FGOALS-g2,-1.87,-2.07,-8.68,-999.00,-999.00,-0.80,-8.77,-999.00, 4.20, 5.98,-999.00,-999.00
FGOALS-g3,-2.77,-2.38,-999.00,-4.68,-999.00,-1.06,-999.00,-0.77,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.63, 2.10,-999.00,-999.00,-999.00, 3.42,-999.00,-999.00, 7.87, 9.01,-999.00,-999.00
GISS-E2-1-G, 1.65, 1.76,-999.00, 0.34, 2.44, 2.69,-999.00, 3.32, 2.70, 6.94,-999.00,-999.00
GISS-E2-R, 1.31, 1.32,-6.42,-999.00,-999.00, 2.22,-6.50,-999.00, 5.93, 6.14,-999.00,-999.00
HadCM3, 0.17,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-0.60, 0.09,-999.00,-999.00,-999.00, 1.41,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.40, 1.11,-999.00,-999.00,-999.00, 2.40,-999.00,-999.00, 7.12, 9.10,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 2.86,-999.00, 3.90,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.75, 0.69,-4.95,-1.08,-999.00, 1.98,-5.04, 2.56, 5.17, 5.64,-999.00,-999.00
IPSL-CM5A-LR,-2.61,-1.82,-8.88,-999.00,-999.00,-0.63,-8.96,-999.00, 4.32, 6.62,-999.00,-999.00
IPSL-CM6A-LR,-4.62,-4.20,-999.00,-5.84, 0.57,-2.84,-999.00,-1.64, 4.53,11.60,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.06, 1.92,-2.52,-0.54,-999.00, 3.17,-2.61, 3.31, 7.64, 8.13,-999.00,-999.00
MIROC-ESM, 1.36, 1.55,-6.85,-999.00,-999.00, 2.91,-6.94,-999.00, 8.08,10.13,-999.00,-999.00
MPI-ESM1-2-LR, 1.61, 1.79,-2.68, 9.65,-999.00, 2.97,-999.00, 9.43, 8.79, 9.04,-999.00,-999.00
MPI-ESM-P, 1.18, 1.47,-3.54,-999.00,-999.00, 2.63,-3.62,-999.00, 7.65, 9.86,-999.00,-999.00
MRI-CGCM3,-1.61,-1.20,-5.91,-999.00,-999.00, 0.06,-6.00,-999.00, 3.49, 4.50,-999.00,-999.00
MRI-ESM2-0, 1.13, 1.45,-999.00,-999.00,-999.00, 2.62,-999.00,-999.00, 5.93, 7.27,-999.00,-999.00
NESM3, 3.03, 3.70,-999.00, 1.47,-999.00, 5.01,-999.00, 5.60,12.65,13.55,-999.00,-999.00
NorESM1-F, 2.00, 1.96,-999.00,-0.89, 5.07, 3.33,-999.00, 3.30,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 3.95, 4.18,-999.00, 2.35,-999.00, 5.27,-999.00, 5.74, 9.46,12.51,-999.00,-999.00
UofT-CCSM-4,-1.14,-1.04,-5.08,-999.00,-999.00, 0.30,-5.19,-999.00,-999.00,-999.00,-999.00,-999.00
