MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,27.95,-999.00,-999.00,27.08,-999.00,-999.00,-999.00,27.04,32.95,34.09,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,24.29,24.17,23.78,-999.00,24.27,24.18,23.80,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,25.03,23.71,22.13,-999.00,-999.00,23.70,22.13,-999.00,29.36,29.92,-999.00,-999.00
CESM2,27.92,26.58,-999.00,26.59,31.55,26.57,-999.00,26.59,33.72,36.11,-999.00,-999.00
CNRM-CM5,25.40,24.62,22.83,-999.00,-999.00,24.61,22.84,-999.00,29.67,31.00,-999.00,-999.00
CNRM-CM6-1,26.70,-999.00,-999.00,24.72,-999.00,-999.00,-999.00,24.71,33.28,34.74,-999.00,-999.00
COSMOS-ASO,26.15,-999.00,21.41,-999.00,-999.00,-999.00,21.42,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,26.70,25.49,-999.00,-999.00,-999.00,25.48,-999.00,-999.00,31.71,34.21,-999.00,-999.00
CSIRO-Mk3L-1-2,26.70,25.76,-999.00,-999.00,-999.00,25.75,-999.00,-999.00,30.91,-999.00,-999.00,-999.00
EC-EARTH-2-2,23.52,22.19,-999.00,-999.00,-999.00,22.18,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,24.87,23.26,-999.00,-999.00,-999.00,23.25,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,26.26,24.87,-999.00,24.58,-999.00,24.85,-999.00,24.57,31.49,31.49,-999.00,-999.00
FGOALS-g2,24.82,22.92,21.09,-999.00,-999.00,22.91,21.09,-999.00,28.01,30.81,-999.00,-999.00
FGOALS-g3,26.90,26.02,-999.00,25.98,-999.00,26.01,-999.00,25.98,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,25.87,24.65,-999.00,-999.00,-999.00,24.65,-999.00,-999.00,30.14,31.99,-999.00,-999.00
GISS-E2-1-G,27.92,26.32,-999.00,25.99,29.24,26.31,-999.00,25.99,28.82,33.47,-999.00,-999.00
GISS-E2-R,27.86,26.63,24.59,-999.00,-999.00,26.62,24.60,-999.00,31.80,32.42,-999.00,-999.00
HadCM3,26.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,26.58,25.69,-999.00,-999.00,-999.00,25.67,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,27.24,26.52,-999.00,-999.00,-999.00,26.50,-999.00,-999.00,33.05,34.85,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,26.76,-999.00,27.17,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,26.18,24.80,23.18,24.99,-999.00,24.78,23.18,25.00,29.47,29.88,-999.00,-999.00
IPSL-CM5A-LR,24.89,23.67,21.02,-999.00,-999.00,23.66,21.03,-999.00,30.20,32.48,-999.00,-999.00
IPSL-CM6A-LR,24.87,23.31,-999.00,23.46,27.20,23.31,-999.00,23.44,31.22,35.22,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,26.15,24.74,24.02,24.81,-999.00,24.73,24.02,24.81,30.02,30.61,-999.00,-999.00
MIROC-ESM,26.59,25.32,23.92,-999.00,-999.00,25.30,23.92,-999.00,31.15,33.37,-999.00,-999.00
MPI-ESM1-2-LR,27.23,25.08,24.23,23.46,-999.00,25.06,-999.00,23.47,32.76,33.02,-999.00,-999.00
MPI-ESM-P,26.86,24.92,23.21,-999.00,-999.00,24.91,23.21,-999.00,32.77,34.89,-999.00,-999.00
MRI-CGCM3,27.23,25.93,23.55,-999.00,-999.00,25.90,23.55,-999.00,31.03,32.00,-999.00,-999.00
MRI-ESM2-0,28.04,26.67,-999.00,-999.00,-999.00,26.64,-999.00,-999.00,32.36,33.46,-999.00,-999.00
NESM3,27.82,25.49,-999.00,25.38,-999.00,25.47,-999.00,25.37,33.95,35.01,-999.00,-999.00
NorESM1-F,26.64,25.32,-999.00,25.41,26.74,25.30,-999.00,25.41,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,27.57,26.33,-999.00,26.44,-999.00,26.33,-999.00,26.44,31.51,35.16,-999.00,-999.00
UofT-CCSM-4,24.52,23.18,21.80,-999.00,-999.00,23.17,21.80,-999.00,-999.00,-999.00,-999.00,-999.00
