MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 8.97,-999.00,-999.00,11.43,-999.00,-999.00,-999.00,11.44, 9.34, 9.36,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,10.49, 9.21,11.74,-999.00,10.50, 9.21,11.76,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 8.33, 9.14, 8.99,-999.00,-999.00, 9.15, 8.99,-999.00, 8.64, 8.61,-999.00,-999.00
CESM2, 8.49, 9.53,-999.00,11.26, 9.38, 9.54,-999.00,11.30, 8.86, 8.53,-999.00,-999.00
CNRM-CM5, 8.80, 9.60, 9.68,-999.00,-999.00, 9.61, 9.68,-999.00, 8.95, 8.93,-999.00,-999.00
CNRM-CM6-1, 8.80,-999.00,-999.00,11.64,-999.00,-999.00,-999.00,11.66, 9.22, 9.19,-999.00,-999.00
COSMOS-ASO,10.04,-999.00,10.33,-999.00,-999.00,-999.00,10.33,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 8.67, 9.72,-999.00,-999.00,-999.00, 9.75,-999.00,-999.00, 9.30, 9.43,-999.00,-999.00
CSIRO-Mk3L-1-2, 7.96, 9.01,-999.00,-999.00,-999.00, 9.03,-999.00,-999.00, 8.43,-999.00,-999.00,-999.00
EC-EARTH-2-2, 8.23, 9.19,-999.00,-999.00,-999.00, 9.21,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 9.70,10.59,-999.00,-999.00,-999.00,10.59,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 9.00, 9.91,-999.00,11.41,-999.00, 9.97,-999.00,11.46, 9.30, 9.18,-999.00,-999.00
FGOALS-g2, 8.76, 9.54, 9.54,-999.00,-999.00, 9.56, 9.54,-999.00, 8.76, 8.96,-999.00,-999.00
FGOALS-g3, 8.70, 9.79,-999.00,11.29,-999.00, 9.81,-999.00,11.33,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 9.68,10.66,-999.00,-999.00,-999.00,10.67,-999.00,-999.00,10.01,10.03,-999.00,-999.00
GISS-E2-1-G, 7.42, 8.17,-999.00, 9.63, 7.75, 8.19,-999.00, 9.66, 7.91, 8.40,-999.00,-999.00
GISS-E2-R, 6.90, 7.18, 7.74,-999.00,-999.00, 7.19, 7.74,-999.00, 7.14, 7.10,-999.00,-999.00
HadCM3, 8.15,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 8.15, 8.99,-999.00,-999.00,-999.00, 9.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 8.39, 9.37,-999.00,-999.00,-999.00, 9.38,-999.00,-999.00, 8.80, 8.86,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 9.34,-999.00,10.97,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 9.22,10.04,10.05,11.34,-999.00,10.05,10.05,11.33, 9.30, 9.27,-999.00,-999.00
IPSL-CM5A-LR, 8.26, 9.19, 8.21,-999.00,-999.00, 9.21, 8.21,-999.00, 8.81, 8.84,-999.00,-999.00
IPSL-CM6A-LR, 8.55, 9.55,-999.00,11.21, 8.59, 9.57,-999.00,11.25, 9.14, 9.15,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 9.19,10.04, 9.14,11.64,-999.00,10.05, 9.14,11.66, 9.80, 9.86,-999.00,-999.00
MIROC-ESM, 8.08, 8.88, 8.71,-999.00,-999.00, 8.90, 8.71,-999.00, 8.64, 8.94,-999.00,-999.00
MPI-ESM1-2-LR, 8.87, 9.77, 9.15, 1.22,-999.00, 9.78,-999.00, 1.23, 9.50, 9.41,-999.00,-999.00
MPI-ESM-P, 8.41, 9.33, 8.80,-999.00,-999.00, 9.34, 8.80,-999.00, 8.95, 9.06,-999.00,-999.00
MRI-CGCM3, 9.37,10.32, 9.85,-999.00,-999.00,10.33, 9.85,-999.00, 9.32, 9.53,-999.00,-999.00
MRI-ESM2-0, 9.10, 9.96,-999.00,-999.00,-999.00, 9.99,-999.00,-999.00, 9.92, 9.95,-999.00,-999.00
NESM3, 9.87,10.69,-999.00,12.45,-999.00,10.71,-999.00,12.47,10.73,10.76,-999.00,-999.00
NorESM1-F, 8.43, 9.41,-999.00,10.75, 8.07, 9.43,-999.00,10.78,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 8.08, 9.07,-999.00,10.97,-999.00, 9.09,-999.00,11.01, 8.80, 8.73,-999.00,-999.00
UofT-CCSM-4, 8.24, 8.99, 9.55,-999.00,-999.00, 9.00, 9.55,-999.00,-999.00,-999.00,-999.00,-999.00
