MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.61,-999.00,-999.00, 0.46,-999.00,-999.00,-999.00, 0.45, 0.82, 0.58,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.68, 0.56, 0.58,-999.00, 0.65, 0.55, 0.57,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.62, 0.61, 0.48,-999.00,-999.00, 0.60, 0.48,-999.00, 0.51,-999.00,-999.00,-999.00
CESM2, 0.56, 0.57,-999.00, 0.46,-999.00, 0.57,-999.00, 0.47, 0.63, 0.65,-999.00,-999.00
CNRM-CM5, 0.39, 0.43, 0.34,-999.00,-999.00, 0.43, 0.34,-999.00, 0.46, 0.45,-999.00,-999.00
CNRM-CM6-1, 0.54,-999.00,-999.00, 0.45,-999.00,-999.00,-999.00,-999.00, 0.64, 0.42,-999.00,-999.00
COSMOS-ASO, 0.63,-999.00, 0.52,-999.00,-999.00,-999.00, 0.52,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.54, 0.65,-999.00,-999.00,-999.00, 0.64,-999.00,-999.00, 0.72, 0.60,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.10, 1.12,-999.00,-999.00,-999.00, 1.10,-999.00,-999.00, 1.09,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.52, 0.48,-999.00,-999.00,-999.00, 0.47,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.53, 0.51,-999.00,-999.00,-999.00, 0.51,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.69, 0.65,-999.00, 0.50,-999.00, 0.65,-999.00, 0.49, 0.64, 0.70,-999.00,-999.00
FGOALS-g2, 0.41, 0.37, 0.28,-999.00,-999.00, 0.35, 0.28,-999.00, 0.47, 0.40,-999.00,-999.00
FGOALS-g3, 0.67, 0.54,-999.00, 0.42,-999.00, 0.52,-999.00, 0.42,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.77, 0.75,-999.00,-999.00,-999.00, 0.73,-999.00,-999.00, 0.80, 0.61,-999.00,-999.00
GISS-E2-1-G, 0.57, 0.52,-999.00, 0.49,-999.00, 0.51,-999.00, 0.48, 0.59, 0.59,-999.00,-999.00
GISS-E2-R, 0.52, 0.58, 0.47,-999.00,-999.00, 0.56, 0.46,-999.00, 0.59, 0.65,-999.00,-999.00
HadCM3, 0.64,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.59, 0.56,-999.00,-999.00,-999.00, 0.54,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.60, 0.56,-999.00,-999.00,-999.00, 0.56,-999.00,-999.00, 0.64, 0.59,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.56,-999.00, 0.51,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.37, 0.37, 0.33, 0.35,-999.00, 0.37, 0.32, 0.36, 0.39, 0.36,-999.00,-999.00
IPSL-CM5A-LR, 0.34, 0.36, 0.34,-999.00,-999.00, 0.35, 0.34,-999.00, 0.30, 0.33,-999.00,-999.00
IPSL-CM6A-LR, 0.35, 0.39,-999.00, 0.34,-999.00, 0.38,-999.00, 0.34, 0.44, 0.42,-999.00,-999.00
KCM1-2-2, 1.50, 1.35,-999.00,-999.00,-999.00, 1.35,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.45, 0.50, 0.44,-999.00,-999.00, 0.49, 0.44, 0.43, 0.58, 0.57,-999.00,-999.00
MIROC-ESM, 0.44, 0.46, 0.41,-999.00,-999.00, 0.46, 0.41,-999.00, 0.38, 0.38,-999.00,-999.00
MPI-ESM1-2-LR, 0.67, 0.67, 0.50,-999.00,-999.00, 0.64,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.58, 0.56, 0.49,-999.00,-999.00, 0.54, 0.49,-999.00, 0.80, 0.69,-999.00,-999.00
MRI-CGCM3, 0.60, 0.61, 0.49,-999.00,-999.00, 0.58, 0.48,-999.00, 0.65, 0.60,-999.00,-999.00
MRI-ESM2-0, 0.58, 0.56,-999.00,-999.00,-999.00, 0.56,-999.00,-999.00, 0.67, 0.62,-999.00,-999.00
NESM3, 0.46, 0.49,-999.00, 0.48,-999.00, 0.48,-999.00, 0.48, 0.46, 0.60,-999.00,-999.00
NorESM1-F, 0.41, 0.41,-999.00, 0.41,-999.00, 0.40,-999.00, 0.42,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.58, 0.62,-999.00,-999.00,-999.00, 0.60,-999.00,-999.00, 0.58, 0.44,-999.00,-999.00
UofT-CCSM-4, 0.54, 0.48, 0.43,-999.00,-999.00, 0.48, 0.43,-999.00,-999.00,-999.00,-999.00,-999.00
