MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.81,-999.00,-999.00, 0.83,-999.00,-999.00,-999.00, 0.79, 1.03, 0.65,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.92, 1.15, 1.00,-999.00, 0.91, 1.16, 1.00,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.07, 1.27, 0.76,-999.00,-999.00, 1.26, 0.77,-999.00, 0.94, 0.93,-999.00,-999.00
CESM2, 1.13, 1.11,-999.00, 1.15, 0.98, 1.09,-999.00, 1.17, 0.83, 0.59,-999.00,-999.00
CNRM-CM5, 0.93, 1.02, 1.13,-999.00,-999.00, 1.00, 1.14,-999.00, 0.89, 0.74,-999.00,-999.00
CNRM-CM6-1, 0.86,-999.00,-999.00, 0.93,-999.00,-999.00,-999.00, 0.94, 0.89, 0.78,-999.00,-999.00
COSMOS-ASO, 0.96,-999.00, 1.10,-999.00,-999.00,-999.00, 1.10,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.69, 0.73,-999.00,-999.00,-999.00, 0.72,-999.00,-999.00, 0.63, 0.66,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.59, 0.63,-999.00,-999.00,-999.00, 0.62,-999.00,-999.00, 0.52,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.82, 0.79,-999.00,-999.00,-999.00, 0.78,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.03, 1.02,-999.00,-999.00,-999.00, 1.01,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.13, 1.07,-999.00, 1.07,-999.00, 1.09,-999.00, 1.08, 0.92, 1.02,-999.00,-999.00
FGOALS-g2, 0.77, 0.80, 0.89,-999.00,-999.00, 0.78, 0.89,-999.00, 0.72, 0.59,-999.00,-999.00
FGOALS-g3, 0.99, 1.10,-999.00, 0.96,-999.00, 1.08,-999.00, 0.97,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.89, 1.04,-999.00,-999.00,-999.00, 1.02,-999.00,-999.00, 0.90, 0.79,-999.00,-999.00
GISS-E2-1-G, 0.89, 0.86,-999.00, 0.90, 0.78, 0.85,-999.00, 0.90, 0.92, 0.78,-999.00,-999.00
GISS-E2-R, 0.71, 0.68, 0.56,-999.00,-999.00, 0.67, 0.56,-999.00, 0.73, 0.55,-999.00,-999.00
HadCM3, 0.72,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.84, 0.91,-999.00,-999.00,-999.00, 0.89,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.90, 0.85,-999.00,-999.00,-999.00, 0.84,-999.00,-999.00, 0.92, 0.68,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.88,-999.00, 0.88,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.81, 0.88, 0.88, 0.90,-999.00, 0.87, 0.88, 0.91, 0.76, 0.67,-999.00,-999.00
IPSL-CM5A-LR, 1.04, 1.07, 0.86,-999.00,-999.00, 1.05, 0.86,-999.00, 1.01, 0.90,-999.00,-999.00
IPSL-CM6A-LR, 0.95, 1.00,-999.00, 1.01, 0.87, 0.99,-999.00, 1.02, 1.06, 0.87,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.79, 0.74, 0.83, 0.79,-999.00, 0.73, 0.83, 0.80, 0.97, 0.85,-999.00,-999.00
MIROC-ESM, 1.08, 1.12, 0.89,-999.00,-999.00, 1.10, 0.90,-999.00, 0.63, 0.72,-999.00,-999.00
MPI-ESM1-2-LR, 1.00, 1.06, 1.12, 0.43,-999.00, 1.05,-999.00, 0.43, 0.82, 0.70,-999.00,-999.00
MPI-ESM-P, 0.92, 0.88, 1.00,-999.00,-999.00, 0.87, 1.00,-999.00, 1.07, 0.95,-999.00,-999.00
MRI-CGCM3, 0.75, 0.88, 0.95,-999.00,-999.00, 0.87, 0.95,-999.00, 0.67, 0.55,-999.00,-999.00
MRI-ESM2-0, 0.93, 0.94,-999.00,-999.00,-999.00, 0.92,-999.00,-999.00, 0.77, 0.79,-999.00,-999.00
NESM3, 1.10, 1.09,-999.00, 1.00,-999.00, 1.07,-999.00, 1.02, 0.81, 0.88,-999.00,-999.00
NorESM1-F, 1.00, 0.97,-999.00, 1.18, 1.18, 0.95,-999.00, 1.19,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.89, 0.88,-999.00, 1.13,-999.00, 0.87,-999.00, 1.13, 0.88, 0.72,-999.00,-999.00
UofT-CCSM-4, 1.53, 1.45, 0.76,-999.00,-999.00, 1.43, 0.76,-999.00,-999.00,-999.00,-999.00,-999.00
