MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,13.41,-999.00,-999.00,14.38,-999.00,-999.00,-999.00,14.02,17.71,18.65,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,10.82, 7.53,11.31,-999.00,10.70, 7.54,11.18,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,11.14,11.60, 6.69,-999.00,-999.00,11.47, 6.71,-999.00,15.43,16.07,-999.00,-999.00
CESM2,12.25,12.74,-999.00,13.02,17.06,12.62,-999.00,12.84,17.63,19.70,-999.00,-999.00
CNRM-CM5, 8.32, 9.21, 4.50,-999.00,-999.00, 8.97, 4.52,-999.00,13.16,14.59,-999.00,-999.00
CNRM-CM6-1, 8.69,-999.00,-999.00,10.76,-999.00,-999.00,-999.00,10.60,14.76,16.21,-999.00,-999.00
COSMOS-ASO,13.02,-999.00, 7.50,-999.00,-999.00,-999.00, 7.52,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,11.97,12.60,-999.00,-999.00,-999.00,12.45,-999.00,-999.00,16.34,18.54,-999.00,-999.00
CSIRO-Mk3L-1-2,15.43,15.87,-999.00,-999.00,-999.00,15.75,-999.00,-999.00,18.94,-999.00,-999.00,-999.00
EC-EARTH-2-2, 8.15, 8.56,-999.00,-999.00,-999.00, 8.41,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,10.88,11.62,-999.00,-999.00,-999.00,11.46,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,10.66,11.24,-999.00,11.74,-999.00,11.07,-999.00,11.54,16.07,16.17,-999.00,-999.00
FGOALS-g2,12.16,12.33, 3.74,-999.00,-999.00,12.18, 3.76,-999.00,15.64,17.31,-999.00,-999.00
FGOALS-g3,11.45,11.99,-999.00,12.71,-999.00,11.83,-999.00,12.52,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,14.64,15.33,-999.00,-999.00,-999.00,15.20,-999.00,-999.00,18.71,20.12,-999.00,-999.00
GISS-E2-1-G,11.10,11.54,-999.00,12.13,12.97,11.37,-999.00,11.94,11.92,16.04,-999.00,-999.00
GISS-E2-R,11.70,12.44, 8.19,-999.00,-999.00,12.25, 8.21,-999.00,15.46,15.91,-999.00,-999.00
HadCM3,10.56,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,11.90,12.62,-999.00,-999.00,-999.00,12.46,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,12.20,13.07,-999.00,-999.00,-999.00,12.93,-999.00,-999.00,17.02,18.55,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,13.23,-999.00,14.07,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,12.70,13.03, 9.00,13.38,-999.00,12.86, 9.02,13.11,15.62,15.96,-999.00,-999.00
IPSL-CM5A-LR, 7.96, 8.65, 3.03,-999.00,-999.00, 8.49, 3.04,-999.00,12.65,14.69,-999.00,-999.00
IPSL-CM6A-LR, 9.16, 9.51,-999.00,10.06,12.52, 9.37,-999.00, 9.90,15.02,18.94,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,16.11,16.38,12.99,16.34,-999.00,16.21,13.00,16.14,19.50,20.05,-999.00,-999.00
MIROC-ESM,14.08,14.45,10.64,-999.00,-999.00,14.26,10.66,-999.00,18.30,20.18,-999.00,-999.00
MPI-ESM1-2-LR,11.12,11.51, 7.43,21.06,-999.00,11.36,-999.00,22.14,16.55,16.73,-999.00,-999.00
MPI-ESM-P,10.80,11.24, 6.61,-999.00,-999.00,11.09, 6.62,-999.00,16.10,17.76,-999.00,-999.00
MRI-CGCM3,12.33,12.80, 6.84,-999.00,-999.00,12.66, 6.86,-999.00,15.82,16.84,-999.00,-999.00
MRI-ESM2-0,11.94,12.44,-999.00,-999.00,-999.00,12.32,-999.00,-999.00,15.97,17.16,-999.00,-999.00
NESM3,11.42,12.27,-999.00,13.41,-999.00,12.07,-999.00,13.11,17.93,19.01,-999.00,-999.00
NorESM1-F,15.56,16.10,-999.00,16.32,16.91,15.97,-999.00,16.15,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,15.27,15.73,-999.00,15.96,-999.00,15.59,-999.00,15.79,18.53,21.73,-999.00,-999.00
UofT-CCSM-4,10.67,11.07, 4.28,-999.00,-999.00,10.93, 4.30,-999.00,-999.00,-999.00,-999.00,-999.00
