MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,13.89,-999.00,-999.00,13.31,-999.00,-999.00,-999.00,13.24,18.21,19.40,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 9.39, 7.99, 9.71,-999.00, 9.36, 8.00, 9.74,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,11.65,10.70, 7.67,-999.00,-999.00,10.66, 7.68,-999.00,15.88,16.50,-999.00,-999.00
CESM2,12.69,11.71,-999.00,11.89,17.24,11.67,-999.00,11.93,18.24,20.57,-999.00,-999.00
CNRM-CM5, 9.78, 9.08, 6.84,-999.00,-999.00, 9.03, 6.85,-999.00,13.92,15.18,-999.00,-999.00
CNRM-CM6-1, 9.61,-999.00,-999.00, 8.98,-999.00,-999.00,-999.00, 9.02,15.33,16.92,-999.00,-999.00
COSMOS-ASO,13.06,-999.00, 8.07,-999.00,-999.00,-999.00, 8.08,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,11.64,10.68,-999.00,-999.00,-999.00,10.65,-999.00,-999.00,16.02,18.25,-999.00,-999.00
CSIRO-Mk3L-1-2,14.70,13.93,-999.00,-999.00,-999.00,13.90,-999.00,-999.00,18.62,-999.00,-999.00,-999.00
EC-EARTH-2-2, 8.17, 7.39,-999.00,-999.00,-999.00, 7.35,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,11.68,10.63,-999.00,-999.00,-999.00,10.59,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,11.70,10.60,-999.00,10.57,-999.00,10.55,-999.00,10.61,16.68,16.80,-999.00,-999.00
FGOALS-g2,13.05,11.49, 5.43,-999.00,-999.00,11.46, 5.44,-999.00,16.34,18.12,-999.00,-999.00
FGOALS-g3,12.14,11.27,-999.00,11.59,-999.00,11.23,-999.00,11.62,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,15.32,14.32,-999.00,-999.00,-999.00,14.29,-999.00,-999.00,19.35,21.16,-999.00,-999.00
GISS-E2-1-G,12.34,11.18,-999.00,11.33,14.42,11.14,-999.00,11.37,13.15,17.61,-999.00,-999.00
GISS-E2-R,12.88,11.76, 9.27,-999.00,-999.00,11.72, 9.28,-999.00,16.62,17.11,-999.00,-999.00
HadCM3,10.57,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,12.48,11.85,-999.00,-999.00,-999.00,11.81,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,12.86,12.21,-999.00,-999.00,-999.00,12.18,-999.00,-999.00,17.48,18.95,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,11.96,-999.00,12.47,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,13.02,11.96, 9.54,12.05,-999.00,11.92, 9.55,12.10,15.85,16.20,-999.00,-999.00
IPSL-CM5A-LR, 8.96, 7.87, 4.79,-999.00,-999.00, 7.83, 4.80,-999.00,13.57,15.76,-999.00,-999.00
IPSL-CM6A-LR,10.16, 8.95,-999.00, 9.00,13.50, 8.91,-999.00, 9.03,15.79,19.83,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,15.95,14.74,13.03,14.94,-999.00,14.71,13.04,14.96,19.35,19.93,-999.00,-999.00
MIROC-ESM,14.15,13.10,11.20,-999.00,-999.00,13.06,11.21,-999.00,18.50,20.54,-999.00,-999.00
MPI-ESM1-2-LR,11.48,10.24, 8.14,17.47,-999.00,10.20,-999.00,17.36,16.71,17.03,-999.00,-999.00
MPI-ESM-P,10.93, 9.84, 7.21,-999.00,-999.00, 9.80, 7.22,-999.00,16.03,17.91,-999.00,-999.00
MRI-CGCM3,13.25,12.38, 8.48,-999.00,-999.00,12.35, 8.49,-999.00,16.69,17.66,-999.00,-999.00
MRI-ESM2-0,12.70,11.60,-999.00,-999.00,-999.00,11.57,-999.00,-999.00,16.78,18.02,-999.00,-999.00
NESM3,12.74,11.60,-999.00,11.92,-999.00,11.56,-999.00,11.97,18.94,19.99,-999.00,-999.00
NorESM1-F,15.43,14.29,-999.00,14.47,16.82,14.25,-999.00,14.50,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,15.55,14.51,-999.00,14.67,-999.00,14.47,-999.00,14.71,18.68,22.04,-999.00,-999.00
UofT-CCSM-4,11.15,10.26, 5.38,-999.00,-999.00,10.22, 5.39,-999.00,-999.00,-999.00,-999.00,-999.00
