# This file contains the adjusted month information at 0 ka, 6 ka, 21 ka and 127 ka
# Data source: Fig 1 in Bartlein and Shafer (2019)
# Experiment: PMIP4 name (piControl, midHolocene, lig and lig127k)
# period: corresponding periods to the PMIP4 experiments
# age (ka): corresponding ages to the PMIP4 experiments
# <month>Days: number of days of each month
# <month>Mid: mid-day number of each month relative to Jan 1st at 0 ka
# <month>Beg: start day number of each month relative to Jan 1st at 0 ka
# <month>End: end day number of each month relative to Jan 1st at 0 ka
# VE_day:  vernal equinox day number relative to Jan 1st at 0 ka
# SS_day: summer solstice day munber relative to Jan 1st at 0 ka
# ndays: number of days in the year

Experiment,piControl,midHolocene,lgm,lig127k
period,pre-industrial,mid-Holocene,Last Glacial Maximum,Last Interglacial
age (ka),0,6,21,127
JanDays,31,32.48411855,30.8328973,34.34206907
FebDays,28,29.53995521,27.77416539,30.07948826
MarDays,31,32.47169095,30.72929299,31.6852086
AprDays,30,30.80519959,29.7851695,28.95343106
MayDays,31,30.97070708,30.88775827,28.50871215
JunDays,30,29.16304027,30.02855029,26.86161193
JulDays,31,29.5474187,31.16424512,27.81162263
AugDays,31,29.34677894,31.25469053,28.67792324
SepDays,30,28.62575603,30.26406604,29.19322237
OctDays,31,30.18400184,31.21630723,31.95349699
NovDays,30,30.01008258,30.09948262,32.47353862
DecDays,31,31.85125027,30.96337472,34.45967506
JanMid,15.5,12.11927457,16.00605794,11.1443322
FebMid,45,43.16312612,45.30547135,43.40053823
MarMid,74.5,74.21920341,74.55254949,74.39069291
AprMid,105,105.9122942,104.8002911,104.7334514
MayMid,135.5,136.8461822,135.1254555,133.4351854
JunMid,166,166.896074,165.5799873,160.9910692
JulMid,196.5,196.1953744,196.1801213,188.1679956
AugMid,227.5,225.5599778,227.4020172,216.285607
SepMid,258,254.4893412,258.1737712,245.1974524
OctMid,288.5,283.869959,288.9212605,275.8031165
NovMid,319,313.9840274,319.5792237,308.1149228
DecMid,349.5,344.9283972,350.1099805,341.6603328
JanBeg,0,-4.05417526,0.57404687,-6.0828558
FebBeg,31,28.40375842,31.41046413,28.21386809
MarBeg,59,57.92559617,59.18847875,58.29660892
AprBeg,90,90.40319079,89.91880011,90.03187858
MayBeg,120,121.2343137,119.7007646,119.0316533
JunBeg,151,152.2254288,150.5841487,147.538375
JulBeg,181,181.3818367,180.6117565,174.3506863
AugBeg,212,210.9021222,211.7794415,202.1106589
SepBeg,243,240.2288538,243.0383877,230.7859893
OctBeg,273,268.8610221,273.3030892,260.0255103
NovBeg,304,299.0713524,304.5158469,292.0294215
DecBeg,334,329.1007158,334.6113172,324.5048705
JanEnd,31,28.40375842,31.41046413,28.21386809
FebEnd,59,57.92559617,59.18847875,58.29660892
MarEnd,90,90.40319079,89.91880011,90.03187858
AprEnd,120,121.2343137,119.7007646,119.0316533
MayEnd,151,152.2254288,150.5841487,147.538375
JunEnd,181,181.3818367,180.6117565,174.3506863
JulEnd,212,210.9021222,211.7794415,202.1106589
AugEnd,243,240.2288538,243.0383877,230.7859893
SepEnd,273,268.8610221,273.3030892,260.0255103
OctEnd,304,299.0713524,304.5158469,292.0294215
NovEnd,334,329.1007158,334.6113172,324.5048705
DecEnd,365,360.9458247,365.5740469,358.9171442
VE_day,80.5,80.5,80.5,80.5
SS_day,173,173,173,173
ndays,365,365,365,365
