MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.50,-999.00,-999.00, 1.45,-999.00,-999.00,-999.00,-999.00, 1.55, 1.53,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.73, 1.96, 1.74,-999.00, 1.69, 1.96, 1.66,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-999.00, 2.00, 1.75,-999.00,-999.00, 1.96, 1.74,-999.00, 2.12, 2.15,-999.00,-999.00
CESM2,-999.00, 1.82,-999.00, 1.82,-999.00, 1.79,-999.00, 1.75, 2.02, 1.95,-999.00,-999.00
CNRM-CM5,-999.00, 1.59, 1.54,-999.00,-999.00, 1.56, 1.54,-999.00, 1.59, 1.61,-999.00,-999.00
CNRM-CM6-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 2.00, 2.01,-999.00,-999.00
COSMOS-ASO,-999.00,-999.00, 2.03,-999.00,-999.00,-999.00, 2.02,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-999.00, 1.43,-999.00,-999.00,-999.00, 1.41,-999.00,-999.00, 1.44, 1.40,-999.00,-999.00
CSIRO-Mk3L-1-2,-999.00, 1.21,-999.00,-999.00,-999.00, 1.19,-999.00,-999.00, 1.31,-999.00,-999.00,-999.00
EC-EARTH-2-2,-999.00, 1.55,-999.00,-999.00,-999.00, 1.51,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-999.00, 1.76,-999.00,-999.00,-999.00, 1.72,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-999.00, 1.91,-999.00, 1.97,-999.00, 1.87,-999.00, 1.88, 2.10, 2.05,-999.00,-999.00
FGOALS-g2,-999.00, 1.32, 1.26,-999.00,-999.00, 1.29, 1.26,-999.00, 1.49, 1.44,-999.00,-999.00
FGOALS-g3,-999.00, 1.52,-999.00, 1.52,-999.00, 1.49,-999.00, 1.46,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-999.00, 1.96,-999.00,-999.00,-999.00, 1.92,-999.00,-999.00, 2.12, 2.20,-999.00,-999.00
GISS-E2-1-G,-999.00, 1.82,-999.00, 1.71,-999.00, 1.78,-999.00, 1.65, 1.90, 2.06,-999.00,-999.00
GISS-E2-R,-999.00, 1.45, 1.43,-999.00,-999.00, 1.43, 1.42,-999.00, 1.73, 1.61,-999.00,-999.00
HadCM3,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-999.00, 1.55,-999.00,-999.00,-999.00, 1.52,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-999.00, 1.42,-999.00,-999.00,-999.00, 1.40,-999.00,-999.00, 1.55, 1.59,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 1.50,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-999.00, 1.22, 1.43, 1.28,-999.00, 1.19, 1.43,-999.00, 1.24, 1.28,-999.00,-999.00
IPSL-CM5A-LR,-999.00, 1.81, 1.50,-999.00,-999.00, 1.78, 1.50,-999.00, 2.03, 1.93,-999.00,-999.00
IPSL-CM6A-LR,-999.00, 1.83,-999.00, 1.82,-999.00, 1.79,-999.00, 1.74, 2.12, 1.86,-999.00,-999.00
KCM1-2-2,-999.00, 2.91,-999.00,-999.00,-999.00, 2.89,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
LOVECLIM,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-999.00, 1.27, 1.57, 1.33,-999.00, 1.23, 1.57,-999.00, 1.29, 1.27,-999.00,-999.00
MIROC-ESM,-999.00, 1.76, 1.93,-999.00,-999.00, 1.73, 1.92,-999.00, 1.82, 1.77,-999.00,-999.00
MPI-ESM1-2-LR,-999.00, 1.72, 1.79,-999.00,-999.00, 1.68,-999.00,-999.00,-999.00, 1.95,-999.00,-999.00
MPI-ESM-P,-999.00, 1.66, 1.71,-999.00,-999.00, 1.62, 1.70,-999.00, 1.87, 1.94,-999.00,-999.00
MRI-CGCM3,-999.00, 2.12, 1.79,-999.00,-999.00, 2.08, 1.78,-999.00, 2.20, 2.07,-999.00,-999.00
MRI-ESM2-0,-999.00, 1.77,-999.00,-999.00,-999.00, 1.74,-999.00,-999.00, 1.92, 1.88,-999.00,-999.00
NESM3,-999.00, 1.73,-999.00, 1.71,-999.00, 1.70,-999.00, 1.63, 1.85, 1.76,-999.00,-999.00
NorESM1-F, 1.89, 1.98,-999.00, 1.88,-999.00, 1.94,-999.00, 1.82,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.87, 1.78,-999.00,-999.00,-999.00, 1.75,-999.00,-999.00, 1.93, 1.88,-999.00,-999.00
UofT-CCSM-4, 2.27, 2.32, 1.54,-999.00,-999.00, 2.27, 1.53,-999.00,-999.00,-999.00,-999.00,-999.00
