Simulated Temperature Changes,Genre,ECS,midHolocene,lgm,lig127k,midPliocene,abrupt4xCO2,1pctCO2
ACCESS-ESM1-5,CMIP6,3.9,,,0.33,,5.51,4.28
AWI-ESM-2-1-LR,CMIP6,3.6,-0.44,,-0.25,,,
AWI-ESM-1-1-LR,CMIP6,3.6,,,-0.2,,,
CESM2,CMIP6,5.3,-0.21,,-0.11,5.2,7.22,4.98
CNRM-CM6-1,CMIP6,5.1,,,0.4,,6.74,5.47
EC-Earth3-LR,CMIP6,4.3,-0.05,,0.45,4.8,,
FGOALS-f3-L,CMIP6,3,-0.37,,-0.48,,5.17,5.04
FGOALS-g3,CMIP6,2.9,-0.23,,0.38,,,
GISS-E2-1-G,CMIP6,2.7,-0.38,,-0.12,2.1,4.22,0.72
HadGEM3-GC31-LL,CMIP6,5.4,-0.13,,0.56,,,
INM-CM4-8,CMIP6,2.1,-0.3,-3.72,-0.2,,3.55,3.03
IPSL-CM6A-LR,CMIP6,4.5,-0.36,,-0.29,3.4,9.58,5.55
MIROC-ES2L,CMIP6,2.7,-0.47,-4.04,-0.4,,4.11,3.54
MPI-ESM1-2-LR,CMIP6,2.8,-0.36,-3.91,-0.12,,5,4.72
MRI-ESM2-0,CMIP6,3.1,-0.18,,,,4.84,3.62
NESM3,CMIP6,3.7,-0.27,,0.07,,6.99,5.99
NorESM1-F,PMIP4,2.3,-0.36,,-0.24,1.7,,
NorESM2-LM,CMIP6,2.5,-0.22,,-0.11,,6.71,3.31
UofT-CCSM-4 ,PMIP4,3.2,-0.17,-5.27,,3.8,,
BCC-CSM1-1,CMIP5,3.1,-0.14,,,,4.89,3.69
CCSM4,CMIP5,2.9,-0.26,-4.91,,2.6,4.87,4.28
CNRM-CM5,CMIP5,3.3,0.18,-2.63,,,5.2,4.06
CSIRO-Mk3-6-0,CMIP5,4.1,0.02,,,,5.71,3.72
CSIRO-Mk3L-1-2,PMIP3,3.1,-0.01,,,,,3.19
EC-EARTH-2-2,CMIP5,4.2,-0.11,,,,,
FGOALS-g2,CMIP5,3.7,-0.73,-4.58,,,5.66,3.98
FGOALS-s2,CMIP5,4.5,-0.16,,,,5.93,4.31
GISS-E2-R,CMIP5,2.1,-0.1,-4.8,,,3.43,3.01
HadGEM2-CC,CMIP5,4.5,0.22,,,,,
HadGEM2-ES,CMIP5,4.6,0.24,,,,6.29,4.66
IPSL-CM5A-LR,CMIP5,4.1,-0.09,-4.6,,2.3,6.15,4.33
MIROC-ESM,CMIP5,4.7,-0.25,-5,,,6.4,4.52
MPI-ESM-P,CMIP5,3.5,-0.24,-4.41,,,5.76,4.21
MRI-CGCM3,CMIP5,2.6,-0.02,-4.68,,,4.43,3.46
CCSM4-Utrecht,PMIP4,3.2,,,,4.7,,
CESM1.2,PMIP4,4.1,,,,4,,
COSMOS-ASO,PMIP3,4.7,,-5.47,,3.4,,
HadCM3,PMIP3,3.5,,,,2.9,,
IPSLCM5A2,PMIP4,3.6,,,,2.2,,
MIROC4m,PMIP3,3.9,,,,3.1,,
MRI-CGCM2.3,PMIP3,2.8,,,,2.4,,
NorESM-L,PMIP3,3.1,,,,2.1,,
