MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.95,-999.00,-999.00, 2.10,-999.00,-999.00,-999.00, 2.13, 2.48, 2.60,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.54, 1.09, 1.57,-999.00, 1.54, 1.06, 1.59,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.49, 1.49, 0.99,-999.00,-999.00, 1.50, 0.98,-999.00, 1.92, 2.05,-999.00,-999.00
CESM2, 1.61, 1.60,-999.00, 1.63,-999.00, 1.61,-999.00, 1.65, 2.05, 2.16,-999.00,-999.00
CNRM-CM5, 1.37, 1.43, 0.93,-999.00,-999.00, 1.42, 0.90,-999.00, 1.79, 1.82,-999.00,-999.00
CNRM-CM6-1, 1.48,-999.00,-999.00, 1.64,-999.00,-999.00,-999.00,-999.00, 1.99, 2.12,-999.00,-999.00
COSMOS-ASO, 1.46,-999.00, 1.03,-999.00,-999.00,-999.00, 1.02,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.71, 1.71,-999.00,-999.00,-999.00, 1.72,-999.00,-999.00, 2.20, 2.32,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.47, 1.50,-999.00,-999.00,-999.00, 1.50,-999.00,-999.00, 1.67,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.09, 1.16,-999.00,-999.00,-999.00, 1.17,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.29, 1.35,-999.00,-999.00,-999.00, 1.36,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.39, 1.36,-999.00, 1.37,-999.00, 1.35,-999.00, 1.34, 1.98, 1.97,-999.00,-999.00
FGOALS-g2, 1.30, 1.26, 0.89,-999.00,-999.00, 1.27, 0.87,-999.00, 1.64, 1.92,-999.00,-999.00
FGOALS-g3, 1.30, 1.23,-999.00, 1.32,-999.00, 1.23,-999.00, 1.33,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.48, 1.45,-999.00,-999.00,-999.00, 1.44,-999.00,-999.00, 2.13, 2.23,-999.00,-999.00
GISS-E2-1-G, 1.40, 1.37,-999.00, 1.45,-999.00, 1.37,-999.00, 1.46, 1.49, 2.02,-999.00,-999.00
GISS-E2-R, 1.45, 1.47, 0.86,-999.00,-999.00, 1.47, 0.84,-999.00, 1.78, 1.70,-999.00,-999.00
HadCM3, 1.46,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.65, 1.72,-999.00,-999.00,-999.00, 1.73,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.73, 1.81,-999.00,-999.00,-999.00, 1.82,-999.00,-999.00, 2.28, 2.45,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.61,-999.00, 1.77,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.53, 1.54, 1.04, 1.66,-999.00, 1.56, 1.02, 1.69, 1.89, 1.94,-999.00,-999.00
IPSL-CM5A-LR, 1.51, 1.60, 0.87,-999.00,-999.00, 1.59, 0.84,-999.00, 1.82, 1.91,-999.00,-999.00
IPSL-CM6A-LR, 1.66, 1.68,-999.00, 1.78,-999.00, 1.67,-999.00, 1.77, 2.31, 2.88,-999.00,-999.00
KCM1-2-2, 0.98, 0.88,-999.00,-999.00,-999.00, 0.88,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.65, 1.63, 1.03,-999.00,-999.00, 1.65, 1.02, 1.72, 2.17, 2.30,-999.00,-999.00
MIROC-ESM, 1.76, 1.74, 1.14,-999.00,-999.00, 1.75, 1.13,-999.00, 2.50, 2.83,-999.00,-999.00
MPI-ESM1-2-LR, 1.60, 1.61, 0.96,-999.00,-999.00, 1.62,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.50, 1.54, 0.95,-999.00,-999.00, 1.54, 0.93,-999.00, 2.07, 2.25,-999.00,-999.00
MRI-CGCM3, 1.39, 1.43, 0.89,-999.00,-999.00, 1.43, 0.87,-999.00, 1.78, 1.94,-999.00,-999.00
MRI-ESM2-0, 1.62, 1.66,-999.00,-999.00,-999.00, 1.66,-999.00,-999.00, 2.15, 2.27,-999.00,-999.00
NESM3, 1.73, 1.77,-999.00, 1.90,-999.00, 1.78,-999.00, 1.94, 2.68, 2.88,-999.00,-999.00
NorESM1-F, 1.54, 1.55,-999.00, 1.63,-999.00, 1.56,-999.00, 1.65,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.46, 2.12,-999.00,-999.00,-999.00, 2.12,-999.00,-999.00, 1.97, 2.20,-999.00,-999.00
UofT-CCSM-4, 1.47, 1.46, 0.71,-999.00,-999.00, 1.47, 0.70,-999.00,-999.00,-999.00,-999.00,-999.00
