MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-6.79,-999.00,-999.00,-6.66,-999.00,-999.00,-999.00,-5.91, 1.59, 3.83,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-10.70,-17.65,-10.82,-999.00,-10.17,-17.69,-9.69,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-8.89,-9.40,-18.38,-999.00,-999.00,-8.96,-18.41,-999.00, 0.08, 0.85,-999.00,-999.00
CESM2,-6.13,-6.57,-999.00,-6.23, 1.85,-6.13,-999.00,-5.29, 2.35, 6.03,-999.00,-999.00
CNRM-CM5,-9.15,-8.54,-16.36,-999.00,-999.00,-7.98,-16.42,-999.00,-1.50,-0.05,-999.00,-999.00
CNRM-CM6-1,-8.08,-999.00,-999.00,-7.81,-999.00,-999.00,-999.00,-6.65, 1.85, 3.55,-999.00,-999.00
COSMOS-ASO,-11.04,-999.00,-18.87,-999.00,-999.00,-999.00,-18.91,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-8.69,-8.42,-999.00,-999.00,-999.00,-7.96,-999.00,-999.00,-2.07, 0.75,-999.00,-999.00
CSIRO-Mk3L-1-2,-6.45,-5.84,-999.00,-999.00,-999.00,-5.39,-999.00,-999.00,-0.71,-999.00,-999.00,-999.00
EC-EARTH-2-2,-11.49,-11.51,-999.00,-999.00,-999.00,-11.04,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-10.50,-10.33,-999.00,-999.00,-999.00,-9.81,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-9.05,-9.34,-999.00,-10.00,-999.00,-8.92,-999.00,-8.89, 1.05, 1.35,-999.00,-999.00
FGOALS-g2,-9.76,-10.95,-19.56,-999.00,-999.00,-10.44,-19.60,-999.00,-3.77, 1.23,-999.00,-999.00
FGOALS-g3,-9.15,-9.30,-999.00,-7.96,-999.00,-8.76,-999.00,-6.83,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-5.56,-5.59,-999.00,-999.00,-999.00,-5.06,-999.00,-999.00, 2.12, 4.40,-999.00,-999.00
GISS-E2-1-G,-8.96,-9.03,-999.00,-8.78,-6.80,-8.59,-999.00,-7.78,-7.59,-2.60,-999.00,-999.00
GISS-E2-R,-6.70,-6.58,-20.73,-999.00,-999.00,-6.09,-20.77,-999.00,-1.48,-0.43,-999.00,-999.00
HadCM3,-8.86,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-11.18,-10.67,-999.00,-999.00,-999.00,-10.07,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-9.75,-9.54,-999.00,-999.00,-999.00,-8.95,-999.00,-999.00, 0.10, 4.09,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-9.56,-999.00,-7.60,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-8.71,-9.10,-19.45,-9.30,-999.00,-8.58,-19.49,-8.17,-4.76,-3.64,-999.00,-999.00
IPSL-CM5A-LR,-6.55,-6.58,-19.01,-999.00,-999.00,-6.13,-19.04,-999.00, 0.66, 3.08,-999.00,-999.00
IPSL-CM6A-LR,-8.68,-9.16,-999.00,-8.52,-2.93,-8.59,-999.00,-7.32, 3.51, 9.71,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-5.66,-6.20,-15.30,-6.01,-999.00,-5.68,-15.34,-4.92, 1.89, 2.87,-999.00,-999.00
MIROC-ESM,-4.81,-5.51,-17.75,-999.00,-999.00,-5.00,-17.79,-999.00, 3.73, 7.57,-999.00,-999.00
MPI-ESM1-2-LR,-8.60,-9.25,-17.74,-0.36,-999.00,-8.76,-999.00,-0.43, 0.93, 1.16,-999.00,-999.00
MPI-ESM-P,-8.50,-8.94,-19.33,-999.00,-999.00,-8.45,-19.36,-999.00,-0.59, 2.73,-999.00,-999.00
MRI-CGCM3,-6.69,-6.65,-16.37,-999.00,-999.00,-6.18,-16.41,-999.00,-1.38, 0.09,-999.00,-999.00
MRI-ESM2-0,-5.44,-5.75,-999.00,-999.00,-999.00,-5.29,-999.00,-999.00, 0.74, 2.72,-999.00,-999.00
NESM3,-8.84,-8.67,-999.00,-8.05,-999.00,-8.17,-999.00,-6.97, 2.91, 4.82,-999.00,-999.00
NorESM1-F,-7.09,-7.77,-999.00,-7.65,-3.44,-7.34,-999.00,-6.67,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-6.51,-6.97,-999.00,-6.68,-999.00,-6.56,-999.00,-5.78, 0.40, 5.37,-999.00,-999.00
UofT-CCSM-4,-13.26,-13.10,-22.02,-999.00,-999.00,-12.67,-22.06,-999.00,-999.00,-999.00,-999.00,-999.00
