MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-5.23,-999.00,-999.00,-7.26,-999.00,-999.00,-999.00,-4.31, 2.32, 4.28,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-8.93,-17.19,-10.65,-999.00,-7.52,-17.28,-6.94,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-9.83,-10.33,-20.01,-999.00,-999.00,-8.94,-20.09,-999.00,-0.28, 0.49,-999.00,-999.00
CESM2,-4.44,-4.89,-999.00,-6.52, 0.96,-3.65,-999.00,-3.19, 2.61, 5.71,-999.00,-999.00
CNRM-CM5,-7.25,-6.34,-16.96,-999.00,-999.00,-4.83,-17.09,-999.00, 0.33, 1.38,-999.00,-999.00
CNRM-CM6-1,-5.53,-999.00,-999.00,-7.19,-999.00,-999.00,-999.00,-3.05, 3.49, 4.70,-999.00,-999.00
COSMOS-ASO,-10.05,-999.00,-17.61,-999.00,-999.00,-999.00,-17.68,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-8.76,-8.57,-999.00,-999.00,-999.00,-7.23,-999.00,-999.00,-0.79, 1.37,-999.00,-999.00
CSIRO-Mk3L-1-2,-4.11,-4.04,-999.00,-999.00,-999.00,-3.00,-999.00,-999.00, 0.62,-999.00,-999.00,-999.00
EC-EARTH-2-2,-11.93,-11.35,-999.00,-999.00,-999.00,-10.05,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-10.69,-10.33,-999.00,-999.00,-999.00,-8.82,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-7.78,-8.46,-999.00,-10.84,-999.00,-6.91,-999.00,-7.14, 1.44, 1.40,-999.00,-999.00
FGOALS-g2,-9.80,-11.35,-21.18,-999.00,-999.00,-9.84,-21.26,-999.00,-3.41, 0.82,-999.00,-999.00
FGOALS-g3,-8.11,-8.08,-999.00,-8.93,-999.00,-6.62,-999.00,-5.01,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-5.61,-5.35,-999.00,-999.00,-999.00,-3.85,-999.00,-999.00, 2.61, 4.45,-999.00,-999.00
GISS-E2-1-G,-9.24,-9.44,-999.00,-10.88,-6.69,-8.16,-999.00,-7.44,-7.49,-1.95,-999.00,-999.00
GISS-E2-R,-6.25,-6.19,-21.59,-999.00,-999.00,-4.74,-21.66,-999.00,-0.63, 0.43,-999.00,-999.00
HadCM3,-8.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-9.23,-8.74,-999.00,-999.00,-999.00,-7.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-7.65,-7.95,-999.00,-999.00,-999.00,-6.37,-999.00,-999.00, 0.94, 3.80,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-6.68,-999.00,-4.90,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-7.52,-8.13,-20.87,-10.68,-999.00,-6.60,-20.97,-6.48,-2.57,-1.45,-999.00,-999.00
IPSL-CM5A-LR,-7.74,-7.54,-20.61,-999.00,-999.00,-6.35,-20.67,-999.00,-0.01, 1.91,-999.00,-999.00
IPSL-CM6A-LR,-7.43,-7.65,-999.00,-8.77,-1.74,-6.10,-999.00,-4.44, 5.03,10.56,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-4.95,-5.18,-16.86,-6.75,-999.00,-3.86,-16.95,-3.02, 2.52, 3.79,-999.00,-999.00
MIROC-ESM,-2.99,-3.35,-17.94,-999.00,-999.00,-2.14,-18.03,-999.00, 4.76, 7.25,-999.00,-999.00
MPI-ESM1-2-LR,-7.63,-8.31,-17.97,-1.82,-999.00,-7.00,-999.00,-2.13, 0.81, 1.27,-999.00,-999.00
MPI-ESM-P,-7.73,-7.95,-19.40,-999.00,-999.00,-6.62,-19.47,-999.00, 0.13, 2.18,-999.00,-999.00
MRI-CGCM3,-7.89,-7.20,-17.87,-999.00,-999.00,-5.90,-17.96,-999.00,-1.13, 0.20,-999.00,-999.00
MRI-ESM2-0,-4.83,-5.02,-999.00,-999.00,-999.00,-3.75,-999.00,-999.00, 1.12, 2.68,-999.00,-999.00
NESM3,-7.51,-7.37,-999.00,-8.85,-999.00,-6.01,-999.00,-5.07, 3.33, 4.76,-999.00,-999.00
NorESM1-F,-7.47,-8.00,-999.00,-9.94,-4.13,-6.67,-999.00,-6.31,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-4.88,-5.33,-999.00,-6.57,-999.00,-4.14,-999.00,-3.33, 1.40, 4.99,-999.00,-999.00
UofT-CCSM-4,-13.95,-13.54,-22.98,-999.00,-999.00,-12.19,-23.07,-999.00,-999.00,-999.00,-999.00,-999.00
