MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-8.28,-999.00,-999.00,-7.72,-999.00,-999.00,-999.00,-8.34,-0.43, 1.81,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-13.41,-19.40,-12.12,-999.00,-13.16,-19.45,-12.54,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-10.12,-11.55,-20.06,-999.00,-999.00,-11.34,-20.10,-999.00,-2.47,-1.26,-999.00,-999.00
CESM2,-7.34,-8.63,-999.00,-7.42, 1.56,-8.42,-999.00,-7.75, 0.84, 4.69,-999.00,-999.00
CNRM-CM5,-11.86,-12.31,-18.87,-999.00,-999.00,-12.10,-18.92,-999.00,-5.42,-3.76,-999.00,-999.00
CNRM-CM6-1,-10.40,-999.00,-999.00,-10.40,-999.00,-999.00,-999.00,-10.82,-1.45, 0.17,-999.00,-999.00
COSMOS-ASO,-11.53,-999.00,-21.41,-999.00,-999.00,-999.00,-21.45,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-8.70,-9.04,-999.00,-999.00,-999.00,-8.82,-999.00,-999.00,-3.18, 0.12,-999.00,-999.00
CSIRO-Mk3L-1-2,-8.21,-8.21,-999.00,-999.00,-999.00,-7.98,-999.00,-999.00,-2.51,-999.00,-999.00,-999.00
EC-EARTH-2-2,-11.87,-13.07,-999.00,-999.00,-999.00,-12.87,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-12.72,-13.26,-999.00,-999.00,-999.00,-13.02,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-11.17,-12.24,-999.00,-11.56,-999.00,-12.14,-999.00,-11.97,-1.24,-0.76,-999.00,-999.00
FGOALS-g2,-9.93,-11.86,-19.58,-999.00,-999.00,-11.67,-19.62,-999.00,-5.21,-0.40,-999.00,-999.00
FGOALS-g3,-11.26,-12.68,-999.00,-9.66,-999.00,-12.44,-999.00,-10.07,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-6.64,-8.23,-999.00,-999.00,-999.00,-8.02,-999.00,-999.00, 0.46, 2.72,-999.00,-999.00
GISS-E2-1-G,-9.05,-9.96,-999.00,-8.72,-7.64,-9.80,-999.00,-9.02,-7.78,-4.86,-999.00,-999.00
GISS-E2-R,-7.20,-8.00,-20.91,-999.00,-999.00,-7.82,-20.95,-999.00,-2.84,-2.05,-999.00,-999.00
HadCM3,-8.65,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-13.17,-13.65,-999.00,-999.00,-999.00,-13.35,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-11.65,-11.92,-999.00,-999.00,-999.00,-11.64,-999.00,-999.00,-1.48, 3.48,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-11.93,-999.00,-10.63,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-9.16,-10.40,-19.55,-9.82,-999.00,-10.20,-19.60,-10.15,-6.17,-4.91,-999.00,-999.00
IPSL-CM5A-LR,-8.82,-9.79,-19.95,-999.00,-999.00,-9.57,-19.99,-999.00,-2.46, 0.42,-999.00,-999.00
IPSL-CM6A-LR,-10.06,-11.66,-999.00,-10.36,-4.76,-11.46,-999.00,-10.75,-0.74, 5.90,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-7.83,-9.56,-14.98,-7.91,-999.00,-9.32,-15.03,-8.33,-0.75,-0.19,-999.00,-999.00
MIROC-ESM,-7.98,-9.86,-19.19,-999.00,-999.00,-9.63,-19.23,-999.00, 0.05, 4.87,-999.00,-999.00
MPI-ESM1-2-LR,-10.06,-11.58,-19.14, 0.69,-999.00,-11.35,-999.00, 0.73,-1.14,-0.68,-999.00,-999.00
MPI-ESM-P,-8.74,-10.22,-20.45,-999.00,-999.00,-10.01,-20.49,-999.00,-2.14, 1.36,-999.00,-999.00
MRI-CGCM3,-7.57,-8.52,-18.16,-999.00,-999.00,-8.30,-18.21,-999.00,-2.72,-1.75,-999.00,-999.00
MRI-ESM2-0,-6.72,-7.78,-999.00,-999.00,-999.00,-7.58,-999.00,-999.00,-1.62, 0.39,-999.00,-999.00
NESM3,-10.43,-11.18,-999.00,-8.94,-999.00,-10.97,-999.00,-9.32, 0.24, 2.92,-999.00,-999.00
NorESM1-F,-8.24,-10.26,-999.00,-8.39,-3.85,-10.02,-999.00,-8.76,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-7.57,-8.47,-999.00,-7.90,-999.00,-8.30,-999.00,-8.21,-1.70, 3.95,-999.00,-999.00
UofT-CCSM-4,-15.72,-16.23,-23.77,-999.00,-999.00,-16.02,-23.82,-999.00,-999.00,-999.00,-999.00,-999.00
