MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.51,-999.00,-999.00, 1.30,-999.00,-999.00,-999.00, 1.53, 1.26, 0.99,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.36, 1.63, 1.43,-999.00, 1.34, 1.63, 1.45,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.10, 2.16, 1.25,-999.00,-999.00, 2.12, 1.26,-999.00, 1.50, 2.17,-999.00,-999.00
CESM2, 1.70, 1.67,-999.00, 1.50, 1.42, 1.64,-999.00, 1.51, 1.18, 0.77,-999.00,-999.00
CNRM-CM5, 1.61, 1.63, 1.24,-999.00,-999.00, 1.62, 1.24,-999.00, 1.32, 1.30,-999.00,-999.00
CNRM-CM6-1, 1.61,-999.00,-999.00, 1.55,-999.00,-999.00,-999.00, 1.56, 1.33, 1.17,-999.00,-999.00
COSMOS-ASO, 1.60,-999.00, 1.84,-999.00,-999.00,-999.00, 1.84,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.41, 1.25,-999.00,-999.00,-999.00, 1.23,-999.00,-999.00, 1.26, 0.96,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.46, 1.49,-999.00,-999.00,-999.00, 1.47,-999.00,-999.00, 1.13,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.54, 1.49,-999.00,-999.00,-999.00, 1.47,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.67, 1.48,-999.00,-999.00,-999.00, 1.43,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.93, 1.87,-999.00, 1.71,-999.00, 1.85,-999.00, 1.72, 1.57, 1.89,-999.00,-999.00
FGOALS-g2, 1.54, 1.49, 1.04,-999.00,-999.00, 1.47, 1.04,-999.00, 1.19, 0.87,-999.00,-999.00
FGOALS-g3, 2.10, 2.02,-999.00, 1.89,-999.00, 1.99,-999.00, 1.90,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.69, 1.81,-999.00,-999.00,-999.00, 1.78,-999.00,-999.00, 1.78, 1.59,-999.00,-999.00
GISS-E2-1-G, 1.64, 1.50,-999.00, 1.46, 1.69, 1.48,-999.00, 1.46, 1.48, 1.25,-999.00,-999.00
GISS-E2-R, 1.38, 1.23, 0.97,-999.00,-999.00, 1.21, 0.97,-999.00, 1.11, 1.18,-999.00,-999.00
HadCM3, 1.28,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.63, 1.42,-999.00,-999.00,-999.00, 1.41,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.56, 1.42,-999.00,-999.00,-999.00, 1.40,-999.00,-999.00, 1.08, 0.95,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.47,-999.00, 1.38,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.29, 1.52, 1.25, 1.48,-999.00, 1.50, 1.26, 1.49, 1.22, 1.50,-999.00,-999.00
IPSL-CM5A-LR, 1.70, 1.59, 1.32,-999.00,-999.00, 1.57, 1.32,-999.00, 1.97, 1.46,-999.00,-999.00
IPSL-CM6A-LR, 1.47, 1.49,-999.00, 1.39, 1.31, 1.46,-999.00, 1.39, 1.10, 0.89,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.99, 1.69, 1.28, 1.46,-999.00, 1.67, 1.29, 1.47, 1.83, 1.84,-999.00,-999.00
MIROC-ESM, 1.61, 1.66, 1.93,-999.00,-999.00, 1.63, 1.94,-999.00, 1.67, 1.34,-999.00,-999.00
MPI-ESM1-2-LR, 1.73, 1.60, 1.20, 0.42,-999.00, 1.58,-999.00, 0.42, 1.37, 1.46,-999.00,-999.00
MPI-ESM-P, 1.45, 1.36, 1.28,-999.00,-999.00, 1.34, 1.29,-999.00, 1.30, 1.43,-999.00,-999.00
MRI-CGCM3, 1.46, 1.55, 1.29,-999.00,-999.00, 1.52, 1.30,-999.00, 1.50, 0.97,-999.00,-999.00
MRI-ESM2-0, 1.54, 1.38,-999.00,-999.00,-999.00, 1.35,-999.00,-999.00, 1.43, 0.99,-999.00,-999.00
NESM3, 1.55, 1.69,-999.00, 1.43,-999.00, 1.67,-999.00, 1.43, 1.40, 1.04,-999.00,-999.00
NorESM1-F, 2.06, 1.86,-999.00, 2.05, 1.73, 1.83,-999.00, 2.05,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.67, 1.58,-999.00, 1.94,-999.00, 1.55,-999.00, 1.97, 1.43, 0.94,-999.00,-999.00
UofT-CCSM-4, 2.32, 2.18, 1.36,-999.00,-999.00, 2.14, 1.36,-999.00,-999.00,-999.00,-999.00,-999.00
