MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.97,-999.00,-999.00, 2.24,-999.00,-999.00,-999.00, 2.17, 2.18, 2.21,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.79, 1.65, 1.50,-999.00, 1.64, 1.51, 1.36,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.43, 1.30, 1.06,-999.00,-999.00, 1.24, 1.00,-999.00, 1.65, 1.64,-999.00,-999.00
CESM2, 1.95, 2.03,-999.00, 1.99,-999.00, 1.89,-999.00, 1.85, 1.74, 1.45,-999.00,-999.00
CNRM-CM5, 1.19, 1.25, 0.95,-999.00,-999.00, 1.22, 0.92,-999.00, 1.32, 1.33,-999.00,-999.00
CNRM-CM6-1, 1.66,-999.00,-999.00, 1.80,-999.00,-999.00,-999.00,-999.00, 1.90, 1.74,-999.00,-999.00
COSMOS-ASO, 1.34,-999.00, 0.89,-999.00,-999.00,-999.00, 0.88,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.89, 1.74,-999.00,-999.00,-999.00, 1.60,-999.00,-999.00, 2.33, 2.46,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.57, 2.34,-999.00,-999.00,-999.00, 2.12,-999.00,-999.00, 2.61,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.39, 1.31,-999.00,-999.00,-999.00, 1.26,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.13, 1.29,-999.00,-999.00,-999.00, 1.25,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.12, 1.01,-999.00, 1.02,-999.00, 0.87,-999.00, 0.90, 1.33, 1.32,-999.00,-999.00
FGOALS-g2, 1.73, 1.64, 1.15,-999.00,-999.00, 1.57, 1.12,-999.00, 2.19, 2.02,-999.00,-999.00
FGOALS-g3, 1.62, 1.42,-999.00, 1.56,-999.00, 1.39,-999.00, 1.54,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.48, 1.32,-999.00,-999.00,-999.00, 1.22,-999.00,-999.00, 1.55, 1.34,-999.00,-999.00
GISS-E2-1-G, 2.11, 2.00,-999.00, 1.77,-999.00, 1.94,-999.00, 1.70, 2.10, 1.76,-999.00,-999.00
GISS-E2-R, 1.91, 1.65, 1.37,-999.00,-999.00, 1.60, 1.29,-999.00, 1.90, 1.73,-999.00,-999.00
HadCM3, 1.91,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.38, 1.31,-999.00,-999.00,-999.00, 1.29,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.46, 1.36,-999.00,-999.00,-999.00, 1.34,-999.00,-999.00, 1.57, 1.60,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.32,-999.00, 1.66,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.61, 1.55, 1.08, 1.46,-999.00, 1.55, 1.07, 1.47, 1.89, 1.93,-999.00,-999.00
IPSL-CM5A-LR, 1.86, 1.70, 1.09,-999.00,-999.00, 1.53, 0.99,-999.00, 1.92, 1.88,-999.00,-999.00
IPSL-CM6A-LR, 0.88, 0.77,-999.00, 0.88,-999.00, 0.75,-999.00, 0.87, 1.35, 2.18,-999.00,-999.00
KCM1-2-2, 0.71, 0.63,-999.00,-999.00,-999.00, 0.62,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.02, 1.92, 1.51,-999.00,-999.00, 1.84, 1.45, 1.64, 2.25, 2.22,-999.00,-999.00
MIROC-ESM, 1.69, 1.49, 1.27,-999.00,-999.00, 1.37, 1.18,-999.00, 1.82, 1.78,-999.00,-999.00
MPI-ESM1-2-LR, 1.97, 1.84, 1.30,-999.00,-999.00, 1.72,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 2.02, 1.83, 1.25,-999.00,-999.00, 1.69, 1.19,-999.00, 2.25, 2.32,-999.00,-999.00
MRI-CGCM3, 0.98, 0.94, 0.74,-999.00,-999.00, 0.91, 0.72,-999.00, 1.27, 1.38,-999.00,-999.00
MRI-ESM2-0, 1.90, 1.90,-999.00,-999.00,-999.00, 1.78,-999.00,-999.00, 1.70, 1.46,-999.00,-999.00
NESM3, 2.19, 2.25,-999.00, 1.94,-999.00, 2.12,-999.00, 1.78, 2.98, 3.10,-999.00,-999.00
NorESM1-F, 1.76, 1.56,-999.00, 1.26,-999.00, 1.43,-999.00, 1.14,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.71, 1.72,-999.00,-999.00,-999.00, 1.54,-999.00,-999.00, 1.95, 1.93,-999.00,-999.00
UofT-CCSM-4, 1.38, 1.35, 1.15,-999.00,-999.00, 1.25, 1.06,-999.00,-999.00,-999.00,-999.00,-999.00
