MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,27.69,-999.00,-999.00,29.70,-999.00,-999.00,-999.00,30.00,34.70,36.24,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,24.83,22.03,25.43,-999.00,24.95,22.02,25.93,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,24.56,25.22,21.15,-999.00,-999.00,25.31,21.15,-999.00,29.92,30.60,-999.00,-999.00
CESM2,26.55,27.55,-999.00,27.47,32.23,27.64,-999.00,27.88,32.14,34.01,-999.00,-999.00
CNRM-CM5,25.23,26.64,22.96,-999.00,-999.00,26.78,22.95,-999.00,30.37,32.00,-999.00,-999.00
CNRM-CM6-1,24.31,-999.00,-999.00,27.40,-999.00,-999.00,-999.00,28.03,32.13,33.74,-999.00,-999.00
COSMOS-ASO,25.83,-999.00,19.11,-999.00,-999.00,-999.00,19.11,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,29.27,30.10,-999.00,-999.00,-999.00,30.24,-999.00,-999.00,35.29,38.10,-999.00,-999.00
CSIRO-Mk3L-1-2,25.85,26.36,-999.00,-999.00,-999.00,26.52,-999.00,-999.00,29.59,-999.00,-999.00,-999.00
EC-EARTH-2-2,21.27,21.83,-999.00,-999.00,-999.00,21.98,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,24.49,25.54,-999.00,-999.00,-999.00,25.74,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,26.44,27.20,-999.00,27.36,-999.00,27.34,-999.00,27.88,32.97,32.93,-999.00,-999.00
FGOALS-g2,24.56,24.50,20.32,-999.00,-999.00,24.74,20.32,-999.00,27.67,30.84,-999.00,-999.00
FGOALS-g3,25.05,26.74,-999.00,27.28,-999.00,26.80,-999.00,27.71,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,27.19,28.36,-999.00,-999.00,-999.00,28.53,-999.00,-999.00,31.52,32.32,-999.00,-999.00
GISS-E2-1-G,27.25,27.61,-999.00,28.32,27.95,27.82,-999.00,29.13,28.23,32.49,-999.00,-999.00
GISS-E2-R,27.42,28.20,23.12,-999.00,-999.00,28.33,23.12,-999.00,31.99,32.93,-999.00,-999.00
HadCM3,27.16,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,24.16,25.48,-999.00,-999.00,-999.00,25.49,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,24.65,26.05,-999.00,-999.00,-999.00,26.06,-999.00,-999.00,32.38,34.70,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,26.85,-999.00,28.32,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,23.84,24.64,20.80,24.93,-999.00,24.70,20.80,25.30,26.96,27.45,-999.00,-999.00
IPSL-CM5A-LR,25.35,26.36,22.32,-999.00,-999.00,26.41,22.31,-999.00,31.39,33.90,-999.00,-999.00
IPSL-CM6A-LR,23.84,24.28,-999.00,24.53,26.99,24.35,-999.00,24.97,32.12,38.57,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,25.00,25.49,22.45,25.06,-999.00,25.64,22.45,25.73,29.16,29.40,-999.00,-999.00
MIROC-ESM,25.77,26.10,22.19,-999.00,-999.00,26.20,22.19,-999.00,31.67,33.97,-999.00,-999.00
MPI-ESM1-2-LR,24.39,25.17,21.79,26.06,-999.00,25.29,-999.00,26.49,31.26,31.54,-999.00,-999.00
MPI-ESM-P,26.51,27.00,21.88,-999.00,-999.00,27.14,21.88,-999.00,33.98,36.40,-999.00,-999.00
MRI-CGCM3,23.68,24.24,20.18,-999.00,-999.00,24.27,20.18,-999.00,27.50,28.69,-999.00,-999.00
MRI-ESM2-0,24.77,25.58,-999.00,-999.00,-999.00,25.60,-999.00,-999.00,28.83,29.77,-999.00,-999.00
NESM3,24.45,25.60,-999.00,25.82,-999.00,25.71,-999.00,26.21,32.09,33.51,-999.00,-999.00
NorESM1-F,25.80,26.68,-999.00,26.74,28.06,26.81,-999.00,27.32,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,26.16,27.12,-999.00,27.12,-999.00,27.19,-999.00,27.51,30.91,34.24,-999.00,-999.00
UofT-CCSM-4,25.99,27.19,23.66,-999.00,-999.00,27.34,23.65,-999.00,-999.00,-999.00,-999.00,-999.00
