MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-31.81,-999.00,-999.00,-30.30,-999.00,-999.00,-999.00,-31.01,-27.38,-25.28,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-34.99,-43.85,-34.60,-999.00,-35.21,-43.82,-35.11,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-35.11,-35.08,-44.36,-999.00,-999.00,-35.31,-44.33,-999.00,-29.14,-27.76,-999.00,-999.00
CESM2,-34.95,-34.89,-999.00,-34.64,-24.34,-35.14,-999.00,-35.24,-27.68,-24.13,-999.00,-999.00
CNRM-CM5,-37.19,-36.80,-41.50,-999.00,-999.00,-37.09,-41.46,-999.00,-31.56,-29.41,-999.00,-999.00
CNRM-CM6-1,-36.51,-999.00,-999.00,-35.85,-999.00,-999.00,-999.00,-36.46,-29.44,-26.59,-999.00,-999.00
COSMOS-ASO,-38.58,-999.00,-49.68,-999.00,-999.00,-999.00,-49.66,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-37.21,-36.60,-999.00,-999.00,-999.00,-36.89,-999.00,-999.00,-32.55,-29.57,-999.00,-999.00
CSIRO-Mk3L-1-2,-37.70,-37.33,-999.00,-999.00,-999.00,-37.62,-999.00,-999.00,-33.12,-999.00,-999.00,-999.00
EC-EARTH-2-2,-33.75,-33.56,-999.00,-999.00,-999.00,-33.78,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-29.72,-29.85,-999.00,-999.00,-999.00,-30.04,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-35.20,-35.37,-999.00,-35.54,-999.00,-35.69,-999.00,-36.22,-29.23,-28.54,-999.00,-999.00
FGOALS-g2,-32.82,-33.28,-39.28,-999.00,-999.00,-33.55,-39.25,-999.00,-26.69,-25.16,-999.00,-999.00
FGOALS-g3,-34.29,-34.35,-999.00,-33.47,-999.00,-34.59,-999.00,-34.01,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-36.21,-36.14,-999.00,-999.00,-999.00,-36.38,-999.00,-999.00,-31.01,-27.44,-999.00,-999.00
GISS-E2-1-G,-35.72,-36.28,-999.00,-35.95,-26.65,-36.57,-999.00,-36.58,-35.05,-28.41,-999.00,-999.00
GISS-E2-R,-34.52,-34.16,-40.64,-999.00,-999.00,-34.37,-40.61,-999.00,-31.89,-31.15,-999.00,-999.00
HadCM3,-37.31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-32.10,-31.58,-999.00,-999.00,-999.00,-31.85,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-31.97,-31.27,-999.00,-999.00,-999.00,-31.54,-999.00,-999.00,-26.92,-24.83,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-34.32,-999.00,-34.59,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-35.03,-35.11,-40.53,-35.05,-999.00,-35.36,-40.51,-35.72,-31.06,-30.10,-999.00,-999.00
IPSL-CM5A-LR,-33.21,-33.04,-41.44,-999.00,-999.00,-33.27,-41.42,-999.00,-29.84,-27.62,-999.00,-999.00
IPSL-CM6A-LR,-37.01,-37.10,-999.00,-36.75,-28.57,-37.36,-999.00,-37.44,-31.32,-25.33,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-24.41,-24.75,-31.00,-24.35,-999.00,-25.04,-30.97,-25.12,-21.45,-20.42,-999.00,-999.00
MIROC-ESM,-33.08,-32.65,-42.18,-999.00,-999.00,-32.94,-42.15,-999.00,-27.99,-25.61,-999.00,-999.00
MPI-ESM1-2-LR,-33.64,-33.73,-41.36,-12.76,-999.00,-33.95,-999.00,-11.97,-28.65,-27.76,-999.00,-999.00
MPI-ESM-P,-33.95,-33.90,-43.66,-999.00,-999.00,-34.09,-43.64,-999.00,-30.18,-28.26,-999.00,-999.00
MRI-CGCM3,-31.28,-31.07,-42.50,-999.00,-999.00,-31.35,-42.46,-999.00,-27.52,-25.49,-999.00,-999.00
MRI-ESM2-0,-34.41,-34.31,-999.00,-999.00,-999.00,-34.56,-999.00,-999.00,-29.05,-27.04,-999.00,-999.00
NESM3,-34.10,-34.05,-999.00,-32.98,-999.00,-34.29,-999.00,-33.51,-26.70,-24.80,-999.00,-999.00
NorESM1-F,-32.68,-32.91,-999.00,-32.77,-29.99,-33.11,-999.00,-33.30,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-34.67,-34.64,-999.00,-34.37,-999.00,-34.88,-999.00,-34.98,-31.71,-24.80,-999.00,-999.00
UofT-CCSM-4,-35.01,-34.96,-45.43,-999.00,-999.00,-35.18,-45.40,-999.00,-999.00,-999.00,-999.00,-999.00
