MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.94,-999.00,-999.00, 0.90,-999.00,-999.00,-999.00, 0.99, 1.33, 0.95,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.78, 0.88, 0.76,-999.00, 0.79, 0.88, 0.81,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.75, 0.84, 0.88,-999.00,-999.00, 0.86, 0.88,-999.00, 0.79, 0.78,-999.00,-999.00
CESM2, 0.72, 0.70,-999.00, 0.73, 0.87, 0.71,-999.00, 0.75, 0.75, 0.69,-999.00,-999.00
CNRM-CM5, 0.93, 1.20, 1.01,-999.00,-999.00, 1.20, 1.01,-999.00, 0.78, 0.81,-999.00,-999.00
CNRM-CM6-1, 0.89,-999.00,-999.00, 0.95,-999.00,-999.00,-999.00, 0.93, 0.95, 0.91,-999.00,-999.00
COSMOS-ASO, 1.03,-999.00, 1.00,-999.00,-999.00,-999.00, 1.00,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.83, 0.72,-999.00,-999.00,-999.00, 0.76,-999.00,-999.00, 0.71, 0.65,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.71, 0.72,-999.00,-999.00,-999.00, 0.74,-999.00,-999.00, 0.84,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.70, 0.62,-999.00,-999.00,-999.00, 0.61,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.72, 0.74,-999.00,-999.00,-999.00, 0.77,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.83, 0.77,-999.00, 0.77,-999.00, 0.80,-999.00, 0.79, 0.95, 0.66,-999.00,-999.00
FGOALS-g2, 0.74, 0.70, 0.57,-999.00,-999.00, 0.72, 0.56,-999.00, 0.66, 0.53,-999.00,-999.00
FGOALS-g3, 0.68, 0.62,-999.00, 0.63,-999.00, 0.64,-999.00, 0.65,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.81, 0.80,-999.00,-999.00,-999.00, 0.79,-999.00,-999.00, 0.77, 0.80,-999.00,-999.00
GISS-E2-1-G, 0.87, 0.78,-999.00, 0.88, 0.89, 0.79,-999.00, 0.91, 0.89, 1.01,-999.00,-999.00
GISS-E2-R, 0.66, 0.64, 0.55,-999.00,-999.00, 0.66, 0.55,-999.00, 0.65, 0.83,-999.00,-999.00
HadCM3, 1.01,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.92, 0.85,-999.00,-999.00,-999.00, 0.89,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.93, 0.84,-999.00,-999.00,-999.00, 0.86,-999.00,-999.00, 0.81, 0.81,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.89,-999.00, 0.83,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.65, 0.68, 0.58, 0.65,-999.00, 0.71, 0.58, 0.66, 0.87, 0.75,-999.00,-999.00
IPSL-CM5A-LR, 0.88, 0.90, 0.70,-999.00,-999.00, 0.92, 0.70,-999.00, 1.15, 0.98,-999.00,-999.00
IPSL-CM6A-LR, 1.00, 0.99,-999.00, 0.95, 0.90, 1.03,-999.00, 0.99, 1.06, 0.65,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.60, 0.67, 0.63, 0.54,-999.00, 0.69, 0.63, 0.58, 0.62, 0.60,-999.00,-999.00
MIROC-ESM, 0.94, 0.79, 0.77,-999.00,-999.00, 0.81, 0.77,-999.00, 0.88, 0.81,-999.00,-999.00
MPI-ESM1-2-LR, 0.81, 0.78, 0.81, 0.93,-999.00, 0.80,-999.00, 0.81, 0.71, 0.81,-999.00,-999.00
MPI-ESM-P, 0.76, 0.72, 0.78,-999.00,-999.00, 0.75, 0.78,-999.00, 0.77, 0.89,-999.00,-999.00
MRI-CGCM3, 0.90, 0.97, 1.28,-999.00,-999.00, 0.95, 1.28,-999.00, 0.78, 0.83,-999.00,-999.00
MRI-ESM2-0, 1.01, 1.03,-999.00,-999.00,-999.00, 1.03,-999.00,-999.00, 0.84, 1.11,-999.00,-999.00
NESM3, 0.86, 0.94,-999.00, 0.85,-999.00, 0.99,-999.00, 0.95, 0.71, 0.80,-999.00,-999.00
NorESM1-F, 0.70, 0.76,-999.00, 0.69, 0.69, 0.77,-999.00, 0.71,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.80, 0.70,-999.00, 0.68,-999.00, 0.73,-999.00, 0.73, 0.80, 0.69,-999.00,-999.00
UofT-CCSM-4, 0.71, 0.84, 0.76,-999.00,-999.00, 0.86, 0.76,-999.00,-999.00,-999.00,-999.00,-999.00
