MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-34.87,-999.00,-999.00,-33.82,-999.00,-999.00,-999.00,-34.09,-30.04,-27.77,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-38.09,-46.93,-37.94,-999.00,-38.10,-46.92,-37.88,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-39.11,-39.72,-48.12,-999.00,-999.00,-39.72,-48.11,-999.00,-32.42,-30.76,-999.00,-999.00
CESM2,-38.92,-39.30,-999.00,-39.18,-26.16,-39.31,-999.00,-39.12,-30.78,-26.65,-999.00,-999.00
CNRM-CM5,-40.98,-41.02,-47.78,-999.00,-999.00,-41.04,-47.77,-999.00,-35.56,-33.53,-999.00,-999.00
CNRM-CM6-1,-39.76,-999.00,-999.00,-39.86,-999.00,-999.00,-999.00,-39.79,-32.82,-29.70,-999.00,-999.00
COSMOS-ASO,-41.21,-999.00,-51.97,-999.00,-999.00,-999.00,-51.96,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-42.80,-42.82,-999.00,-999.00,-999.00,-42.82,-999.00,-999.00,-37.77,-34.61,-999.00,-999.00
CSIRO-Mk3L-1-2,-43.49,-43.76,-999.00,-999.00,-999.00,-43.77,-999.00,-999.00,-38.98,-999.00,-999.00,-999.00
EC-EARTH-2-2,-36.64,-37.16,-999.00,-999.00,-999.00,-37.18,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-32.40,-33.14,-999.00,-999.00,-999.00,-33.15,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-38.07,-38.80,-999.00,-39.14,-999.00,-38.83,-999.00,-39.05,-31.72,-31.20,-999.00,-999.00
FGOALS-g2,-36.74,-37.95,-42.79,-999.00,-999.00,-37.98,-42.78,-999.00,-30.37,-27.94,-999.00,-999.00
FGOALS-g3,-36.93,-37.51,-999.00,-36.71,-999.00,-37.54,-999.00,-36.64,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-39.49,-40.09,-999.00,-999.00,-999.00,-40.11,-999.00,-999.00,-34.17,-30.26,-999.00,-999.00
GISS-E2-1-G,-38.11,-39.32,-999.00,-39.35,-27.76,-39.36,-999.00,-39.27,-37.42,-30.27,-999.00,-999.00
GISS-E2-R,-36.83,-37.09,-43.08,-999.00,-999.00,-37.12,-43.07,-999.00,-34.28,-33.40,-999.00,-999.00
HadCM3,-42.98,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-37.10,-37.28,-999.00,-999.00,-999.00,-37.29,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-37.02,-36.79,-999.00,-999.00,-999.00,-36.80,-999.00,-999.00,-31.46,-29.10,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-41.40,-999.00,-41.29,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-40.27,-41.04,-45.72,-40.85,-999.00,-41.04,-45.72,-40.79,-36.54,-35.58,-999.00,-999.00
IPSL-CM5A-LR,-35.91,-36.19,-43.72,-999.00,-999.00,-36.21,-43.71,-999.00,-32.95,-30.88,-999.00,-999.00
IPSL-CM6A-LR,-41.49,-42.25,-999.00,-42.00,-32.26,-42.26,-999.00,-41.93,-35.08,-28.15,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-30.03,-30.95,-37.60,-30.83,-999.00,-30.96,-37.60,-30.75,-27.02,-26.00,-999.00,-999.00
MIROC-ESM,-38.27,-38.36,-48.28,-999.00,-999.00,-38.38,-48.28,-999.00,-32.67,-30.24,-999.00,-999.00
MPI-ESM1-2-LR,-35.70,-36.29,-43.69,-16.10,-999.00,-36.31,-999.00,-16.44,-30.59,-29.85,-999.00,-999.00
MPI-ESM-P,-35.76,-36.05,-45.60,-999.00,-999.00,-36.06,-45.59,-999.00,-31.87,-29.91,-999.00,-999.00
MRI-CGCM3,-34.41,-34.93,-45.93,-999.00,-999.00,-34.95,-45.92,-999.00,-30.20,-28.27,-999.00,-999.00
MRI-ESM2-0,-38.20,-38.55,-999.00,-999.00,-999.00,-38.56,-999.00,-999.00,-32.46,-30.52,-999.00,-999.00
NESM3,-36.21,-36.89,-999.00,-36.33,-999.00,-36.91,-999.00,-36.26,-28.34,-26.71,-999.00,-999.00
NorESM1-F,-36.81,-37.56,-999.00,-37.54,-34.11,-37.56,-999.00,-37.49,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-38.97,-39.34,-999.00,-39.20,-999.00,-39.34,-999.00,-39.14,-35.62,-27.94,-999.00,-999.00
UofT-CCSM-4,-39.04,-39.56,-48.96,-999.00,-999.00,-39.56,-48.95,-999.00,-999.00,-999.00,-999.00,-999.00
