MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.59,-999.00,-999.00, 1.94,-999.00,-999.00,-999.00, 1.54, 3.44, 5.26,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-0.84,-6.82,-0.81,-999.00,-0.89,-6.80,-0.74,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-4.45,-4.84,-11.85,-999.00,-999.00,-4.89,-11.83,-999.00, 1.56, 3.03,-999.00,-999.00
CESM2,-1.23,-1.35,-999.00,-1.38, 6.12,-1.39,-999.00,-1.32, 4.32, 6.67,-999.00,-999.00
CNRM-CM5, 1.85, 1.92,-0.33,-999.00,-999.00, 1.88,-0.32,-999.00, 5.11, 6.43,-999.00,-999.00
CNRM-CM6-1, 0.27,-999.00,-999.00, 0.40,-999.00,-999.00,-999.00, 0.47, 4.77, 6.66,-999.00,-999.00
COSMOS-ASO,-2.84,-999.00,-8.04,-999.00,-999.00,-999.00,-8.02,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-1.75,-1.57,-999.00,-999.00,-999.00,-1.62,-999.00,-999.00, 1.49, 3.80,-999.00,-999.00
CSIRO-Mk3L-1-2,-0.34,-0.31,-999.00,-999.00,-999.00,-0.35,-999.00,-999.00, 2.26,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.78, 1.43,-999.00,-999.00,-999.00, 1.39,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 3.55, 3.29,-999.00,-999.00,-999.00, 3.25,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 2.26, 1.79,-999.00, 1.27,-999.00, 1.76,-999.00, 1.34, 5.49, 6.09,-999.00,-999.00
FGOALS-g2,-2.68,-3.62,-5.12,-999.00,-999.00,-3.67,-5.11,-999.00, 2.67, 4.50,-999.00,-999.00
FGOALS-g3,-1.12,-1.52,-999.00,-0.61,-999.00,-1.58,-999.00,-0.54,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-1.65,-1.82,-999.00,-999.00,-999.00,-1.89,-999.00,-999.00, 2.99, 6.16,-999.00,-999.00
GISS-E2-1-G, 0.17,-0.50,-999.00,-0.53, 4.56,-0.54,-999.00,-0.48, 0.42, 3.97,-999.00,-999.00
GISS-E2-R, 1.27, 1.20,-0.91,-999.00,-999.00, 1.17,-0.90,-999.00, 2.82, 3.41,-999.00,-999.00
HadCM3,-1.31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.44, 1.61,-999.00,-999.00,-999.00, 1.57,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.35, 1.47,-999.00,-999.00,-999.00, 1.43,-999.00,-999.00, 4.15, 5.67,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-0.27,-999.00,-0.72,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.05, 1.70, 1.49, 1.39,-999.00, 1.68, 1.50, 1.44, 4.38, 5.04,-999.00,-999.00
IPSL-CM5A-LR, 0.33, 0.13,-1.98,-999.00,-999.00, 0.08,-1.97,-999.00, 2.13, 3.43,-999.00,-999.00
IPSL-CM6A-LR,-0.35,-0.73,-999.00,-1.06, 5.22,-0.78,-999.00,-0.99, 3.68, 8.59,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 5.42, 4.93, 2.34, 5.19,-999.00, 4.90, 2.35, 5.22, 6.46, 7.04,-999.00,-999.00
MIROC-ESM,-0.88,-0.42,-5.29,-999.00,-999.00,-0.47,-5.28,-999.00, 2.58, 4.01,-999.00,-999.00
MPI-ESM1-2-LR, 1.40, 1.15,-3.28,-4.91,-999.00, 1.12,-999.00,-5.18, 3.75, 4.31,-999.00,-999.00
MPI-ESM-P, 1.15, 1.06,-2.74,-999.00,-999.00, 1.03,-2.72,-999.00, 2.94, 4.00,-999.00,-999.00
MRI-CGCM3, 1.53, 1.42,-6.16,-999.00,-999.00, 1.37,-6.14,-999.00, 4.49, 5.88,-999.00,-999.00
MRI-ESM2-0,-1.49,-1.40,-999.00,-999.00,-999.00,-1.45,-999.00,-999.00, 2.61, 4.04,-999.00,-999.00
NESM3, 0.36, 0.09,-999.00, 0.50,-999.00, 0.05,-999.00, 0.55, 4.03, 5.12,-999.00,-999.00
NorESM1-F,-0.11,-0.59,-999.00,-0.74, 2.37,-0.62,-999.00,-0.69,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.42, 1.09,-999.00, 1.15,-999.00, 1.06,-999.00, 1.20, 2.66, 7.86,-999.00,-999.00
UofT-CCSM-4,-4.42,-4.50,-14.75,-999.00,-999.00,-4.55,-14.73,-999.00,-999.00,-999.00,-999.00,-999.00
