MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.07,-999.00,-999.00, 1.20,-999.00,-999.00,-999.00, 1.20, 1.56, 1.71,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.03, 0.64, 1.07,-999.00, 1.02, 0.61, 1.07,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.02, 1.01, 0.50,-999.00,-999.00, 1.01, 0.49,-999.00, 1.42, 1.48,-999.00,-999.00
CESM2, 0.99, 1.00,-999.00, 1.04,-999.00, 1.00,-999.00, 1.04, 1.36, 1.54,-999.00,-999.00
CNRM-CM5, 0.86, 0.91, 0.62,-999.00,-999.00, 0.89, 0.59,-999.00, 1.21, 1.30,-999.00,-999.00
CNRM-CM6-1, 1.08,-999.00,-999.00, 1.20,-999.00,-999.00,-999.00,-999.00, 1.59, 1.70,-999.00,-999.00
COSMOS-ASO, 0.92,-999.00, 0.52,-999.00,-999.00,-999.00, 0.50,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.89, 0.92,-999.00,-999.00,-999.00, 0.92,-999.00,-999.00, 1.15, 1.32,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.85, 0.88,-999.00,-999.00,-999.00, 0.86,-999.00,-999.00, 1.05,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.73, 0.77,-999.00,-999.00,-999.00, 0.76,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.81, 0.88,-999.00,-999.00,-999.00, 0.87,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.84, 0.83,-999.00, 0.85,-999.00, 0.82,-999.00, 0.84, 1.38, 1.39,-999.00,-999.00
FGOALS-g2, 1.07, 1.03, 0.55,-999.00,-999.00, 1.03, 0.53,-999.00, 1.50, 1.64,-999.00,-999.00
FGOALS-g3, 0.85, 0.82,-999.00, 0.89,-999.00, 0.81,-999.00, 0.89,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.84, 0.85,-999.00,-999.00,-999.00, 0.82,-999.00,-999.00, 1.22, 1.32,-999.00,-999.00
GISS-E2-1-G, 0.96, 0.95,-999.00, 1.02,-999.00, 0.94,-999.00, 1.01, 1.02, 1.34,-999.00,-999.00
GISS-E2-R, 0.87, 0.91, 0.39,-999.00,-999.00, 0.91, 0.38,-999.00, 1.14, 1.13,-999.00,-999.00
HadCM3, 0.75,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.88, 0.96,-999.00,-999.00,-999.00, 0.96,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.99, 1.07,-999.00,-999.00,-999.00, 1.06,-999.00,-999.00, 1.53, 1.72,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.05,-999.00, 1.16,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.97, 1.00, 0.56, 1.06,-999.00, 1.00, 0.54, 1.07, 1.27, 1.34,-999.00,-999.00
IPSL-CM5A-LR, 0.83, 0.86, 0.43,-999.00,-999.00, 0.84, 0.41,-999.00, 1.10, 1.21,-999.00,-999.00
IPSL-CM6A-LR, 1.11, 1.11,-999.00, 1.18,-999.00, 1.08,-999.00, 1.16, 1.75, 2.34,-999.00,-999.00
KCM1-2-2, 0.50, 0.46,-999.00,-999.00,-999.00, 0.46,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.01, 1.01, 0.60,-999.00,-999.00, 1.01, 0.59, 1.06, 1.38, 1.44,-999.00,-999.00
MIROC-ESM, 1.09, 1.09, 0.50,-999.00,-999.00, 1.08, 0.49,-999.00, 1.68, 1.90,-999.00,-999.00
MPI-ESM1-2-LR, 1.00, 1.01, 0.60,-999.00,-999.00, 1.01,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.02, 1.05, 0.59,-999.00,-999.00, 1.04, 0.57,-999.00, 1.42, 1.57,-999.00,-999.00
MRI-CGCM3, 0.90, 0.95, 0.46,-999.00,-999.00, 0.93, 0.43,-999.00, 1.30, 1.41,-999.00,-999.00
MRI-ESM2-0, 1.13, 1.15,-999.00,-999.00,-999.00, 1.15,-999.00,-999.00, 1.45, 1.63,-999.00,-999.00
NESM3, 1.04, 1.06,-999.00, 1.15,-999.00, 1.05,-999.00, 1.15, 1.85, 1.99,-999.00,-999.00
NorESM1-F, 1.03, 1.04,-999.00, 1.08,-999.00, 1.03,-999.00, 1.08,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.93, 1.54,-999.00,-999.00,-999.00, 1.52,-999.00,-999.00, 1.26, 1.48,-999.00,-999.00
UofT-CCSM-4, 0.90, 0.91, 0.34,-999.00,-999.00, 0.91, 0.32,-999.00,-999.00,-999.00,-999.00,-999.00
