MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.16,-999.00,-999.00, 1.25,-999.00,-999.00,-999.00, 1.37, 1.81, 1.97,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.23, 0.66, 1.21,-999.00, 1.25, 0.63, 1.36,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.20, 1.25, 0.54,-999.00,-999.00, 1.27, 0.53,-999.00, 1.78, 1.83,-999.00,-999.00
CESM2, 1.18, 1.23,-999.00, 1.19,-999.00, 1.25,-999.00, 1.30, 1.70, 1.93,-999.00,-999.00
CNRM-CM5, 1.03, 1.14, 0.59,-999.00,-999.00, 1.15, 0.56,-999.00, 1.48, 1.58,-999.00,-999.00
CNRM-CM6-1, 1.21,-999.00,-999.00, 1.35,-999.00,-999.00,-999.00,-999.00, 1.98, 2.15,-999.00,-999.00
COSMOS-ASO, 1.04,-999.00, 0.50,-999.00,-999.00,-999.00, 0.48,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.88, 0.94,-999.00,-999.00,-999.00, 0.97,-999.00,-999.00, 1.30, 1.55,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.99, 1.04,-999.00,-999.00,-999.00, 1.05,-999.00,-999.00, 1.26,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.82, 0.89,-999.00,-999.00,-999.00, 0.91,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.94, 1.06,-999.00,-999.00,-999.00, 1.08,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.05, 1.07,-999.00, 1.04,-999.00, 1.09,-999.00, 1.13, 1.82, 1.83,-999.00,-999.00
FGOALS-g2, 1.16, 1.15, 0.55,-999.00,-999.00, 1.18, 0.53,-999.00, 1.73, 1.95,-999.00,-999.00
FGOALS-g3, 0.97, 0.99,-999.00, 1.02,-999.00, 1.01,-999.00, 1.11,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.09, 1.15,-999.00,-999.00,-999.00, 1.14,-999.00,-999.00, 1.67, 1.81,-999.00,-999.00
GISS-E2-1-G, 1.18, 1.22,-999.00, 1.28,-999.00, 1.25,-999.00, 1.40, 1.29, 1.75,-999.00,-999.00
GISS-E2-R, 1.07, 1.14, 0.35,-999.00,-999.00, 1.16, 0.34,-999.00, 1.51, 1.53,-999.00,-999.00
HadCM3, 0.87,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.92, 1.04,-999.00,-999.00,-999.00, 1.06,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.07, 1.20,-999.00,-999.00,-999.00, 1.22,-999.00,-999.00, 1.83, 2.06,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.29,-999.00, 1.50,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.01, 1.03, 0.51, 1.03,-999.00, 1.05, 0.48, 1.16, 1.38, 1.46,-999.00,-999.00
IPSL-CM5A-LR, 0.91, 0.99, 0.39,-999.00,-999.00, 1.01, 0.37,-999.00, 1.41, 1.61,-999.00,-999.00
IPSL-CM6A-LR, 1.30, 1.36,-999.00, 1.43,-999.00, 1.37,-999.00, 1.57, 2.23, 2.94,-999.00,-999.00
KCM1-2-2, 0.50, 0.46,-999.00,-999.00,-999.00, 0.46,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.99, 1.00, 0.51,-999.00,-999.00, 1.03, 0.50, 1.10, 1.53, 1.60,-999.00,-999.00
MIROC-ESM, 1.24, 1.27, 0.52,-999.00,-999.00, 1.30, 0.51,-999.00, 1.96, 2.27,-999.00,-999.00
MPI-ESM1-2-LR, 1.10, 1.17, 0.60,-999.00,-999.00, 1.19,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.12, 1.21, 0.56,-999.00,-999.00, 1.23, 0.54,-999.00, 1.81, 2.02,-999.00,-999.00
MRI-CGCM3, 1.04, 1.14, 0.50,-999.00,-999.00, 1.16, 0.47,-999.00, 1.55, 1.69,-999.00,-999.00
MRI-ESM2-0, 1.31, 1.39,-999.00,-999.00,-999.00, 1.41,-999.00,-999.00, 1.76, 1.95,-999.00,-999.00
NESM3, 1.24, 1.34,-999.00, 1.36,-999.00, 1.37,-999.00, 1.55, 2.44, 2.58,-999.00,-999.00
NorESM1-F, 1.17, 1.22,-999.00, 1.19,-999.00, 1.24,-999.00, 1.34,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.12, 2.07,-999.00,-999.00,-999.00, 2.09,-999.00,-999.00, 1.59, 1.91,-999.00,-999.00
UofT-CCSM-4, 1.06, 1.15, 0.35,-999.00,-999.00, 1.18, 0.33,-999.00,-999.00,-999.00,-999.00,-999.00
