MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-15.03,-999.00,-999.00,-13.65,-999.00,-999.00,-999.00,-12.89,-6.01,-3.24,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-14.95,-24.52,-14.65,-999.00,-14.46,-24.58,-13.64,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-17.18,-17.22,-28.64,-999.00,-999.00,-16.73,-28.68,-999.00,-8.27,-7.57,-999.00,-999.00
CESM2,-15.18,-15.01,-999.00,-14.38,-2.71,-14.54,-999.00,-13.43,-6.63,-1.81,-999.00,-999.00
CNRM-CM5,-17.86,-16.68,-24.43,-999.00,-999.00,-16.09,-24.50,-999.00,-8.90,-7.26,-999.00,-999.00
CNRM-CM6-1,-16.15,-999.00,-999.00,-15.00,-999.00,-999.00,-999.00,-13.90,-4.78,-3.31,-999.00,-999.00
COSMOS-ASO,-16.42,-999.00,-28.62,-999.00,-999.00,-999.00,-28.67,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-18.06,-17.64,-999.00,-999.00,-999.00,-17.08,-999.00,-999.00,-11.56,-8.33,-999.00,-999.00
CSIRO-Mk3L-1-2,-14.19,-13.60,-999.00,-999.00,-999.00,-13.09,-999.00,-999.00,-7.82,-999.00,-999.00,-999.00
EC-EARTH-2-2,-18.91,-18.08,-999.00,-999.00,-999.00,-17.63,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-18.34,-17.30,-999.00,-999.00,-999.00,-16.79,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-18.42,-18.43,-999.00,-18.62,-999.00,-17.92,-999.00,-17.46,-6.89,-6.81,-999.00,-999.00
FGOALS-g2,-17.35,-17.93,-30.70,-999.00,-999.00,-17.42,-30.74,-999.00,-9.39,-6.16,-999.00,-999.00
FGOALS-g3,-18.75,-18.37,-999.00,-16.83,-999.00,-17.82,-999.00,-15.68,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-16.02,-15.63,-999.00,-999.00,-999.00,-15.07,-999.00,-999.00,-7.22,-5.04,-999.00,-999.00
GISS-E2-1-G,-18.23,-17.84,-999.00,-17.12,-13.06,-17.36,-999.00,-16.13,-16.61,-11.00,-999.00,-999.00
GISS-E2-R,-16.81,-16.35,-33.03,-999.00,-999.00,-15.86,-33.07,-999.00,-11.66,-10.80,-999.00,-999.00
HadCM3,-19.51,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-19.26,-17.59,-999.00,-999.00,-999.00,-17.04,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-17.10,-15.79,-999.00,-999.00,-999.00,-15.26,-999.00,-999.00,-5.91,-1.52,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-15.52,-999.00,-12.91,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-16.41,-16.42,-27.56,-16.13,-999.00,-15.91,-27.61,-14.99,-10.77,-9.78,-999.00,-999.00
IPSL-CM5A-LR,-16.15,-15.83,-27.49,-999.00,-999.00,-15.35,-27.53,-999.00,-8.63,-6.40,-999.00,-999.00
IPSL-CM6A-LR,-15.76,-15.97,-999.00,-14.84,-6.69,-15.44,-999.00,-13.74,-3.29, 3.82,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-12.97,-13.08,-24.41,-12.89,-999.00,-12.58,-24.47,-11.81,-4.21,-3.41,-999.00,-999.00
MIROC-ESM,-11.83,-12.07,-25.90,-999.00,-999.00,-11.59,-25.96,-999.00,-1.85, 1.41,-999.00,-999.00
MPI-ESM1-2-LR,-14.88,-14.98,-25.16,-19.30,-999.00,-14.50,-999.00,-19.64,-4.50,-4.02,-999.00,-999.00
MPI-ESM-P,-14.87,-14.72,-27.41,-999.00,-999.00,-14.27,-27.46,-999.00,-6.68,-3.48,-999.00,-999.00
MRI-CGCM3,-16.28,-15.50,-26.70,-999.00,-999.00,-14.97,-26.76,-999.00,-8.53,-6.86,-999.00,-999.00
MRI-ESM2-0,-12.65,-12.50,-999.00,-999.00,-999.00,-12.03,-999.00,-999.00,-6.28,-3.49,-999.00,-999.00
NESM3,-15.46,-15.46,-999.00,-15.13,-999.00,-14.93,-999.00,-14.11,-2.26,-0.33,-999.00,-999.00
NorESM1-F,-15.20,-15.46,-999.00,-15.16,-7.86,-15.00,-999.00,-14.15,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-15.61,-15.56,-999.00,-14.98,-999.00,-15.10,-999.00,-14.05,-7.69,-1.88,-999.00,-999.00
UofT-CCSM-4,-20.73,-20.09,-32.67,-999.00,-999.00,-19.58,-32.72,-999.00,-999.00,-999.00,-999.00,-999.00
