MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-17.61,-999.00,-999.00,-16.08,-999.00,-999.00,-999.00,-16.67,-9.25,-6.51,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-18.95,-27.38,-17.62,-999.00,-18.71,-27.45,-18.05,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-19.52,-20.61,-30.65,-999.00,-999.00,-20.40,-30.71,-999.00,-12.06,-11.18,-999.00,-999.00
CESM2,-17.78,-18.64,-999.00,-17.45,-4.20,-18.41,-999.00,-17.82,-10.42,-5.15,-999.00,-999.00
CNRM-CM5,-21.71,-21.69,-27.68,-999.00,-999.00,-21.42,-27.77,-999.00,-14.06,-12.57,-999.00,-999.00
CNRM-CM6-1,-20.23,-999.00,-999.00,-19.74,-999.00,-999.00,-999.00,-20.21,-10.14,-8.46,-999.00,-999.00
COSMOS-ASO,-18.84,-999.00,-31.52,-999.00,-999.00,-999.00,-31.58,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-19.15,-19.33,-999.00,-999.00,-999.00,-19.06,-999.00,-999.00,-13.45,-10.56,-999.00,-999.00
CSIRO-Mk3L-1-2,-16.43,-16.65,-999.00,-999.00,-999.00,-16.38,-999.00,-999.00,-10.14,-999.00,-999.00,-999.00
EC-EARTH-2-2,-19.65,-19.70,-999.00,-999.00,-999.00,-19.48,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-20.60,-20.65,-999.00,-999.00,-999.00,-20.43,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-21.57,-22.49,-999.00,-21.36,-999.00,-22.20,-999.00,-21.82,-10.75,-10.82,-999.00,-999.00
FGOALS-g2,-18.49,-20.07,-30.75,-999.00,-999.00,-19.86,-30.81,-999.00,-11.90,-8.50,-999.00,-999.00
FGOALS-g3,-21.85,-22.79,-999.00,-20.16,-999.00,-22.54,-999.00,-20.63,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-18.88,-19.82,-999.00,-999.00,-999.00,-19.58,-999.00,-999.00,-11.37,-9.40,-999.00,-999.00
GISS-E2-1-G,-20.06,-20.96,-999.00,-19.64,-15.93,-20.75,-999.00,-20.01,-18.54,-14.69,-999.00,-999.00
GISS-E2-R,-18.87,-19.27,-33.24,-999.00,-999.00,-19.05,-33.30,-999.00,-14.92,-14.18,-999.00,-999.00
HadCM3,-21.43,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-23.11,-22.18,-999.00,-999.00,-999.00,-21.88,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-20.49,-19.88,-999.00,-999.00,-999.00,-19.60,-999.00,-999.00,-8.66,-3.59,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-18.84,-999.00,-17.12,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-17.41,-18.30,-28.15,-16.96,-999.00,-18.06,-28.21,-17.35,-12.47,-11.52,-999.00,-999.00
IPSL-CM5A-LR,-17.87,-18.49,-28.33,-999.00,-999.00,-18.28,-28.39,-999.00,-11.80,-9.84,-999.00,-999.00
IPSL-CM6A-LR,-17.55,-18.83,-999.00,-17.34,-8.70,-18.62,-999.00,-17.73,-7.72,-0.20,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-15.16,-16.10,-25.28,-14.73,-999.00,-15.86,-25.35,-15.14,-7.29,-6.44,-999.00,-999.00
MIROC-ESM,-15.82,-17.13,-28.12,-999.00,-999.00,-16.90,-28.18,-999.00,-5.79,-2.12,-999.00,-999.00
MPI-ESM1-2-LR,-17.82,-18.84,-27.91,-20.01,-999.00,-18.61,-999.00,-19.94,-8.29,-7.48,-999.00,-999.00
MPI-ESM-P,-16.88,-17.71,-29.41,-999.00,-999.00,-17.50,-29.47,-999.00,-10.06,-6.92,-999.00,-999.00
MRI-CGCM3,-18.88,-19.29,-29.29,-999.00,-999.00,-19.05,-29.36,-999.00,-12.01,-10.56,-999.00,-999.00
MRI-ESM2-0,-15.55,-16.39,-999.00,-999.00,-999.00,-16.18,-999.00,-999.00,-10.81,-7.80,-999.00,-999.00
NESM3,-19.71,-21.12,-999.00,-19.74,-999.00,-20.87,-999.00,-20.19,-6.84,-4.10,-999.00,-999.00
NorESM1-F,-17.53,-18.74,-999.00,-17.38,-8.82,-18.50,-999.00,-17.78,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-18.37,-19.15,-999.00,-18.03,-999.00,-18.92,-999.00,-18.38,-11.46,-5.77,-999.00,-999.00
UofT-CCSM-4,-23.47,-23.92,-35.18,-999.00,-999.00,-23.69,-35.25,-999.00,-999.00,-999.00,-999.00,-999.00
