MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-16.55,-999.00,-999.00,-14.79,-999.00,-999.00,-999.00,-15.36,-6.16,-0.78,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-17.00,-24.31,-16.09,-999.00,-16.79,-24.37,-16.39,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-17.40,-18.21,-31.17,-999.00,-999.00,-18.00,-31.24,-999.00,-8.63,-7.63,-999.00,-999.00
CESM2,-15.82,-16.51,-999.00,-15.53,-5.05,-16.29,-999.00,-15.83,-7.54, 0.10,-999.00,-999.00
CNRM-CM5,-20.46,-19.41,-27.59,-999.00,-999.00,-19.18,-27.68,-999.00,-8.84,-7.15,-999.00,-999.00
CNRM-CM6-1,-20.13,-999.00,-999.00,-19.64,-999.00,-999.00,-999.00,-19.97,-7.32,-5.76,-999.00,-999.00
COSMOS-ASO,-17.34,-999.00,-31.66,-999.00,-999.00,-999.00,-31.73,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-21.73,-21.72,-999.00,-999.00,-999.00,-21.43,-999.00,-999.00,-14.74,-11.34,-999.00,-999.00
CSIRO-Mk3L-1-2,-16.75,-16.76,-999.00,-999.00,-999.00,-16.52,-999.00,-999.00,-7.45,-999.00,-999.00,-999.00
EC-EARTH-2-2,-19.91,-19.43,-999.00,-999.00,-999.00,-19.19,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-19.80,-19.22,-999.00,-999.00,-999.00,-19.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-20.10,-20.89,-999.00,-19.71,-999.00,-20.60,-999.00,-20.09,-5.86,-5.39,-999.00,-999.00
FGOALS-g2,-18.16,-19.63,-33.80,-999.00,-999.00,-19.41,-33.88,-999.00,-10.28,-3.61,-999.00,-999.00
FGOALS-g3,-23.16,-24.13,-999.00,-20.67,-999.00,-23.88,-999.00,-21.04,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-21.93,-22.68,-999.00,-999.00,-999.00,-22.46,-999.00,-999.00,-10.89,-8.72,-999.00,-999.00
GISS-E2-1-G,-18.53,-19.00,-999.00,-17.58,-14.82,-18.76,-999.00,-17.90,-16.58,-12.49,-999.00,-999.00
GISS-E2-R,-16.42,-16.37,-34.01,-999.00,-999.00,-16.14,-34.09,-999.00,-11.48,-10.60,-999.00,-999.00
HadCM3,-17.47,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-19.75,-18.71,-999.00,-999.00,-999.00,-18.45,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-17.15,-16.42,-999.00,-999.00,-999.00,-16.19,-999.00,-999.00,-4.46, 1.41,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-16.15,-999.00,-13.55,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-16.53,-17.32,-27.46,-16.21,-999.00,-17.11,-27.53,-16.50,-10.55,-9.41,-999.00,-999.00
IPSL-CM5A-LR,-16.99,-17.26,-26.51,-999.00,-999.00,-17.04,-26.58,-999.00,-8.80,-7.18,-999.00,-999.00
IPSL-CM6A-LR,-16.25,-17.40,-999.00,-15.18,-9.24,-17.18,-999.00,-15.48,-1.59, 6.81,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-15.35,-16.24,-27.57,-15.25,-999.00,-16.02,-27.65,-15.58,-6.55,-5.61,-999.00,-999.00
MIROC-ESM,-13.34,-14.71,-29.87,-999.00,-999.00,-14.51,-29.94,-999.00,-3.34, 1.08,-999.00,-999.00
MPI-ESM1-2-LR,-15.49,-16.37,-24.87,-30.78,-999.00,-16.17,-999.00,-30.73,-5.09,-3.73,-999.00,-999.00
MPI-ESM-P,-14.82,-15.41,-28.36,-999.00,-999.00,-15.21,-28.43,-999.00,-6.91,-2.41,-999.00,-999.00
MRI-CGCM3,-18.06,-18.23,-29.76,-999.00,-999.00,-17.99,-29.84,-999.00,-9.17,-7.35,-999.00,-999.00
MRI-ESM2-0,-14.16,-14.73,-999.00,-999.00,-999.00,-14.54,-999.00,-999.00,-8.28,-4.26,-999.00,-999.00
NESM3,-20.07,-21.15,-999.00,-20.91,-999.00,-20.87,-999.00,-21.30,-3.12, 0.24,-999.00,-999.00
NorESM1-F,-13.64,-14.62,-999.00,-13.53,-9.09,-14.42,-999.00,-13.80,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-15.31,-16.00,-999.00,-15.12,-999.00,-15.78,-999.00,-15.40,-7.84,-0.81,-999.00,-999.00
UofT-CCSM-4,-22.64,-22.67,-36.06,-999.00,-999.00,-22.43,-36.13,-999.00,-999.00,-999.00,-999.00,-999.00
