MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,22.74,-999.00,-999.00,22.90,-999.00,-999.00,-999.00,23.69,27.78,28.88,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,20.54,18.36,20.11,-999.00,20.84,18.34,21.11,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,21.08,21.05,17.36,-999.00,-999.00,21.36,17.33,-999.00,25.19,25.61,-999.00,-999.00
CESM2,22.76,22.95,-999.00,22.40,27.39,23.22,-999.00,23.32,27.90,30.12,-999.00,-999.00
CNRM-CM5,20.18,20.67,18.30,-999.00,-999.00,21.04,18.26,-999.00,24.17,25.26,-999.00,-999.00
CNRM-CM6-1,19.96,-999.00,-999.00,20.27,-999.00,-999.00,-999.00,21.33,25.75,26.88,-999.00,-999.00
COSMOS-ASO,22.85,-999.00,16.70,-999.00,-999.00,-999.00,16.67,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,22.79,23.29,-999.00,-999.00,-999.00,23.71,-999.00,-999.00,26.99,29.10,-999.00,-999.00
CSIRO-Mk3L-1-2,22.20,22.29,-999.00,-999.00,-999.00,22.58,-999.00,-999.00,25.29,-999.00,-999.00,-999.00
EC-EARTH-2-2,18.07,18.32,-999.00,-999.00,-999.00,18.58,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,20.34,20.61,-999.00,-999.00,-999.00,20.90,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,21.06,21.04,-999.00,20.59,-999.00,21.34,-999.00,21.53,25.90,25.76,-999.00,-999.00
FGOALS-g2,20.85,20.44,15.47,-999.00,-999.00,20.72,15.45,-999.00,23.97,26.66,-999.00,-999.00
FGOALS-g3,20.49,20.86,-999.00,20.70,-999.00,21.12,-999.00,21.59,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,22.76,23.21,-999.00,-999.00,-999.00,23.49,-999.00,-999.00,26.92,28.43,-999.00,-999.00
GISS-E2-1-G,21.50,21.57,-999.00,21.37,23.50,21.85,-999.00,22.27,22.42,26.36,-999.00,-999.00
GISS-E2-R,21.62,21.70,18.07,-999.00,-999.00,21.94,18.05,-999.00,25.48,25.93,-999.00,-999.00
HadCM3,21.84,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,20.93,21.72,-999.00,-999.00,-999.00,22.02,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,21.56,22.38,-999.00,-999.00,-999.00,22.67,-999.00,-999.00,26.85,28.51,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,22.93,-999.00,23.58,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,21.20,21.36,18.42,20.93,-999.00,21.67,18.40,21.89,24.26,24.67,-999.00,-999.00
IPSL-CM5A-LR,20.63,21.09,15.83,-999.00,-999.00,21.37,15.81,-999.00,25.57,27.61,-999.00,-999.00
IPSL-CM6A-LR,20.60,20.70,-999.00,20.49,23.86,20.93,-999.00,21.31,26.19,29.73,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,23.17,23.18,20.64,22.44,-999.00,23.41,20.62,23.21,27.03,27.61,-999.00,-999.00
MIROC-ESM,23.47,23.41,19.84,-999.00,-999.00,23.70,19.81,-999.00,27.78,29.51,-999.00,-999.00
MPI-ESM1-2-LR,21.11,21.08,18.13,19.44,-999.00,21.36,-999.00,19.43,26.43,26.46,-999.00,-999.00
MPI-ESM-P,21.59,21.69,17.63,-999.00,-999.00,21.99,17.61,-999.00,27.10,28.89,-999.00,-999.00
MRI-CGCM3,20.81,21.12,17.16,-999.00,-999.00,21.39,17.13,-999.00,24.23,25.07,-999.00,-999.00
MRI-ESM2-0,21.98,22.18,-999.00,-999.00,-999.00,22.48,-999.00,-999.00,25.61,26.68,-999.00,-999.00
NESM3,20.85,21.09,-999.00,20.93,-999.00,21.36,-999.00,21.90,27.00,27.78,-999.00,-999.00
NorESM1-F,22.21,22.57,-999.00,21.97,24.23,22.90,-999.00,23.05,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,23.31,23.62,-999.00,23.09,-999.00,23.90,-999.00,24.04,27.00,29.90,-999.00,-999.00
UofT-CCSM-4,20.90,21.15,17.73,-999.00,-999.00,21.45,17.70,-999.00,-999.00,-999.00,-999.00,-999.00
