MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.23,-999.00,-999.00, 2.31,-999.00,-999.00,-999.00, 2.20, 1.58, 1.61,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 3.19, 2.65, 3.34,-999.00, 3.08, 2.54, 3.13,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.00, 2.01, 1.26,-999.00,-999.00, 1.99, 1.23,-999.00, 1.17, 1.30,-999.00,-999.00
CESM2, 2.42, 2.34,-999.00, 2.21,-999.00, 2.31,-999.00, 2.13, 1.72, 1.20,-999.00,-999.00
CNRM-CM5, 2.93, 2.95, 2.13,-999.00,-999.00, 2.95, 2.08,-999.00, 2.66, 2.63,-999.00,-999.00
CNRM-CM6-1, 2.47,-999.00,-999.00, 2.75,-999.00,-999.00,-999.00,-999.00, 2.21, 2.12,-999.00,-999.00
COSMOS-ASO, 3.55,-999.00, 3.56,-999.00,-999.00,-999.00, 3.46,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 3.24, 3.09,-999.00,-999.00,-999.00, 3.05,-999.00,-999.00, 3.11, 3.15,-999.00,-999.00
CSIRO-Mk3L-1-2, 3.80, 3.54,-999.00,-999.00,-999.00, 3.50,-999.00,-999.00, 3.08,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.49, 2.50,-999.00,-999.00,-999.00, 2.48,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.83, 1.97,-999.00,-999.00,-999.00, 1.93,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 2.30, 2.21,-999.00, 2.15,-999.00, 2.10,-999.00, 1.99, 1.74, 1.91,-999.00,-999.00
FGOALS-g2, 2.43, 2.38, 2.02,-999.00,-999.00, 2.29, 1.95,-999.00, 2.32, 2.14,-999.00,-999.00
FGOALS-g3, 2.58, 2.38,-999.00, 2.16,-999.00, 2.26,-999.00, 1.99,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.68, 1.93,-999.00,-999.00,-999.00, 1.83,-999.00,-999.00, 1.46, 1.02,-999.00,-999.00
GISS-E2-1-G, 2.33, 2.15,-999.00, 2.17,-999.00, 2.07,-999.00, 2.04, 2.22, 1.25,-999.00,-999.00
GISS-E2-R, 3.78, 3.67, 2.61,-999.00,-999.00, 3.68, 2.57,-999.00, 3.23, 2.95,-999.00,-999.00
HadCM3, 2.08,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.22, 2.50,-999.00,-999.00,-999.00, 2.39,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.27, 2.36,-999.00,-999.00,-999.00, 2.25,-999.00,-999.00, 1.42, 1.36,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 2.59,-999.00, 2.64,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.26, 2.24, 1.23, 2.19,-999.00, 2.22, 1.22, 2.13, 1.91, 1.97,-999.00,-999.00
IPSL-CM5A-LR, 1.22, 1.44, 0.84,-999.00,-999.00, 1.42, 0.82,-999.00, 0.96, 0.92,-999.00,-999.00
IPSL-CM6A-LR, 2.59, 2.70,-999.00, 2.73,-999.00, 2.65,-999.00, 2.62, 1.89, 2.24,-999.00,-999.00
KCM1-2-2, 0.98, 1.24,-999.00,-999.00,-999.00, 1.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.36, 2.18, 1.75,-999.00,-999.00, 2.16, 1.73, 2.02, 1.89, 1.67,-999.00,-999.00
MIROC-ESM, 1.25, 1.28, 0.91,-999.00,-999.00, 1.23, 0.87,-999.00, 1.05, 0.87,-999.00,-999.00
MPI-ESM1-2-LR, 2.96, 3.07, 2.22,-999.00,-999.00, 2.98,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 3.44, 3.55, 2.55,-999.00,-999.00, 3.43, 2.45,-999.00, 2.58, 2.64,-999.00,-999.00
MRI-CGCM3, 2.05, 2.41, 2.16,-999.00,-999.00, 2.33, 2.08,-999.00, 1.62, 1.67,-999.00,-999.00
MRI-ESM2-0, 2.57, 2.55,-999.00,-999.00,-999.00, 2.51,-999.00,-999.00, 1.36, 1.08,-999.00,-999.00
NESM3, 2.50, 2.61,-999.00, 2.78,-999.00, 2.46,-999.00, 2.58, 2.44, 2.53,-999.00,-999.00
NorESM1-F, 1.22, 1.23,-999.00, 1.45,-999.00, 1.20,-999.00, 1.35,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.92, 2.93,-999.00,-999.00,-999.00, 2.88,-999.00,-999.00, 2.49, 2.44,-999.00,-999.00
UofT-CCSM-4, 1.70, 1.86, 1.46,-999.00,-999.00, 1.84, 1.43,-999.00,-999.00,-999.00,-999.00,-999.00
