MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.90,-999.00,-999.00, 1.69,-999.00,-999.00,-999.00, 1.56, 1.73, 1.73,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.63, 1.12, 1.22,-999.00, 1.55, 1.04, 1.08,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.11, 1.24, 0.48,-999.00,-999.00, 1.22, 0.46,-999.00, 0.56, 0.73,-999.00,-999.00
CESM2, 1.44, 1.50,-999.00, 1.27,-999.00, 1.48,-999.00, 1.23, 1.19, 1.07,-999.00,-999.00
CNRM-CM5, 2.24, 2.26, 1.39,-999.00,-999.00, 2.25, 1.36,-999.00, 1.77, 1.74,-999.00,-999.00
CNRM-CM6-1, 1.48,-999.00,-999.00, 1.22,-999.00,-999.00,-999.00,-999.00, 0.97, 0.91,-999.00,-999.00
COSMOS-ASO, 1.79,-999.00, 1.80,-999.00,-999.00,-999.00, 1.72,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 2.75, 2.74,-999.00,-999.00,-999.00, 2.73,-999.00,-999.00, 2.78, 2.83,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.27, 2.47,-999.00,-999.00,-999.00, 2.44,-999.00,-999.00, 2.04,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.56, 1.70,-999.00,-999.00,-999.00, 1.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.23, 1.45,-999.00,-999.00,-999.00, 1.41,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.48, 1.62,-999.00, 1.36,-999.00, 1.50,-999.00, 1.24, 1.58, 1.60,-999.00,-999.00
FGOALS-g2, 1.78, 1.76, 1.56,-999.00,-999.00, 1.66, 1.50,-999.00, 1.23, 1.64,-999.00,-999.00
FGOALS-g3, 1.62, 1.79,-999.00, 1.79,-999.00, 1.68,-999.00, 1.62,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.11, 1.44,-999.00,-999.00,-999.00, 1.36,-999.00,-999.00, 0.88, 0.70,-999.00,-999.00
GISS-E2-1-G, 1.27, 1.40,-999.00, 1.24,-999.00, 1.30,-999.00, 1.11, 1.27, 0.94,-999.00,-999.00
GISS-E2-R, 2.44, 2.61, 1.52,-999.00,-999.00, 2.60, 1.49,-999.00, 2.01, 1.96,-999.00,-999.00
HadCM3, 1.88,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.39, 2.69,-999.00,-999.00,-999.00, 2.60,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.36, 2.28,-999.00,-999.00,-999.00, 2.18,-999.00,-999.00, 1.55, 1.43,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.83,-999.00, 1.68,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.93, 2.18, 1.14, 1.77,-999.00, 2.17, 1.13, 1.76, 1.46, 1.45,-999.00,-999.00
IPSL-CM5A-LR, 0.63, 0.74, 0.59,-999.00,-999.00, 0.72, 0.57,-999.00, 0.59, 0.56,-999.00,-999.00
IPSL-CM6A-LR, 1.43, 1.47,-999.00, 1.28,-999.00, 1.43,-999.00, 1.19, 0.95, 1.26,-999.00,-999.00
KCM1-2-2, 0.98, 1.24,-999.00,-999.00,-999.00, 1.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.38, 2.37, 1.15,-999.00,-999.00, 2.36, 1.14, 2.06, 1.83, 1.58,-999.00,-999.00
MIROC-ESM, 0.70, 0.80, 0.37,-999.00,-999.00, 0.75, 0.34,-999.00, 0.55, 0.47,-999.00,-999.00
MPI-ESM1-2-LR, 1.43, 1.60, 1.07,-999.00,-999.00, 1.53,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 2.04, 2.27, 1.40,-999.00,-999.00, 2.17, 1.33,-999.00, 0.87, 0.92,-999.00,-999.00
MRI-CGCM3, 1.35, 1.72, 1.16,-999.00,-999.00, 1.66, 1.09,-999.00, 0.92, 1.03,-999.00,-999.00
MRI-ESM2-0, 1.39, 1.50,-999.00,-999.00,-999.00, 1.46,-999.00,-999.00, 0.77, 0.60,-999.00,-999.00
NESM3, 0.49, 0.67,-999.00, 0.58,-999.00, 0.58,-999.00, 0.50, 0.14, 0.14,-999.00,-999.00
NorESM1-F, 0.72, 0.83,-999.00, 0.78,-999.00, 0.80,-999.00, 0.73,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.69, 1.85,-999.00,-999.00,-999.00, 1.79,-999.00,-999.00, 1.41, 1.51,-999.00,-999.00
UofT-CCSM-4, 0.74, 1.04, 0.60,-999.00,-999.00, 1.02, 0.58,-999.00,-999.00,-999.00,-999.00,-999.00
