MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,11.54,-999.00,-999.00,12.15,-999.00,-999.00,-999.00,12.91,17.35,18.67,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,10.84, 8.25,10.92,-999.00,11.26, 8.21,11.94,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,11.30,10.84, 6.59,-999.00,-999.00,11.25, 6.55,-999.00,17.20,17.57,-999.00,-999.00
CESM2,12.63,12.26,-999.00,12.25,18.89,12.65,-999.00,13.26,18.88,21.54,-999.00,-999.00
CNRM-CM5, 8.81, 8.82, 6.25,-999.00,-999.00, 9.24, 6.21,-999.00,14.02,15.54,-999.00,-999.00
CNRM-CM6-1, 8.97,-999.00,-999.00, 9.08,-999.00,-999.00,-999.00,10.12,16.58,17.86,-999.00,-999.00
COSMOS-ASO,12.29,-999.00, 7.02,-999.00,-999.00,-999.00, 6.98,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,10.58,10.47,-999.00,-999.00,-999.00,10.87,-999.00,-999.00,15.53,17.49,-999.00,-999.00
CSIRO-Mk3L-1-2,10.77,10.69,-999.00,-999.00,-999.00,11.07,-999.00,-999.00,14.78,-999.00,-999.00,-999.00
EC-EARTH-2-2, 6.91, 6.56,-999.00,-999.00,-999.00, 6.96,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 8.99, 8.77,-999.00,-999.00,-999.00, 9.23,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 8.70, 8.13,-999.00, 8.08,-999.00, 8.50,-999.00, 9.10,16.45,16.11,-999.00,-999.00
FGOALS-g2, 7.99, 7.23, 2.61,-999.00,-999.00, 7.65, 2.57,-999.00,13.85,15.55,-999.00,-999.00
FGOALS-g3, 8.95, 8.45,-999.00, 8.98,-999.00, 8.88,-999.00,10.02,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,11.37,11.02,-999.00,-999.00,-999.00,11.46,-999.00,-999.00,17.13,18.57,-999.00,-999.00
GISS-E2-1-G,10.78,10.22,-999.00,10.71,12.50,10.55,-999.00,11.51,11.96,15.77,-999.00,-999.00
GISS-E2-R,10.71,10.93, 3.73,-999.00,-999.00,11.22, 3.70,-999.00,15.01,15.53,-999.00,-999.00
HadCM3,11.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 9.79,10.16,-999.00,-999.00,-999.00,10.56,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,10.45,10.89,-999.00,-999.00,-999.00,11.31,-999.00,-999.00,17.64,19.45,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,10.32,-999.00,11.95,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,10.23, 9.74, 4.12, 9.92,-999.00,10.13, 4.08,10.94,14.82,15.54,-999.00,-999.00
IPSL-CM5A-LR, 9.63, 9.80, 3.77,-999.00,-999.00,10.19, 3.73,-999.00,16.06,18.24,-999.00,-999.00
IPSL-CM6A-LR, 8.38, 8.00,-999.00, 8.59,11.79, 8.43,-999.00, 9.61,16.56,22.58,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,13.27,12.69, 7.72,12.89,-999.00,13.11, 7.68,13.97,18.56,18.98,-999.00,-999.00
MIROC-ESM,13.04,12.27, 6.20,-999.00,-999.00,12.66, 6.16,-999.00,19.18,21.17,-999.00,-999.00
MPI-ESM1-2-LR,12.04,11.53, 8.14,11.38,-999.00,11.93,-999.00,11.33,18.88,19.05,-999.00,-999.00
MPI-ESM-P,12.27,12.04, 7.90,-999.00,-999.00,12.42, 7.87,-999.00,18.37,20.52,-999.00,-999.00
MRI-CGCM3, 9.47, 9.45, 5.86,-999.00,-999.00, 9.87, 5.81,-999.00,14.52,15.36,-999.00,-999.00
MRI-ESM2-0,11.52,11.36,-999.00,-999.00,-999.00,11.76,-999.00,-999.00,15.66,16.74,-999.00,-999.00
NESM3,12.14,11.63,-999.00,11.78,-999.00,12.08,-999.00,12.84,20.65,21.50,-999.00,-999.00
NorESM1-F,13.12,12.59,-999.00,12.85,15.76,13.00,-999.00,13.90,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,13.24,13.02,-999.00,13.25,-999.00,13.39,-999.00,14.21,18.75,22.06,-999.00,-999.00
UofT-CCSM-4,10.48,10.03, 6.17,-999.00,-999.00,10.43, 6.13,-999.00,-999.00,-999.00,-999.00,-999.00
