MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,10.38,-999.00,-999.00, 8.53,-999.00,-999.00,-999.00,11.84,16.44,17.57,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,11.35, 7.81, 8.91,-999.00,12.58, 7.72,12.73,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,10.97,11.04, 6.51,-999.00,-999.00,12.24, 6.42,-999.00,16.40,16.98,-999.00,-999.00
CESM2,12.09,12.04,-999.00, 9.61,18.28,13.13,-999.00,13.05,18.07,20.49,-999.00,-999.00
CNRM-CM5, 9.21, 9.74, 6.49,-999.00,-999.00,10.95, 6.38,-999.00,14.40,15.88,-999.00,-999.00
CNRM-CM6-1, 9.88,-999.00,-999.00, 8.64,-999.00,-999.00,-999.00,12.55,17.15,18.77,-999.00,-999.00
COSMOS-ASO,11.84,-999.00, 5.45,-999.00,-999.00,-999.00, 5.36,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 9.20, 9.16,-999.00,-999.00,-999.00,10.37,-999.00,-999.00,13.96,16.02,-999.00,-999.00
CSIRO-Mk3L-1-2,10.32,10.50,-999.00,-999.00,-999.00,11.63,-999.00,-999.00,14.50,-999.00,-999.00,-999.00
EC-EARTH-2-2, 6.31, 6.83,-999.00,-999.00,-999.00, 8.10,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,10.03,10.54,-999.00,-999.00,-999.00,11.85,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 8.73, 8.54,-999.00, 5.94,-999.00, 9.75,-999.00, 9.66,15.86,15.60,-999.00,-999.00
FGOALS-g2, 8.27, 8.18, 2.22,-999.00,-999.00, 9.39, 2.12,-999.00,14.20,15.62,-999.00,-999.00
FGOALS-g3, 8.54, 8.45,-999.00, 6.36,-999.00, 9.71,-999.00,10.07,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,10.71,11.40,-999.00,-999.00,-999.00,12.70,-999.00,-999.00,16.58,18.11,-999.00,-999.00
GISS-E2-1-G,10.82,10.73,-999.00, 8.92,12.47,11.68,-999.00,11.93,11.95,15.81,-999.00,-999.00
GISS-E2-R,11.20,11.69, 4.99,-999.00,-999.00,12.61, 4.90,-999.00,15.57,16.05,-999.00,-999.00
HadCM3,10.21,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 9.63,10.31,-999.00,-999.00,-999.00,11.51,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,10.29,10.81,-999.00,-999.00,-999.00,12.04,-999.00,-999.00,17.11,19.17,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,11.62,-999.00,12.37,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 8.76, 8.80, 3.09, 6.67,-999.00,10.05, 3.00,10.34,13.49,14.21,-999.00,-999.00
IPSL-CM5A-LR, 9.54,10.31, 3.79,-999.00,-999.00,11.48, 3.69,-999.00,16.31,18.24,-999.00,-999.00
IPSL-CM6A-LR, 9.22, 9.48,-999.00, 7.75,12.77,10.73,-999.00,11.58,17.82,23.76,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,12.74,12.60, 7.95,10.17,-999.00,13.82, 7.86,14.00,18.23,18.70,-999.00,-999.00
MIROC-ESM,12.45,12.38, 6.53,-999.00,-999.00,13.52, 6.45,-999.00,18.53,20.26,-999.00,-999.00
MPI-ESM1-2-LR,12.32,12.36, 8.45,10.17,-999.00,13.52,-999.00, 9.92,19.30,19.36,-999.00,-999.00
MPI-ESM-P,12.45,12.60, 8.24,-999.00,-999.00,13.76, 8.15,-999.00,18.64,20.88,-999.00,-999.00
MRI-CGCM3, 8.98, 9.20, 5.02,-999.00,-999.00,10.41, 4.93,-999.00,13.95,14.69,-999.00,-999.00
MRI-ESM2-0,11.78,11.89,-999.00,-999.00,-999.00,13.05,-999.00,-999.00,16.37,17.47,-999.00,-999.00
NESM3,13.18,13.66,-999.00,11.16,-999.00,14.94,-999.00,15.24,22.47,23.12,-999.00,-999.00
NorESM1-F,11.97,12.08,-999.00, 9.63,14.97,13.29,-999.00,13.39,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,12.48,12.77,-999.00,11.08,-999.00,13.80,-999.00,14.40,18.08,21.27,-999.00,-999.00
UofT-CCSM-4, 9.86,10.02, 5.18,-999.00,-999.00,11.22, 5.08,-999.00,-999.00,-999.00,-999.00,-999.00
