MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 8.97,-999.00,-999.00,11.33,-999.00,-999.00,-999.00,11.95,14.91,16.16,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 7.06, 0.36, 7.30,-999.00, 7.38, 0.32, 8.05,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 9.40, 9.35,-2.03,-999.00,-999.00, 9.65,-2.07,-999.00,14.27,14.47,-999.00,-999.00
CESM2, 9.45, 9.89,-999.00,10.72,14.67,10.19,-999.00,11.45,14.23,16.56,-999.00,-999.00
CNRM-CM5, 7.10, 7.65, 0.78,-999.00,-999.00, 7.99, 0.73,-999.00,11.80,12.69,-999.00,-999.00
CNRM-CM6-1, 7.76,-999.00,-999.00, 9.00,-999.00,-999.00,-999.00, 9.71,13.95,14.98,-999.00,-999.00
COSMOS-ASO, 6.07,-999.00,-3.74,-999.00,-999.00,-999.00,-3.78,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 6.70, 7.49,-999.00,-999.00,-999.00, 7.83,-999.00,-999.00,10.99,13.02,-999.00,-999.00
CSIRO-Mk3L-1-2, 7.34, 7.89,-999.00,-999.00,-999.00, 8.23,-999.00,-999.00,10.57,-999.00,-999.00,-999.00
EC-EARTH-2-2, 6.16, 6.66,-999.00,-999.00,-999.00, 6.93,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 5.33, 6.04,-999.00,-999.00,-999.00, 6.41,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 7.68, 7.67,-999.00, 8.36,-999.00, 8.11,-999.00, 9.13,14.20,14.11,-999.00,-999.00
FGOALS-g2, 4.10, 3.68,-5.16,-999.00,-999.00, 4.08,-5.20,-999.00, 9.88,10.82,-999.00,-999.00
FGOALS-g3, 6.82, 7.55,-999.00, 8.56,-999.00, 7.91,-999.00, 9.43,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,10.91,11.15,-999.00,-999.00,-999.00,11.52,-999.00,-999.00,15.14,15.90,-999.00,-999.00
GISS-E2-1-G, 7.35, 7.28,-999.00, 7.90, 8.67, 7.55,-999.00, 8.52, 8.25,11.09,-999.00,-999.00
GISS-E2-R, 7.30, 7.45,-5.03,-999.00,-999.00, 7.74,-5.06,-999.00,11.72,12.40,-999.00,-999.00
HadCM3, 6.32,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 7.65, 8.69,-999.00,-999.00,-999.00, 9.05,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 8.77,10.08,-999.00,-999.00,-999.00,10.43,-999.00,-999.00,15.18,16.79,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 7.77,-999.00, 9.44,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 8.22, 8.20,-4.65, 8.71,-999.00, 8.53,-4.69, 9.50,11.98,12.82,-999.00,-999.00
IPSL-CM5A-LR, 5.39, 5.97,-5.06,-999.00,-999.00, 6.32,-5.10,-999.00,11.69,13.78,-999.00,-999.00
IPSL-CM6A-LR, 7.05, 7.03,-999.00, 7.99,10.53, 7.38,-999.00, 8.78,14.49,19.30,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 8.51, 8.48,-2.34, 8.67,-999.00, 8.86,-2.39, 9.52,13.12,13.94,-999.00,-999.00
MIROC-ESM,10.78,10.92,-2.07,-999.00,-999.00,11.20,-2.10,-999.00,15.69,17.35,-999.00,-999.00
MPI-ESM1-2-LR, 7.02, 6.97,-1.74, 4.29,-999.00, 7.26,-999.00, 4.24,13.31,13.34,-999.00,-999.00
MPI-ESM-P, 7.82, 8.02,-2.93,-999.00,-999.00, 8.31,-2.96,-999.00,13.36,14.78,-999.00,-999.00
MRI-CGCM3, 7.07, 7.31,-0.63,-999.00,-999.00, 7.58,-0.68,-999.00,11.15,11.82,-999.00,-999.00
MRI-ESM2-0, 8.61, 8.98,-999.00,-999.00,-999.00, 9.26,-999.00,-999.00,11.68,13.03,-999.00,-999.00
NESM3, 6.97, 6.92,-999.00, 7.17,-999.00, 7.25,-999.00, 7.92,14.99,16.31,-999.00,-999.00
NorESM1-F,10.37,10.40,-999.00,11.26,12.10,10.70,-999.00,12.00,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 9.07, 9.54,-999.00,10.46,-999.00, 9.81,-999.00,11.11,13.54,16.18,-999.00,-999.00
UofT-CCSM-4, 7.88, 8.18,-3.38,-999.00,-999.00, 8.49,-3.42,-999.00,-999.00,-999.00,-999.00,-999.00
