MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 8.38,-999.00,-999.00, 8.72,-999.00,-999.00,-999.00,11.04,14.42,15.62,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 8.05, 0.70, 6.75,-999.00, 8.98, 0.61, 9.58,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 9.16, 9.20,-1.75,-999.00,-999.00,10.05,-1.84,-999.00,13.69,13.86,-999.00,-999.00
CESM2, 9.73, 9.89,-999.00, 9.15,14.02,10.70,-999.00,11.59,14.02,16.35,-999.00,-999.00
CNRM-CM5, 7.62, 8.17, 1.50,-999.00,-999.00, 9.10, 1.38,-999.00,11.90,12.65,-999.00,-999.00
CNRM-CM6-1, 8.60,-999.00,-999.00, 8.34,-999.00,-999.00,-999.00,11.14,14.89,15.91,-999.00,-999.00
COSMOS-ASO, 6.20,-999.00,-4.30,-999.00,-999.00,-999.00,-4.38,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 7.02, 7.59,-999.00,-999.00,-999.00, 8.52,-999.00,-999.00,11.43,13.54,-999.00,-999.00
CSIRO-Mk3L-1-2, 8.62, 8.90,-999.00,-999.00,-999.00, 9.80,-999.00,-999.00,11.63,-999.00,-999.00,-999.00
EC-EARTH-2-2, 6.62, 7.27,-999.00,-999.00,-999.00, 8.06,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 6.46, 7.46,-999.00,-999.00,-999.00, 8.46,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 7.41, 7.44,-999.00, 6.15,-999.00, 8.22,-999.00, 8.59,13.46,13.72,-999.00,-999.00
FGOALS-g2, 4.79, 4.57,-4.49,-999.00,-999.00, 5.68,-4.59,-999.00,10.65,11.76,-999.00,-999.00
FGOALS-g3, 6.82, 7.11,-999.00, 6.10,-999.00, 8.08,-999.00, 8.98,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,10.52,10.76,-999.00,-999.00,-999.00,11.76,-999.00,-999.00,15.52,16.32,-999.00,-999.00
GISS-E2-1-G, 7.32, 7.32,-999.00, 6.48, 8.25, 8.12,-999.00, 8.80, 8.36,10.74,-999.00,-999.00
GISS-E2-R, 7.95, 7.92,-4.83,-999.00,-999.00, 8.76,-4.92,-999.00,11.65,12.06,-999.00,-999.00
HadCM3, 5.93,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 7.53, 8.44,-999.00,-999.00,-999.00, 9.41,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 8.30, 9.12,-999.00,-999.00,-999.00,10.14,-999.00,-999.00,14.59,16.39,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 9.48,-999.00,11.18,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 7.56, 7.48,-6.37, 6.33,-999.00, 8.36,-6.47, 8.87,10.63,11.31,-999.00,-999.00
IPSL-CM5A-LR, 5.86, 6.60,-5.52,-999.00,-999.00, 7.53,-5.61,-999.00,11.60,13.56,-999.00,-999.00
IPSL-CM6A-LR, 8.16, 8.21,-999.00, 7.38,11.62, 9.21,-999.00,10.41,15.46,20.23,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 9.29, 9.15,-1.21, 7.46,-999.00,10.21,-1.33,10.46,13.69,14.18,-999.00,-999.00
MIROC-ESM,10.36,10.54,-1.53,-999.00,-999.00,11.27,-1.61,-999.00,15.23,16.93,-999.00,-999.00
MPI-ESM1-2-LR, 7.73, 7.81,-1.69, 3.22,-999.00, 8.68,-999.00, 3.04,14.35,14.19,-999.00,-999.00
MPI-ESM-P, 8.58, 8.86,-3.05,-999.00,-999.00, 9.68,-3.15,-999.00,14.55,16.06,-999.00,-999.00
MRI-CGCM3, 6.65, 7.02,-2.07,-999.00,-999.00, 7.84,-2.16,-999.00,10.83,11.52,-999.00,-999.00
MRI-ESM2-0, 8.82, 9.31,-999.00,-999.00,-999.00,10.09,-999.00,-999.00,12.05,13.19,-999.00,-999.00
NESM3, 8.19, 8.60,-999.00, 6.92,-999.00, 9.63,-999.00,10.19,17.47,18.54,-999.00,-999.00
NorESM1-F,10.04, 9.97,-999.00, 8.96,12.04,10.80,-999.00,11.50,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 9.52,10.07,-999.00, 8.94,-999.00,10.88,-999.00,11.43,13.97,16.32,-999.00,-999.00
UofT-CCSM-4, 8.10, 8.22,-2.73,-999.00,-999.00, 9.07,-2.82,-999.00,-999.00,-999.00,-999.00,-999.00
