MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.83,-999.00,-999.00, 1.89,-999.00,-999.00,-999.00, 1.96, 2.28, 2.46,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.72, 0.63, 1.67,-999.00, 1.73, 0.61, 1.76,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.71, 1.71, 0.54,-999.00,-999.00, 1.72, 0.52,-999.00, 2.12, 2.17,-999.00,-999.00
CESM2, 1.74, 1.76,-999.00, 1.71,-999.00, 1.77,-999.00, 1.79, 2.17, 2.48,-999.00,-999.00
CNRM-CM5, 1.53, 1.60, 0.81,-999.00,-999.00, 1.60, 0.76,-999.00, 1.96, 2.05,-999.00,-999.00
CNRM-CM6-1, 1.78,-999.00,-999.00, 1.86,-999.00,-999.00,-999.00,-999.00, 2.49, 2.64,-999.00,-999.00
COSMOS-ASO, 1.59,-999.00, 0.43,-999.00,-999.00,-999.00, 0.41,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.47, 1.47,-999.00,-999.00,-999.00, 1.49,-999.00,-999.00, 1.79, 1.99,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.47, 1.48,-999.00,-999.00,-999.00, 1.49,-999.00,-999.00, 1.70,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.28, 1.29,-999.00,-999.00,-999.00, 1.31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.53, 1.61,-999.00,-999.00,-999.00, 1.64,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.60, 1.57,-999.00, 1.56,-999.00, 1.57,-999.00, 1.59, 2.20, 2.24,-999.00,-999.00
FGOALS-g2, 1.63, 1.63, 0.51,-999.00,-999.00, 1.66, 0.49,-999.00, 2.26, 2.32,-999.00,-999.00
FGOALS-g3, 1.54, 1.55,-999.00, 1.56,-999.00, 1.56,-999.00, 1.64,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.60, 1.62,-999.00,-999.00,-999.00, 1.62,-999.00,-999.00, 2.14, 2.32,-999.00,-999.00
GISS-E2-1-G, 1.83, 1.88,-999.00, 1.89,-999.00, 1.89,-999.00, 2.00, 1.92, 2.34,-999.00,-999.00
GISS-E2-R, 1.84, 1.91, 0.69,-999.00,-999.00, 1.93, 0.67,-999.00, 2.24, 2.21,-999.00,-999.00
HadCM3, 1.67,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.48, 1.61,-999.00,-999.00,-999.00, 1.62,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.61, 1.68,-999.00,-999.00,-999.00, 1.70,-999.00,-999.00, 2.17, 2.39,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.93,-999.00, 2.08,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.66, 1.67, 0.51, 1.64,-999.00, 1.70, 0.49, 1.76, 2.04, 2.09,-999.00,-999.00
IPSL-CM5A-LR, 1.62, 1.67, 0.43,-999.00,-999.00, 1.68, 0.40,-999.00, 2.05, 2.29,-999.00,-999.00
IPSL-CM6A-LR, 1.85, 1.88,-999.00, 1.86,-999.00, 1.89,-999.00, 1.98, 2.65, 3.22,-999.00,-999.00
KCM1-2-2, 0.77, 0.74,-999.00,-999.00,-999.00, 0.74,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.59, 1.60, 0.65,-999.00,-999.00, 1.62, 0.64, 1.65, 2.20, 2.21,-999.00,-999.00
MIROC-ESM, 1.72, 1.71, 0.42,-999.00,-999.00, 1.73, 0.40,-999.00, 2.26, 2.55,-999.00,-999.00
MPI-ESM1-2-LR, 1.72, 1.73, 0.67,-999.00,-999.00, 1.75,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.69, 1.71, 0.57,-999.00,-999.00, 1.73, 0.55,-999.00, 2.33, 2.52,-999.00,-999.00
MRI-CGCM3, 1.62, 1.73, 0.56,-999.00,-999.00, 1.75, 0.53,-999.00, 2.13, 2.24,-999.00,-999.00
MRI-ESM2-0, 1.97, 1.99,-999.00,-999.00,-999.00, 2.02,-999.00,-999.00, 2.41, 2.59,-999.00,-999.00
NESM3, 1.89, 1.92,-999.00, 1.89,-999.00, 1.95,-999.00, 2.02, 2.85, 2.98,-999.00,-999.00
NorESM1-F, 1.61, 1.61,-999.00, 1.59,-999.00, 1.62,-999.00, 1.69,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.63, 2.59,-999.00,-999.00,-999.00, 2.58,-999.00,-999.00, 2.05, 2.42,-999.00,-999.00
UofT-CCSM-4, 1.51, 1.54, 0.38,-999.00,-999.00, 1.55, 0.36,-999.00,-999.00,-999.00,-999.00,-999.00
