MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.50,-999.00,-999.00, 1.53,-999.00,-999.00,-999.00, 1.47, 1.86, 2.08,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.17, 0.40, 1.22,-999.00, 1.14, 0.38, 1.17,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.22, 1.17, 0.43,-999.00,-999.00, 1.15, 0.41,-999.00, 1.47, 1.55,-999.00,-999.00
CESM2, 1.13, 1.07,-999.00, 1.08,-999.00, 1.06,-999.00, 1.05, 1.31, 1.57,-999.00,-999.00
CNRM-CM5, 1.00, 0.97, 0.51,-999.00,-999.00, 0.95, 0.46,-999.00, 1.27, 1.42,-999.00,-999.00
CNRM-CM6-1, 1.09,-999.00,-999.00, 1.09,-999.00,-999.00,-999.00,-999.00, 1.50, 1.59,-999.00,-999.00
COSMOS-ASO, 1.31,-999.00, 0.34,-999.00,-999.00,-999.00, 0.32,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.24, 1.22,-999.00,-999.00,-999.00, 1.20,-999.00,-999.00, 1.44, 1.61,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.99, 0.97,-999.00,-999.00,-999.00, 0.96,-999.00,-999.00, 1.17,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.87, 0.88,-999.00,-999.00,-999.00, 0.86,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.95, 0.93,-999.00,-999.00,-999.00, 0.91,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.08, 1.02,-999.00, 1.02,-999.00, 0.99,-999.00, 0.98, 1.47, 1.55,-999.00,-999.00
FGOALS-g2, 1.24, 1.16, 0.45,-999.00,-999.00, 1.14, 0.44,-999.00, 1.59, 1.72,-999.00,-999.00
FGOALS-g3, 1.05, 1.00,-999.00, 1.04,-999.00, 0.98,-999.00, 1.01,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.06, 1.04,-999.00,-999.00,-999.00, 1.02,-999.00,-999.00, 1.36, 1.48,-999.00,-999.00
GISS-E2-1-G, 1.29, 1.21,-999.00, 1.23,-999.00, 1.19,-999.00, 1.20, 1.34, 1.51,-999.00,-999.00
GISS-E2-R, 1.24, 1.24, 0.63,-999.00,-999.00, 1.22, 0.61,-999.00, 1.42, 1.39,-999.00,-999.00
HadCM3, 1.23,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.14, 1.15,-999.00,-999.00,-999.00, 1.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.27, 1.25,-999.00,-999.00,-999.00, 1.24,-999.00,-999.00, 1.73, 1.92,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.09,-999.00, 1.11,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.32, 1.27, 0.34, 1.33,-999.00, 1.26, 0.32, 1.29, 1.57, 1.68,-999.00,-999.00
IPSL-CM5A-LR, 1.28, 1.24, 0.31,-999.00,-999.00, 1.20, 0.29,-999.00, 1.49, 1.54,-999.00,-999.00
IPSL-CM6A-LR, 1.30, 1.21,-999.00, 1.22,-999.00, 1.17,-999.00, 1.16, 1.78, 2.31,-999.00,-999.00
KCM1-2-2, 0.77, 0.74,-999.00,-999.00,-999.00, 0.74,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.23, 1.16, 0.66,-999.00,-999.00, 1.16, 0.65, 1.18, 1.55, 1.62,-999.00,-999.00
MIROC-ESM, 1.18, 1.11, 0.32,-999.00,-999.00, 1.10, 0.31,-999.00, 1.69, 1.87,-999.00,-999.00
MPI-ESM1-2-LR, 1.27, 1.18, 0.46,-999.00,-999.00, 1.16,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.32, 1.24, 0.39,-999.00,-999.00, 1.22, 0.37,-999.00, 1.64, 1.78,-999.00,-999.00
MRI-CGCM3, 0.94, 0.91, 0.33,-999.00,-999.00, 0.88, 0.30,-999.00, 1.26, 1.37,-999.00,-999.00
MRI-ESM2-0, 1.27, 1.22,-999.00,-999.00,-999.00, 1.19,-999.00,-999.00, 1.60, 1.76,-999.00,-999.00
NESM3, 1.34, 1.18,-999.00, 1.28,-999.00, 1.16,-999.00, 1.22, 1.89, 2.03,-999.00,-999.00
NorESM1-F, 1.21, 1.16,-999.00, 1.19,-999.00, 1.15,-999.00, 1.16,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.11, 1.80,-999.00,-999.00,-999.00, 1.77,-999.00,-999.00, 1.34, 1.60,-999.00,-999.00
UofT-CCSM-4, 1.08, 1.04, 0.30,-999.00,-999.00, 1.02, 0.28,-999.00,-999.00,-999.00,-999.00,-999.00
