MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-10.22,-999.00,-999.00,-9.03,-999.00,-999.00,-999.00,-8.38,-2.44,-0.14,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-10.93,-31.04,-10.57,-999.00,-10.47,-31.08,-9.65,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-12.00,-12.17,-30.11,-999.00,-999.00,-11.69,-30.14,-999.00,-4.59,-3.81,-999.00,-999.00
CESM2,-11.37,-11.16,-999.00,-10.58, 0.29,-10.72,-999.00,-9.70,-2.85, 1.78,-999.00,-999.00
CNRM-CM5,-13.15,-12.37,-27.56,-999.00,-999.00,-11.85,-27.63,-999.00,-5.95,-4.30,-999.00,-999.00
CNRM-CM6-1,-12.41,-999.00,-999.00,-11.64,-999.00,-999.00,-999.00,-10.60,-2.35,-0.99,-999.00,-999.00
COSMOS-ASO,-10.34,-999.00,-35.09,-999.00,-999.00,-999.00,-35.14,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-12.66,-12.24,-999.00,-999.00,-999.00,-11.75,-999.00,-999.00,-6.87,-3.74,-999.00,-999.00
CSIRO-Mk3L-1-2,-10.68,-10.22,-999.00,-999.00,-999.00,-9.80,-999.00,-999.00,-5.65,-999.00,-999.00,-999.00
EC-EARTH-2-2,-14.98,-14.75,-999.00,-999.00,-999.00,-14.33,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-15.04,-14.13,-999.00,-999.00,-999.00,-13.66,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-13.82,-13.97,-999.00,-14.12,-999.00,-13.52,-999.00,-13.06,-3.88,-3.85,-999.00,-999.00
FGOALS-g2,-10.90,-11.61,-32.67,-999.00,-999.00,-11.18,-32.71,-999.00,-3.34,-2.11,-999.00,-999.00
FGOALS-g3,-13.19,-12.84,-999.00,-11.59,-999.00,-12.35,-999.00,-10.59,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-10.79,-10.71,-999.00,-999.00,-999.00,-10.19,-999.00,-999.00,-3.47,-1.23,-999.00,-999.00
GISS-E2-1-G,-12.70,-12.70,-999.00,-12.10,-7.83,-12.25,-999.00,-11.19,-11.29,-5.91,-999.00,-999.00
GISS-E2-R,-11.65,-11.27,-30.93,-999.00,-999.00,-10.84,-30.96,-999.00,-6.90,-6.09,-999.00,-999.00
HadCM3,-12.19,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-14.16,-12.87,-999.00,-999.00,-999.00,-12.35,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-12.35,-11.25,-999.00,-999.00,-999.00,-10.76,-999.00,-999.00,-2.67, 1.52,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-11.27,-999.00,-8.99,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-12.27,-12.38,-34.22,-12.04,-999.00,-11.90,-34.25,-11.00,-7.35,-6.36,-999.00,-999.00
IPSL-CM5A-LR,-11.17,-11.05,-34.14,-999.00,-999.00,-10.58,-34.17,-999.00,-4.56,-2.03,-999.00,-999.00
IPSL-CM6A-LR,-12.28,-12.63,-999.00,-11.75,-4.40,-12.10,-999.00,-10.65,-1.52, 5.27,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-7.47,-7.83,-26.95,-7.52,-999.00,-7.38,-26.98,-6.59,-0.05, 0.93,-999.00,-999.00
MIROC-ESM,-6.93,-7.66,-32.75,-999.00,-999.00,-7.21,-32.78,-999.00, 1.50, 4.40,-999.00,-999.00
MPI-ESM1-2-LR,-10.68,-11.00,-30.91,-4.70,-999.00,-10.55,-999.00,-4.89,-1.82,-1.44,-999.00,-999.00
MPI-ESM-P,-11.58,-11.53,-33.95,-999.00,-999.00,-11.10,-33.99,-999.00,-4.51,-1.52,-999.00,-999.00
MRI-CGCM3,-13.48,-12.87,-30.84,-999.00,-999.00,-12.35,-30.89,-999.00,-6.93,-5.41,-999.00,-999.00
MRI-ESM2-0,-10.04,-10.16,-999.00,-999.00,-999.00,-9.70,-999.00,-999.00,-4.02,-1.55,-999.00,-999.00
NESM3,-10.87,-11.02,-999.00,-10.63,-999.00,-10.54,-999.00,-9.68,-0.05, 1.72,-999.00,-999.00
NorESM1-F,-10.20,-10.51,-999.00,-10.17,-4.00,-10.05,-999.00,-9.16,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-11.30,-11.32,-999.00,-10.85,-999.00,-10.87,-999.00,-9.96,-3.72, 2.02,-999.00,-999.00
UofT-CCSM-4,-15.34,-14.99,-32.63,-999.00,-999.00,-14.47,-32.67,-999.00,-999.00,-999.00,-999.00,-999.00
