MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,11.37,-999.00,-999.00,12.74,-999.00,-999.00,-999.00,12.92, 9.39, 8.98,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,12.61,10.31,13.67,-999.00,12.61,10.30,13.73,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,12.67,13.58,11.05,-999.00,-999.00,13.60,11.05,-999.00,11.14,10.83,-999.00,-999.00
CESM2,11.40,12.13,-999.00,13.29,13.04,12.13,-999.00,13.36,10.22, 9.54,-999.00,-999.00
CNRM-CM5,13.73,14.21,18.12,-999.00,-999.00,14.23,18.10,-999.00,11.96,11.52,-999.00,-999.00
CNRM-CM6-1,13.38,-999.00,-999.00,15.78,-999.00,-999.00,-999.00,15.82,11.39,11.17,-999.00,-999.00
COSMOS-ASO,11.08,-999.00,11.23,-999.00,-999.00,-999.00,11.22,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,13.54,14.12,-999.00,-999.00,-999.00,14.13,-999.00,-999.00,11.87,10.96,-999.00,-999.00
CSIRO-Mk3L-1-2,11.52,11.91,-999.00,-999.00,-999.00,11.92,-999.00,-999.00, 9.96,-999.00,-999.00,-999.00
EC-EARTH-2-2,11.49,11.87,-999.00,-999.00,-999.00,11.88,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,12.23,12.80,-999.00,-999.00,-999.00,12.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,13.31,14.02,-999.00,15.30,-999.00,14.12,-999.00,15.36,10.17,10.00,-999.00,-999.00
FGOALS-g2,11.30,12.21,10.48,-999.00,-999.00,12.24,10.47,-999.00,10.49, 9.75,-999.00,-999.00
FGOALS-g3,12.11,13.46,-999.00,14.41,-999.00,13.47,-999.00,14.47,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,13.88,14.51,-999.00,-999.00,-999.00,14.53,-999.00,-999.00,12.54,11.80,-999.00,-999.00
GISS-E2-1-G,11.29,12.27,-999.00,13.32,10.11,12.28,-999.00,13.36,11.30,10.12,-999.00,-999.00
GISS-E2-R,11.64,11.88, 9.75,-999.00,-999.00,11.90, 9.75,-999.00,11.39,11.00,-999.00,-999.00
HadCM3,12.57,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,14.14,14.22,-999.00,-999.00,-999.00,14.22,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,13.42,13.65,-999.00,-999.00,-999.00,13.64,-999.00,-999.00,10.94,10.26,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,13.92,-999.00,15.10,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,12.83,13.64,12.20,14.78,-999.00,13.65,12.20,14.84,11.94,11.40,-999.00,-999.00
IPSL-CM5A-LR,12.46,13.31, 9.89,-999.00,-999.00,13.34, 9.89,-999.00,12.01,11.51,-999.00,-999.00
IPSL-CM6A-LR,13.63,14.70,-999.00,15.99,14.44,14.71,-999.00,16.03,11.43, 9.95,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,11.96,12.62,13.53,13.56,-999.00,12.65,13.52,13.67,10.01, 9.67,-999.00,-999.00
MIROC-ESM,11.42,12.28,12.27,-999.00,-999.00,12.30,12.26,-999.00, 9.58, 8.88,-999.00,-999.00
MPI-ESM1-2-LR,11.75,12.47, 9.70, 3.11,-999.00,12.48,-999.00, 3.09, 9.69, 9.50,-999.00,-999.00
MPI-ESM-P,11.31,11.98, 9.14,-999.00,-999.00,11.99, 9.13,-999.00, 9.62, 8.71,-999.00,-999.00
MRI-CGCM3,13.98,14.57,13.94,-999.00,-999.00,14.58,13.93,-999.00,12.00,11.41,-999.00,-999.00
MRI-ESM2-0,11.69,12.51,-999.00,-999.00,-999.00,12.52,-999.00,-999.00,10.09, 8.93,-999.00,-999.00
NESM3,12.59,13.27,-999.00,14.59,-999.00,13.28,-999.00,14.66, 9.75, 9.17,-999.00,-999.00
NorESM1-F,12.25,13.03,-999.00,14.41,13.82,13.05,-999.00,14.47,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,11.56,12.27,-999.00,13.56,-999.00,12.28,-999.00,13.61,10.60, 9.72,-999.00,-999.00
UofT-CCSM-4,13.56,14.64,12.31,-999.00,-999.00,14.67,12.30,-999.00,-999.00,-999.00,-999.00,-999.00
