MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-8.49,-999.00,-999.00,-8.25,-999.00,-999.00,-999.00,-5.76,-0.50, 1.41,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-8.27,-30.94,-9.36,-999.00,-7.22,-31.01,-6.30,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-10.81,-10.58,-32.79,-999.00,-999.00,-9.29,-32.87,-999.00,-2.97,-2.36,-999.00,-999.00
CESM2,-8.68,-8.11,-999.00,-8.98, 0.49,-7.07,-999.00,-6.07,-0.60, 2.86,-999.00,-999.00
CNRM-CM5,-10.80,-9.51,-29.78,-999.00,-999.00,-8.26,-29.92,-999.00,-3.61,-2.20,-999.00,-999.00
CNRM-CM6-1,-9.08,-999.00,-999.00,-9.19,-999.00,-999.00,-999.00,-5.42, 0.61, 1.76,-999.00,-999.00
COSMOS-ASO,-9.12,-999.00,-35.31,-999.00,-999.00,-999.00,-35.39,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-12.27,-11.62,-999.00,-999.00,-999.00,-10.35,-999.00,-999.00,-5.76,-2.46,-999.00,-999.00
CSIRO-Mk3L-1-2,-9.71,-9.21,-999.00,-999.00,-999.00,-8.19,-999.00,-999.00,-4.70,-999.00,-999.00,-999.00
EC-EARTH-2-2,-14.05,-13.44,-999.00,-999.00,-999.00,-12.41,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-13.28,-11.86,-999.00,-999.00,-999.00,-10.60,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-11.63,-11.57,-999.00,-13.62,-999.00,-10.32,-999.00,-10.11,-2.06,-2.09,-999.00,-999.00
FGOALS-g2,-10.47,-10.93,-35.07,-999.00,-999.00,-9.72,-35.15,-999.00,-2.16,-1.14,-999.00,-999.00
FGOALS-g3,-11.15,-10.34,-999.00,-11.15,-999.00,-9.13,-999.00,-7.72,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-9.39,-8.84,-999.00,-999.00,-999.00,-7.44,-999.00,-999.00,-0.86, 1.11,-999.00,-999.00
GISS-E2-1-G,-10.87,-10.23,-999.00,-11.46,-6.70,-9.12,-999.00,-8.28,-9.34,-4.10,-999.00,-999.00
GISS-E2-R,-9.67,-9.25,-33.00,-999.00,-999.00,-8.10,-33.06,-999.00,-4.33,-3.36,-999.00,-999.00
HadCM3,-11.63,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-11.94,-10.30,-999.00,-999.00,-999.00,-9.10,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-10.32,-8.86,-999.00,-999.00,-999.00,-7.72,-999.00,-999.00,-0.80, 2.55,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-8.00,-999.00,-5.62,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-11.54,-11.38,-37.72,-12.44,-999.00,-10.19,-37.80,-9.00,-6.05,-5.21,-999.00,-999.00
IPSL-CM5A-LR,-10.43,-9.75,-35.38,-999.00,-999.00,-8.46,-35.46,-999.00,-2.94,-0.58,-999.00,-999.00
IPSL-CM6A-LR,-10.55,-10.34,-999.00,-11.10,-3.04,-8.94,-999.00,-7.10, 1.30, 7.42,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-6.33,-6.30,-31.48,-7.49,-999.00,-5.23,-31.57,-4.35, 1.38, 2.30,-999.00,-999.00
MIROC-ESM,-5.19,-5.18,-36.31,-999.00,-999.00,-4.17,-36.39,-999.00, 3.32, 5.96,-999.00,-999.00
MPI-ESM1-2-LR,-8.80,-8.73,-31.22,-5.54,-999.00,-7.68,-999.00,-6.37,-0.40,-0.11,-999.00,-999.00
MPI-ESM-P,-9.80,-9.24,-34.19,-999.00,-999.00,-8.18,-34.25,-999.00,-2.59,-0.39,-999.00,-999.00
MRI-CGCM3,-12.06,-10.90,-33.73,-999.00,-999.00,-9.61,-33.83,-999.00,-4.83,-3.25,-999.00,-999.00
MRI-ESM2-0,-7.81,-7.58,-999.00,-999.00,-999.00,-6.45,-999.00,-999.00,-1.61, 0.10,-999.00,-999.00
NESM3,-8.13,-7.63,-999.00,-8.50,-999.00,-6.53,-999.00,-5.27, 1.65, 2.98,-999.00,-999.00
NorESM1-F,-9.01,-8.95,-999.00,-10.62,-3.85,-7.72,-999.00,-7.00,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-8.85,-8.29,-999.00,-9.29,-999.00,-7.18,-999.00,-6.12,-1.18, 3.13,-999.00,-999.00
UofT-CCSM-4,-14.17,-13.35,-35.32,-999.00,-999.00,-11.95,-35.40,-999.00,-999.00,-999.00,-999.00,-999.00
