MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.78,-999.00,-999.00, 0.79,-999.00,-999.00,-999.00, 0.70, 0.61, 0.58,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.71, 0.71, 0.89,-999.00, 0.71, 0.71, 0.77,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.98, 0.88, 0.72,-999.00,-999.00, 0.86, 0.72,-999.00, 0.85, 0.90,-999.00,-999.00
CESM2, 0.94, 0.83,-999.00, 0.82, 0.68, 0.80,-999.00, 0.72, 0.62, 0.66,-999.00,-999.00
CNRM-CM5, 0.86, 0.90, 0.91,-999.00,-999.00, 0.90, 0.91,-999.00, 0.63, 0.59,-999.00,-999.00
CNRM-CM6-1, 1.05,-999.00,-999.00, 1.09,-999.00,-999.00,-999.00, 0.94, 0.65, 0.49,-999.00,-999.00
COSMOS-ASO, 0.82,-999.00, 1.02,-999.00,-999.00,-999.00, 1.02,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.86, 0.91,-999.00,-999.00,-999.00, 0.86,-999.00,-999.00, 0.64, 0.72,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.66, 0.58,-999.00,-999.00,-999.00, 0.56,-999.00,-999.00, 0.51,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.27, 0.96,-999.00,-999.00,-999.00, 0.94,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.14, 1.49,-999.00,-999.00,-999.00, 1.45,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.02, 1.00,-999.00, 1.02,-999.00, 0.98,-999.00, 0.89, 0.72, 0.72,-999.00,-999.00
FGOALS-g2, 0.76, 0.83, 0.57,-999.00,-999.00, 0.79, 0.56,-999.00, 0.67, 0.63,-999.00,-999.00
FGOALS-g3, 1.04, 0.94,-999.00, 0.88,-999.00, 0.90,-999.00, 0.77,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.11, 1.08,-999.00,-999.00,-999.00, 1.07,-999.00,-999.00, 0.78, 0.76,-999.00,-999.00
GISS-E2-1-G, 0.93, 0.93,-999.00, 0.90, 0.86, 0.89,-999.00, 0.79, 0.70, 0.84,-999.00,-999.00
GISS-E2-R, 0.82, 0.75, 0.91,-999.00,-999.00, 0.73, 0.91,-999.00, 0.78, 0.51,-999.00,-999.00
HadCM3, 0.70,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.95, 0.87,-999.00,-999.00,-999.00, 0.84,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.87, 0.82,-999.00,-999.00,-999.00, 0.80,-999.00,-999.00, 0.71, 0.47,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.81,-999.00, 0.74,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.84, 0.83, 1.01, 0.90,-999.00, 0.79, 1.01, 0.80, 0.74, 0.64,-999.00,-999.00
IPSL-CM5A-LR, 0.81, 0.88, 0.85,-999.00,-999.00, 0.86, 0.86,-999.00, 0.70, 0.51,-999.00,-999.00
IPSL-CM6A-LR, 1.04, 1.10,-999.00, 1.03, 0.67, 1.06,-999.00, 0.91, 0.54, 0.47,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.70, 0.60, 0.95, 0.73,-999.00, 0.59, 0.95, 0.63, 0.43, 0.40,-999.00,-999.00
MIROC-ESM, 0.69, 0.60, 0.94,-999.00,-999.00, 0.57, 0.94,-999.00, 0.38, 0.37,-999.00,-999.00
MPI-ESM1-2-LR, 0.79, 0.79, 0.80, 0.51,-999.00, 0.76,-999.00, 0.56, 0.51, 0.65,-999.00,-999.00
MPI-ESM-P, 0.82, 0.69, 0.84,-999.00,-999.00, 0.67, 0.84,-999.00, 0.61, 0.64,-999.00,-999.00
MRI-CGCM3, 1.07, 1.10, 1.06,-999.00,-999.00, 1.06, 1.06,-999.00, 0.76, 0.56,-999.00,-999.00
MRI-ESM2-0, 0.89, 0.81,-999.00,-999.00,-999.00, 0.77,-999.00,-999.00, 0.77, 0.62,-999.00,-999.00
NESM3, 0.77, 0.75,-999.00, 0.82,-999.00, 0.74,-999.00, 0.75, 0.48, 0.62,-999.00,-999.00
NorESM1-F, 0.81, 0.83,-999.00, 0.97, 0.74, 0.80,-999.00, 0.83,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.81, 0.81,-999.00, 0.78,-999.00, 0.77,-999.00, 0.69, 0.67, 0.63,-999.00,-999.00
UofT-CCSM-4, 1.22, 0.99, 0.66,-999.00,-999.00, 0.98, 0.66,-999.00,-999.00,-999.00,-999.00,-999.00
