MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.87,-999.00,-999.00, 0.81,-999.00,-999.00,-999.00, 1.10, 0.75, 0.74,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.88, 0.76, 0.90,-999.00, 0.86, 0.76, 0.91,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.01, 0.93, 0.56,-999.00,-999.00, 0.91, 0.57,-999.00, 0.75, 0.82,-999.00,-999.00
CESM2, 1.03, 1.02,-999.00, 0.95, 1.00, 1.00,-999.00, 0.96, 0.99, 0.74,-999.00,-999.00
CNRM-CM5, 0.98, 0.98, 0.85,-999.00,-999.00, 0.97, 0.86,-999.00, 0.87, 0.86,-999.00,-999.00
CNRM-CM6-1, 1.15,-999.00,-999.00, 1.05,-999.00,-999.00,-999.00, 1.06, 1.09, 1.19,-999.00,-999.00
COSMOS-ASO, 0.97,-999.00, 1.36,-999.00,-999.00,-999.00, 1.36,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.79, 0.89,-999.00,-999.00,-999.00, 0.87,-999.00,-999.00, 0.67, 0.52,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.64, 0.65,-999.00,-999.00,-999.00, 0.64,-999.00,-999.00, 0.70,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.84, 0.99,-999.00,-999.00,-999.00, 0.97,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.95, 1.11,-999.00,-999.00,-999.00, 1.11,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.02, 0.98,-999.00, 0.95,-999.00, 0.95,-999.00, 0.95, 1.12, 0.98,-999.00,-999.00
FGOALS-g2, 0.69, 0.70, 0.48,-999.00,-999.00, 0.69, 0.49,-999.00, 0.64, 0.58,-999.00,-999.00
FGOALS-g3, 1.08, 0.99,-999.00, 0.99,-999.00, 0.97,-999.00, 1.00,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.04, 0.92,-999.00,-999.00,-999.00, 0.91,-999.00,-999.00, 0.98, 0.88,-999.00,-999.00
GISS-E2-1-G, 1.07, 1.07,-999.00, 0.97, 1.15, 1.06,-999.00, 0.97, 1.11, 1.28,-999.00,-999.00
GISS-E2-R, 0.81, 0.68, 0.65,-999.00,-999.00, 0.67, 0.65,-999.00, 0.74, 0.85,-999.00,-999.00
HadCM3, 0.84,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.15, 1.11,-999.00,-999.00,-999.00, 1.08,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.07, 1.07,-999.00,-999.00,-999.00, 1.06,-999.00,-999.00, 0.84, 0.58,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.81,-999.00, 0.85,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.94, 0.92, 0.95, 0.97,-999.00, 0.91, 0.95, 0.98, 0.83, 0.70,-999.00,-999.00
IPSL-CM5A-LR, 0.76, 0.74, 0.76,-999.00,-999.00, 0.72, 0.76,-999.00, 0.91, 0.67,-999.00,-999.00
IPSL-CM6A-LR, 0.96, 1.03,-999.00, 0.88, 0.74, 1.02,-999.00, 0.88, 0.84, 0.37,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.81, 0.76, 0.73, 0.66,-999.00, 0.75, 0.74, 0.66, 0.86, 0.89,-999.00,-999.00
MIROC-ESM, 0.99, 0.95, 0.90,-999.00,-999.00, 0.94, 0.91,-999.00, 0.67, 0.56,-999.00,-999.00
MPI-ESM1-2-LR, 0.90, 0.85, 0.79, 0.45,-999.00, 0.84,-999.00, 0.45, 0.66, 0.66,-999.00,-999.00
MPI-ESM-P, 0.83, 0.83, 0.78,-999.00,-999.00, 0.82, 0.78,-999.00, 0.84, 0.87,-999.00,-999.00
MRI-CGCM3, 1.04, 1.09, 0.98,-999.00,-999.00, 1.07, 0.98,-999.00, 1.03, 0.86,-999.00,-999.00
MRI-ESM2-0, 0.99, 0.98,-999.00,-999.00,-999.00, 0.97,-999.00,-999.00, 1.04, 0.66,-999.00,-999.00
NESM3, 1.11, 1.11,-999.00, 1.10,-999.00, 1.09,-999.00, 1.11, 0.63, 0.61,-999.00,-999.00
NorESM1-F, 0.78, 0.81,-999.00, 0.77, 0.80, 0.80,-999.00, 0.77,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.13, 1.07,-999.00, 1.04,-999.00, 1.05,-999.00, 1.05, 1.20, 1.15,-999.00,-999.00
UofT-CCSM-4, 1.05, 1.02, 0.59,-999.00,-999.00, 1.00, 0.59,-999.00,-999.00,-999.00,-999.00,-999.00
