MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 9.65,-999.00,-999.00,12.37,-999.00,-999.00,-999.00,12.57,10.45,10.65,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,10.44, 9.77,12.56,-999.00,10.47, 9.77,12.61,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,10.41,11.33,12.77,-999.00,-999.00,11.34,12.76,-999.00,10.43,10.69,-999.00,-999.00
CESM2,10.51,11.50,-999.00,13.21,11.30,11.51,-999.00,13.25,10.41,10.39,-999.00,-999.00
CNRM-CM5,10.17,10.88,15.68,-999.00,-999.00,10.91,15.67,-999.00, 9.94, 9.65,-999.00,-999.00
CNRM-CM6-1,10.15,-999.00,-999.00,13.44,-999.00,-999.00,-999.00,13.41, 9.94,10.08,-999.00,-999.00
COSMOS-ASO, 9.13,-999.00,11.29,-999.00,-999.00,-999.00,11.28,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,11.94,12.59,-999.00,-999.00,-999.00,12.64,-999.00,-999.00,12.14,12.23,-999.00,-999.00
CSIRO-Mk3L-1-2,11.51,12.09,-999.00,-999.00,-999.00,12.11,-999.00,-999.00,10.75,-999.00,-999.00,-999.00
EC-EARTH-2-2, 8.71, 9.31,-999.00,-999.00,-999.00, 9.33,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,10.37,11.15,-999.00,-999.00,-999.00,11.16,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,10.40,11.11,-999.00,12.65,-999.00,11.07,-999.00,12.66,10.20,10.05,-999.00,-999.00
FGOALS-g2,10.32,11.02,11.30,-999.00,-999.00,11.04,11.29,-999.00, 9.96,10.26,-999.00,-999.00
FGOALS-g3,10.28,11.65,-999.00,13.03,-999.00,11.66,-999.00,13.07,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,10.56,11.30,-999.00,-999.00,-999.00,11.31,-999.00,-999.00,10.79,10.85,-999.00,-999.00
GISS-E2-1-G, 9.87,10.55,-999.00,12.27,10.08,10.56,-999.00,12.29,10.27,10.95,-999.00,-999.00
GISS-E2-R, 8.65, 9.33, 9.61,-999.00,-999.00, 9.33, 9.61,-999.00, 9.10, 9.69,-999.00,-999.00
HadCM3,10.33,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,10.87,12.04,-999.00,-999.00,-999.00,12.05,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,10.61,11.71,-999.00,-999.00,-999.00,11.73,-999.00,-999.00,11.07,11.29,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,11.09,-999.00,13.08,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 9.17, 9.95,13.19,11.98,-999.00, 9.98,13.19,12.02, 9.19, 9.15,-999.00,-999.00
IPSL-CM5A-LR, 9.13, 9.65, 9.83,-999.00,-999.00, 9.66, 9.83,-999.00, 9.85, 9.88,-999.00,-999.00
IPSL-CM6A-LR, 9.94,10.73,-999.00,12.54,11.17,10.75,-999.00,12.56,10.40,11.06,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,10.14,10.57,12.80,12.00,-999.00,10.58,12.80,12.02,10.15,10.09,-999.00,-999.00
MIROC-ESM, 9.51,10.06,11.45,-999.00,-999.00,10.08,11.44,-999.00, 9.71,10.08,-999.00,-999.00
MPI-ESM1-2-LR, 9.26, 9.94,10.70, 1.78,-999.00, 9.96,-999.00, 1.78,10.25,10.42,-999.00,-999.00
MPI-ESM-P, 8.91, 9.47, 9.94,-999.00,-999.00, 9.48, 9.94,-999.00, 9.38, 9.66,-999.00,-999.00
MRI-CGCM3, 9.06, 9.53,13.49,-999.00,-999.00, 9.54,13.48,-999.00, 9.14, 9.27,-999.00,-999.00
MRI-ESM2-0, 9.17, 9.99,-999.00,-999.00,-999.00,10.02,-999.00,-999.00, 9.11, 8.99,-999.00,-999.00
NESM3,10.23, 9.79,-999.00,11.99,-999.00, 9.81,-999.00,12.00,11.03,10.82,-999.00,-999.00
NorESM1-F,10.62,11.31,-999.00,13.12,10.74,11.32,-999.00,13.12,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,10.25,11.29,-999.00,12.99,-999.00,11.30,-999.00,13.02,10.24, 9.96,-999.00,-999.00
UofT-CCSM-4,10.71,11.83,12.86,-999.00,-999.00,11.84,12.86,-999.00,-999.00,-999.00,-999.00,-999.00
