MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.94,-999.00,-999.00, 1.05,-999.00,-999.00,-999.00, 1.05, 1.20, 1.10,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.19, 1.75, 1.24,-999.00, 1.17, 1.75, 1.25,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.97, 1.01, 0.92,-999.00,-999.00, 0.99, 0.92,-999.00, 1.01, 0.90,-999.00,-999.00
CESM2, 1.17, 1.28,-999.00, 1.27, 1.20, 1.26,-999.00, 1.29, 0.88, 0.61,-999.00,-999.00
CNRM-CM5, 1.07, 1.24, 1.46,-999.00,-999.00, 1.22, 1.46,-999.00, 1.15, 1.00,-999.00,-999.00
CNRM-CM6-1, 1.13,-999.00,-999.00, 1.29,-999.00,-999.00,-999.00, 1.29, 1.01, 1.01,-999.00,-999.00
COSMOS-ASO, 1.12,-999.00, 1.48,-999.00,-999.00,-999.00, 1.48,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.91, 0.97,-999.00,-999.00,-999.00, 0.96,-999.00,-999.00, 0.86, 0.77,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.99, 1.00,-999.00,-999.00,-999.00, 0.99,-999.00,-999.00, 0.97,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.80, 0.86,-999.00,-999.00,-999.00, 0.85,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.23, 1.23,-999.00,-999.00,-999.00, 1.22,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.06, 1.04,-999.00, 1.09,-999.00, 1.05,-999.00, 1.10, 0.89, 0.75,-999.00,-999.00
FGOALS-g2, 1.02, 1.03, 0.94,-999.00,-999.00, 1.02, 0.95,-999.00, 0.91, 0.71,-999.00,-999.00
FGOALS-g3, 1.14, 1.16,-999.00, 1.10,-999.00, 1.14,-999.00, 1.12,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.95, 0.92,-999.00,-999.00,-999.00, 0.91,-999.00,-999.00, 1.12, 0.63,-999.00,-999.00
GISS-E2-1-G, 0.96, 1.04,-999.00, 1.13, 0.95, 1.02,-999.00, 1.14, 1.04, 1.08,-999.00,-999.00
GISS-E2-R, 0.91, 0.94, 0.72,-999.00,-999.00, 0.92, 0.72,-999.00, 0.65, 0.92,-999.00,-999.00
HadCM3, 1.10,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.10, 1.33,-999.00,-999.00,-999.00, 1.30,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.03, 1.08,-999.00,-999.00,-999.00, 1.07,-999.00,-999.00, 0.87, 1.05,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.25,-999.00, 1.13,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.76, 0.83, 1.28, 0.89,-999.00, 0.82, 1.28, 0.90, 0.84, 0.94,-999.00,-999.00
IPSL-CM5A-LR, 1.11, 1.10, 1.45,-999.00,-999.00, 1.08, 1.45,-999.00, 0.96, 1.06,-999.00,-999.00
IPSL-CM6A-LR, 1.11, 1.12,-999.00, 1.12, 1.11, 1.10,-999.00, 1.13, 1.00, 0.95,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.89, 0.99, 1.00, 0.93,-999.00, 0.97, 1.01, 0.94, 0.72, 0.67,-999.00,-999.00
MIROC-ESM, 1.00, 1.14, 1.46,-999.00,-999.00, 1.12, 1.46,-999.00, 0.87, 0.70,-999.00,-999.00
MPI-ESM1-2-LR, 1.13, 1.09, 1.42, 0.45,-999.00, 1.07,-999.00, 0.45, 0.64, 1.26,-999.00,-999.00
MPI-ESM-P, 1.04, 1.02, 1.73,-999.00,-999.00, 1.00, 1.73,-999.00, 0.84, 1.15,-999.00,-999.00
MRI-CGCM3, 0.91, 1.12, 1.06,-999.00,-999.00, 1.10, 1.07,-999.00, 0.77, 0.73,-999.00,-999.00
MRI-ESM2-0, 0.92, 0.97,-999.00,-999.00,-999.00, 0.96,-999.00,-999.00, 0.74, 0.68,-999.00,-999.00
NESM3, 1.22, 1.08,-999.00, 0.98,-999.00, 1.07,-999.00, 0.99, 1.52, 1.27,-999.00,-999.00
NorESM1-F, 0.86, 0.92,-999.00, 1.02, 0.93, 0.91,-999.00, 1.03,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.98, 0.92,-999.00, 1.05,-999.00, 0.91,-999.00, 1.07, 1.04, 0.85,-999.00,-999.00
UofT-CCSM-4, 1.03, 1.00, 0.87,-999.00,-999.00, 0.99, 0.88,-999.00,-999.00,-999.00,-999.00,-999.00
