MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 5.35,-999.00,-999.00, 6.37,-999.00,-999.00,-999.00, 6.51, 6.07, 6.25,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.70, 1.85, 2.94,-999.00, 2.47, 1.63, 2.92,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 4.54, 5.56, 3.56,-999.00,-999.00, 5.24, 3.33,-999.00, 5.48, 5.70,-999.00,-999.00
CESM2, 3.19, 3.63,-999.00, 3.38,-999.00, 3.31,-999.00, 3.20, 4.11, 4.01,-999.00,-999.00
CNRM-CM5, 3.00, 3.77, 2.99,-999.00,-999.00, 3.56, 2.75,-999.00, 3.11, 3.20,-999.00,-999.00
CNRM-CM6-1, 2.08,-999.00,-999.00, 3.05,-999.00,-999.00,-999.00,-999.00, 2.23, 2.30,-999.00,-999.00
COSMOS-ASO, 2.35,-999.00, 2.63,-999.00,-999.00,-999.00, 2.44,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 3.53, 4.32,-999.00,-999.00,-999.00, 3.93,-999.00,-999.00, 3.48, 3.71,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.37, 3.32,-999.00,-999.00,-999.00, 3.03,-999.00,-999.00, 2.65,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.54, 3.84,-999.00,-999.00,-999.00, 3.66,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 3.60, 4.27,-999.00,-999.00,-999.00, 4.12,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.52, 2.33,-999.00, 2.23,-999.00, 2.17,-999.00, 2.20, 2.71, 2.79,-999.00,-999.00
FGOALS-g2, 3.99, 4.32, 3.78,-999.00,-999.00, 4.10, 3.62,-999.00, 4.39, 3.79,-999.00,-999.00
FGOALS-g3, 3.04, 3.55,-999.00, 3.19,-999.00, 3.34,-999.00, 3.25,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 3.16, 4.45,-999.00,-999.00,-999.00, 4.17,-999.00,-999.00, 5.02, 4.60,-999.00,-999.00
GISS-E2-1-G, 2.38, 2.94,-999.00, 2.58,-999.00, 2.84,-999.00, 2.62, 2.14, 2.64,-999.00,-999.00
GISS-E2-R, 3.24, 4.00, 2.59,-999.00,-999.00, 3.81, 2.48,-999.00, 2.87, 2.43,-999.00,-999.00
HadCM3, 3.25,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 3.64, 4.34,-999.00,-999.00,-999.00, 4.06,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.50, 4.25,-999.00,-999.00,-999.00, 3.96,-999.00,-999.00, 3.62, 3.73,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.82,-999.00, 3.76,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 4.46, 5.76, 3.00, 6.07,-999.00, 5.61, 2.84, 6.15, 5.92, 6.29,-999.00,-999.00
IPSL-CM5A-LR, 2.60, 3.35, 2.07,-999.00,-999.00, 3.12, 1.89,-999.00, 3.67, 3.93,-999.00,-999.00
IPSL-CM6A-LR, 4.09, 5.01,-999.00, 5.40,-999.00, 4.78,-999.00, 5.37, 6.21, 7.86,-999.00,-999.00
KCM1-2-2, 2.41, 2.10,-999.00,-999.00,-999.00, 2.10,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 4.01, 4.64, 3.37,-999.00,-999.00, 4.39, 3.22, 4.80, 4.33, 4.39,-999.00,-999.00
MIROC-ESM, 4.29, 5.17, 2.92,-999.00,-999.00, 4.88, 2.66,-999.00, 5.49, 5.29,-999.00,-999.00
MPI-ESM1-2-LR, 2.23, 2.56, 2.30,-999.00,-999.00, 2.31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 2.23, 2.81, 2.19,-999.00,-999.00, 2.56, 1.96,-999.00, 2.93, 3.26,-999.00,-999.00
MRI-CGCM3, 3.22, 3.86, 2.67,-999.00,-999.00, 3.48, 2.39,-999.00, 4.10, 3.93,-999.00,-999.00
MRI-ESM2-0, 3.66, 4.36,-999.00,-999.00,-999.00, 3.94,-999.00,-999.00, 3.85, 3.96,-999.00,-999.00
NESM3, 2.92, 3.36,-999.00, 3.41,-999.00, 2.94,-999.00, 3.07, 3.89, 4.18,-999.00,-999.00
NorESM1-F, 3.90, 4.86,-999.00, 4.76,-999.00, 4.54,-999.00, 4.55,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.70, 3.03,-999.00,-999.00,-999.00, 2.72,-999.00,-999.00, 2.77, 3.13,-999.00,-999.00
UofT-CCSM-4, 4.60, 5.64, 3.12,-999.00,-999.00, 5.31, 2.91,-999.00,-999.00,-999.00,-999.00,-999.00
