MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.10,-999.00,-999.00, 3.96,-999.00,-999.00,-999.00, 3.46, 3.45, 3.57,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.65, 1.67, 2.49,-999.00, 1.44, 1.48, 2.18,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.98, 2.84, 2.62,-999.00,-999.00, 2.60, 2.42,-999.00, 3.35, 3.34,-999.00,-999.00
CESM2, 3.09, 2.98,-999.00, 3.48,-999.00, 2.64,-999.00, 3.10, 3.57, 3.39,-999.00,-999.00
CNRM-CM5, 2.54, 2.36, 2.68,-999.00,-999.00, 2.12, 2.45,-999.00, 2.81, 2.92,-999.00,-999.00
CNRM-CM6-1, 1.49,-999.00,-999.00, 2.12,-999.00,-999.00,-999.00,-999.00, 1.60, 1.58,-999.00,-999.00
COSMOS-ASO, 2.08,-999.00, 2.24,-999.00,-999.00,-999.00, 2.11,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 4.03, 3.80,-999.00,-999.00,-999.00, 3.29,-999.00,-999.00, 3.82, 3.90,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.86, 2.39,-999.00,-999.00,-999.00, 2.09,-999.00,-999.00, 3.08,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.20, 2.33,-999.00,-999.00,-999.00, 2.11,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 2.00, 2.25,-999.00,-999.00,-999.00, 2.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.61, 1.36,-999.00, 1.79,-999.00, 1.21,-999.00, 1.56, 2.58, 2.53,-999.00,-999.00
FGOALS-g2, 3.32, 3.24, 3.58,-999.00,-999.00, 2.97, 3.44,-999.00, 3.57, 3.19,-999.00,-999.00
FGOALS-g3, 2.46, 1.95,-999.00, 2.40,-999.00, 1.73,-999.00, 2.07,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.71, 2.42,-999.00,-999.00,-999.00, 2.15,-999.00,-999.00, 2.97, 2.94,-999.00,-999.00
GISS-E2-1-G, 2.13, 2.17,-999.00, 2.66,-999.00, 2.05,-999.00, 2.54, 2.22, 2.00,-999.00,-999.00
GISS-E2-R, 2.54, 2.49, 2.55,-999.00,-999.00, 2.35, 2.44,-999.00, 2.32, 2.21,-999.00,-999.00
HadCM3, 3.06,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.11, 2.10,-999.00,-999.00,-999.00, 1.85,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.13, 2.13,-999.00,-999.00,-999.00, 1.86,-999.00,-999.00, 2.24, 2.29,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.85,-999.00, 2.60,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 3.50, 3.07, 3.06, 3.87,-999.00, 2.87, 2.93, 3.57, 3.90, 4.03,-999.00,-999.00
IPSL-CM5A-LR, 2.20, 1.90, 1.43,-999.00,-999.00, 1.69, 1.28,-999.00, 3.42, 3.86,-999.00,-999.00
IPSL-CM6A-LR, 3.36, 3.12,-999.00, 3.63,-999.00, 2.85,-999.00, 3.34, 4.15, 4.72,-999.00,-999.00
KCM1-2-2, 2.41, 2.10,-999.00,-999.00,-999.00, 2.10,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 4.83, 4.88, 4.35,-999.00,-999.00, 4.52, 4.21, 5.50, 4.29, 4.40,-999.00,-999.00
MIROC-ESM, 3.15, 2.71, 2.85,-999.00,-999.00, 2.42, 2.58,-999.00, 3.29, 3.33,-999.00,-999.00
MPI-ESM1-2-LR, 1.67, 1.77, 1.89,-999.00,-999.00, 1.55,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.73, 1.85, 1.95,-999.00,-999.00, 1.58, 1.75,-999.00, 1.80, 1.87,-999.00,-999.00
MRI-CGCM3, 1.64, 1.73, 1.61,-999.00,-999.00, 1.46, 1.39,-999.00, 2.12, 2.28,-999.00,-999.00
MRI-ESM2-0, 3.11, 3.07,-999.00,-999.00,-999.00, 2.70,-999.00,-999.00, 3.21, 3.13,-999.00,-999.00
NESM3, 2.14, 2.08,-999.00, 2.57,-999.00, 1.82,-999.00, 2.27, 2.69, 2.87,-999.00,-999.00
NorESM1-F, 3.40, 3.26,-999.00, 3.82,-999.00, 2.97,-999.00, 3.45,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.37, 2.66,-999.00,-999.00,-999.00, 2.33,-999.00,-999.00, 2.54, 3.02,-999.00,-999.00
UofT-CCSM-4, 2.98, 2.59, 2.82,-999.00,-999.00, 2.37, 2.60,-999.00,-999.00,-999.00,-999.00,-999.00
