MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,24.23,-999.00,-999.00,23.75,-999.00,-999.00,-999.00,23.81,29.03,30.08,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,21.75,20.81,21.36,-999.00,21.75,20.81,21.46,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,22.16,21.22,19.33,-999.00,-999.00,21.23,19.34,-999.00,26.43,26.89,-999.00,-999.00
CESM2,24.73,24.08,-999.00,23.89,28.40,24.09,-999.00,23.99,30.34,32.70,-999.00,-999.00
CNRM-CM5,22.47,22.05,19.99,-999.00,-999.00,22.07,19.99,-999.00,26.72,27.96,-999.00,-999.00
CNRM-CM6-1,23.89,-999.00,-999.00,22.85,-999.00,-999.00,-999.00,22.97,30.23,31.63,-999.00,-999.00
COSMOS-ASO,22.79,-999.00,17.47,-999.00,-999.00,-999.00,17.47,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,23.94,23.33,-999.00,-999.00,-999.00,23.36,-999.00,-999.00,28.72,31.07,-999.00,-999.00
CSIRO-Mk3L-1-2,24.37,23.68,-999.00,-999.00,-999.00,23.72,-999.00,-999.00,28.37,-999.00,-999.00,-999.00
EC-EARTH-2-2,21.57,20.49,-999.00,-999.00,-999.00,20.51,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,22.81,21.81,-999.00,-999.00,-999.00,21.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,23.19,22.22,-999.00,21.94,-999.00,22.20,-999.00,22.02,28.05,28.08,-999.00,-999.00
FGOALS-g2,21.65,20.46,17.80,-999.00,-999.00,20.47,17.80,-999.00,24.74,27.55,-999.00,-999.00
FGOALS-g3,23.60,23.08,-999.00,22.91,-999.00,23.09,-999.00,23.00,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,23.52,22.65,-999.00,-999.00,-999.00,22.67,-999.00,-999.00,27.45,29.35,-999.00,-999.00
GISS-E2-1-G,24.88,23.79,-999.00,23.70,26.61,23.80,-999.00,23.77,25.91,30.51,-999.00,-999.00
GISS-E2-R,24.81,24.05,21.55,-999.00,-999.00,24.07,21.55,-999.00,28.96,29.62,-999.00,-999.00
HadCM3,23.06,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,23.26,22.58,-999.00,-999.00,-999.00,22.61,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,23.68,23.15,-999.00,-999.00,-999.00,23.18,-999.00,-999.00,29.17,30.96,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,23.64,-999.00,24.02,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,21.90,21.19,19.51,21.09,-999.00,21.22,19.51,21.23,24.99,25.36,-999.00,-999.00
IPSL-CM5A-LR,21.69,21.21,17.59,-999.00,-999.00,21.24,17.59,-999.00,27.05,29.10,-999.00,-999.00
IPSL-CM6A-LR,21.66,20.84,-999.00,20.79,24.13,20.86,-999.00,20.89,27.71,31.28,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,23.58,22.55,21.29,22.16,-999.00,22.56,21.29,22.23,27.48,27.89,-999.00,-999.00
MIROC-ESM,23.19,22.49,20.78,-999.00,-999.00,22.49,20.79,-999.00,27.40,29.70,-999.00,-999.00
MPI-ESM1-2-LR,23.84,22.72,20.81,22.49,-999.00,22.73,-999.00,22.53,29.20,29.22,-999.00,-999.00
MPI-ESM-P,23.76,22.67,19.98,-999.00,-999.00,22.69,19.98,-999.00,29.46,31.21,-999.00,-999.00
MRI-CGCM3,23.94,23.15,20.11,-999.00,-999.00,23.18,20.11,-999.00,27.60,28.62,-999.00,-999.00
MRI-ESM2-0,24.37,23.47,-999.00,-999.00,-999.00,23.49,-999.00,-999.00,28.48,29.63,-999.00,-999.00
NESM3,24.09,23.15,-999.00,23.19,-999.00,23.16,-999.00,23.30,30.16,30.96,-999.00,-999.00
NorESM1-F,23.66,22.84,-999.00,22.52,24.40,22.85,-999.00,22.62,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,24.89,24.29,-999.00,24.16,-999.00,24.31,-999.00,24.25,28.90,32.16,-999.00,-999.00
UofT-CCSM-4,21.51,20.70,19.08,-999.00,-999.00,20.71,19.09,-999.00,-999.00,-999.00,-999.00,-999.00
