MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,25.35,-999.00,-999.00,24.63,-999.00,-999.00,-999.00,24.58,30.22,31.32,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,22.63,22.34,22.45,-999.00,22.62,22.35,22.45,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,23.50,21.88,20.83,-999.00,-999.00,21.87,20.83,-999.00,27.95,28.40,-999.00,-999.00
CESM2,25.94,24.62,-999.00,24.75,29.76,24.61,-999.00,24.74,31.38,33.70,-999.00,-999.00
CNRM-CM5,23.54,22.72,21.21,-999.00,-999.00,22.71,21.21,-999.00,27.83,28.98,-999.00,-999.00
CNRM-CM6-1,24.49,-999.00,-999.00,23.23,-999.00,-999.00,-999.00,23.20,30.95,32.38,-999.00,-999.00
COSMOS-ASO,23.95,-999.00,19.10,-999.00,-999.00,-999.00,19.10,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,24.52,23.36,-999.00,-999.00,-999.00,23.36,-999.00,-999.00,29.39,31.78,-999.00,-999.00
CSIRO-Mk3L-1-2,24.64,23.68,-999.00,-999.00,-999.00,23.67,-999.00,-999.00,28.40,-999.00,-999.00,-999.00
EC-EARTH-2-2,21.94,20.23,-999.00,-999.00,-999.00,20.23,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,23.98,22.20,-999.00,-999.00,-999.00,22.19,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,23.95,22.64,-999.00,22.46,-999.00,22.59,-999.00,22.44,28.79,28.85,-999.00,-999.00
FGOALS-g2,22.51,20.54,18.70,-999.00,-999.00,20.54,18.70,-999.00,25.81,28.58,-999.00,-999.00
FGOALS-g3,24.75,23.80,-999.00,23.97,-999.00,23.78,-999.00,23.97,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,24.54,23.26,-999.00,-999.00,-999.00,23.26,-999.00,-999.00,28.52,30.17,-999.00,-999.00
GISS-E2-1-G,25.73,24.04,-999.00,24.04,27.75,24.03,-999.00,24.03,26.70,31.39,-999.00,-999.00
GISS-E2-R,25.57,24.27,22.32,-999.00,-999.00,24.26,22.33,-999.00,29.87,30.50,-999.00,-999.00
HadCM3,23.56,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,24.39,23.27,-999.00,-999.00,-999.00,23.26,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,24.80,23.86,-999.00,-999.00,-999.00,23.85,-999.00,-999.00,30.52,32.30,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,23.97,-999.00,24.59,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,23.08,21.72,20.61,22.12,-999.00,21.71,20.61,22.12,26.20,26.53,-999.00,-999.00
IPSL-CM5A-LR,22.64,21.46,18.82,-999.00,-999.00,21.46,18.83,-999.00,27.86,29.86,-999.00,-999.00
IPSL-CM6A-LR,22.55,21.01,-999.00,21.17,24.97,21.01,-999.00,21.15,28.54,32.17,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,24.30,22.65,22.30,22.55,-999.00,22.64,22.30,22.56,28.23,28.65,-999.00,-999.00
MIROC-ESM,24.53,23.24,21.97,-999.00,-999.00,23.23,21.97,-999.00,29.10,31.42,-999.00,-999.00
MPI-ESM1-2-LR,25.24,23.32,22.24,22.64,-999.00,23.32,-999.00,22.65,30.86,30.90,-999.00,-999.00
MPI-ESM-P,24.81,23.01,21.29,-999.00,-999.00,23.01,21.30,-999.00,30.62,32.48,-999.00,-999.00
MRI-CGCM3,25.27,23.80,21.57,-999.00,-999.00,23.77,21.58,-999.00,28.69,29.52,-999.00,-999.00
MRI-ESM2-0,25.45,24.01,-999.00,-999.00,-999.00,23.99,-999.00,-999.00,29.40,30.49,-999.00,-999.00
NESM3,25.78,23.85,-999.00,24.04,-999.00,23.83,-999.00,24.03,32.06,32.96,-999.00,-999.00
NorESM1-F,24.83,23.37,-999.00,23.64,25.67,23.36,-999.00,23.65,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,26.03,24.56,-999.00,24.62,-999.00,24.55,-999.00,24.61,29.92,33.11,-999.00,-999.00
UofT-CCSM-4,22.76,21.40,20.32,-999.00,-999.00,21.39,20.32,-999.00,-999.00,-999.00,-999.00,-999.00
