MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.89,-999.00,-999.00, 0.93,-999.00,-999.00,-999.00, 0.91, 1.00, 1.06,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.99, 0.83, 1.03,-999.00, 0.99, 0.83, 1.03,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.89, 1.00, 0.75,-999.00,-999.00, 1.00, 0.74,-999.00, 0.89, 0.52,-999.00,-999.00
CESM2, 0.71, 0.67,-999.00, 0.69,-999.00, 0.66,-999.00, 0.67, 0.96, 1.06,-999.00,-999.00
CNRM-CM5, 0.88, 0.94, 1.00,-999.00,-999.00, 0.93, 0.99,-999.00, 0.90, 0.89,-999.00,-999.00
CNRM-CM6-1, 0.89,-999.00,-999.00, 1.10,-999.00,-999.00,-999.00,-999.00, 0.93, 0.94,-999.00,-999.00
COSMOS-ASO, 1.03,-999.00, 0.90,-999.00,-999.00,-999.00, 0.89,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.70, 0.79,-999.00,-999.00,-999.00, 0.78,-999.00,-999.00, 0.84, 0.85,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.88, 1.01,-999.00,-999.00,-999.00, 1.01,-999.00,-999.00, 0.87,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.65, 0.75,-999.00,-999.00,-999.00, 0.76,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.66, 0.69,-999.00,-999.00,-999.00, 0.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.74, 0.72,-999.00, 0.74,-999.00, 0.70,-999.00, 0.70, 1.14, 1.08,-999.00,-999.00
FGOALS-g2, 0.63, 0.68, 0.62,-999.00,-999.00, 0.68, 0.62,-999.00, 0.59, 0.65,-999.00,-999.00
FGOALS-g3, 0.71, 0.65,-999.00, 0.67,-999.00, 0.64,-999.00, 0.65,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.68, 0.70,-999.00,-999.00,-999.00, 0.69,-999.00,-999.00, 0.81, 0.89,-999.00,-999.00
GISS-E2-1-G, 0.79, 0.78,-999.00, 0.78,-999.00, 0.77,-999.00, 0.77, 0.76, 0.99,-999.00,-999.00
GISS-E2-R, 0.96, 1.08, 0.90,-999.00,-999.00, 1.08, 0.89,-999.00, 0.87, 0.87,-999.00,-999.00
HadCM3, 0.87,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.79, 0.79,-999.00,-999.00,-999.00, 0.79,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.81, 0.83,-999.00,-999.00,-999.00, 0.83,-999.00,-999.00, 1.05, 1.20,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.96,-999.00, 1.00,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.82, 0.93, 0.70, 0.98,-999.00, 0.93, 0.70, 0.98, 0.87, 0.89,-999.00,-999.00
IPSL-CM5A-LR, 0.80, 0.90, 0.75,-999.00,-999.00, 0.90, 0.73,-999.00, 0.84, 0.94,-999.00,-999.00
IPSL-CM6A-LR, 0.94, 1.03,-999.00, 1.22,-999.00, 1.03,-999.00, 1.23, 1.15, 1.35,-999.00,-999.00
KCM1-2-2, 0.65, 0.58,-999.00,-999.00,-999.00, 0.58,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.03, 1.29, 0.75,-999.00,-999.00, 1.29, 0.75, 1.48, 0.84, 0.89,-999.00,-999.00
MIROC-ESM, 0.79, 0.82, 0.84,-999.00,-999.00, 0.81, 0.83,-999.00, 0.82, 0.99,-999.00,-999.00
MPI-ESM1-2-LR, 0.87, 1.01, 0.80,-999.00,-999.00, 1.01,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.91, 1.01, 0.77,-999.00,-999.00, 1.00, 0.75,-999.00, 1.09, 1.00,-999.00,-999.00
MRI-CGCM3, 0.79, 0.84, 0.99,-999.00,-999.00, 0.83, 0.98,-999.00, 0.76, 0.84,-999.00,-999.00
MRI-ESM2-0, 0.88, 1.02,-999.00,-999.00,-999.00, 1.02,-999.00,-999.00, 0.92, 0.91,-999.00,-999.00
NESM3, 1.07, 1.26,-999.00, 1.50,-999.00, 1.26,-999.00, 1.52, 1.24, 1.24,-999.00,-999.00
NorESM1-F, 0.93, 0.97,-999.00, 1.02,-999.00, 0.97,-999.00, 1.02,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.79, 0.81,-999.00,-999.00,-999.00, 0.80,-999.00,-999.00, 0.87, 0.99,-999.00,-999.00
UofT-CCSM-4, 0.80, 0.88, 0.62,-999.00,-999.00, 0.88, 0.61,-999.00,-999.00,-999.00,-999.00,-999.00
