MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.45,-999.00,-999.00, 3.42,-999.00,-999.00,-999.00, 3.27, 3.58, 3.68,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.34, 2.30, 2.17,-999.00, 2.34, 2.26, 2.22,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.69, 2.75, 2.74,-999.00,-999.00, 2.75, 2.70,-999.00, 2.77, 2.93,-999.00,-999.00
CESM2, 3.15, 3.00,-999.00, 2.99,-999.00, 2.96,-999.00, 2.89, 3.38, 3.71,-999.00,-999.00
CNRM-CM5, 2.90, 2.78, 2.34,-999.00,-999.00, 2.78, 2.27,-999.00, 3.24, 3.31,-999.00,-999.00
CNRM-CM6-1, 3.12,-999.00,-999.00, 2.94,-999.00,-999.00,-999.00,-999.00, 3.53, 3.46,-999.00,-999.00
COSMOS-ASO, 2.49,-999.00, 1.80,-999.00,-999.00,-999.00, 1.73,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 2.56, 2.51,-999.00,-999.00,-999.00, 2.49,-999.00,-999.00, 3.00, 3.00,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.39, 2.38,-999.00,-999.00,-999.00, 2.41,-999.00,-999.00, 2.67,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.69, 2.68,-999.00,-999.00,-999.00, 2.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 3.31, 3.20,-999.00,-999.00,-999.00, 3.19,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 3.08, 3.01,-999.00, 3.10,-999.00, 2.94,-999.00, 2.96, 3.54, 3.47,-999.00,-999.00
FGOALS-g2, 2.83, 2.61, 2.00,-999.00,-999.00, 2.61, 1.97,-999.00, 2.64, 3.44,-999.00,-999.00
FGOALS-g3, 3.36, 3.01,-999.00, 3.09,-999.00, 2.98,-999.00, 3.04,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.99, 2.03,-999.00,-999.00,-999.00, 1.99,-999.00,-999.00, 2.33, 2.68,-999.00,-999.00
GISS-E2-1-G, 3.05, 3.16,-999.00, 3.02,-999.00, 3.12,-999.00, 3.03, 3.14, 3.63,-999.00,-999.00
GISS-E2-R, 3.38, 3.45, 2.92,-999.00,-999.00, 3.47, 2.88,-999.00, 3.87, 3.61,-999.00,-999.00
HadCM3, 3.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.88, 2.67,-999.00,-999.00,-999.00, 2.60,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.86, 2.73,-999.00,-999.00,-999.00, 2.64,-999.00,-999.00, 2.88, 2.83,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.24,-999.00, 3.13,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.99, 3.12, 2.78, 3.13,-999.00, 3.12, 2.75, 3.12, 3.08, 3.23,-999.00,-999.00
IPSL-CM5A-LR, 2.94, 2.94, 2.42,-999.00,-999.00, 2.95, 2.37,-999.00, 2.84, 3.16,-999.00,-999.00
IPSL-CM6A-LR, 3.17, 3.09,-999.00, 2.73,-999.00, 3.09,-999.00, 2.83, 3.35, 3.35,-999.00,-999.00
KCM1-2-2, 2.46, 2.38,-999.00,-999.00,-999.00, 2.38,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 3.44, 3.53, 2.48,-999.00,-999.00, 3.62, 2.45, 3.57, 3.86, 3.95,-999.00,-999.00
MIROC-ESM, 3.34, 3.24, 2.78,-999.00,-999.00, 3.27, 2.73,-999.00, 3.32, 3.11,-999.00,-999.00
MPI-ESM1-2-LR, 2.96, 2.78, 2.47,-999.00,-999.00, 2.79,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 2.90, 2.83, 2.20,-999.00,-999.00, 2.85, 2.14,-999.00, 3.05, 3.33,-999.00,-999.00
MRI-CGCM3, 3.51, 3.42, 2.36,-999.00,-999.00, 3.41, 2.28,-999.00, 3.88, 4.15,-999.00,-999.00
MRI-ESM2-0, 3.37, 3.25,-999.00,-999.00,-999.00, 3.26,-999.00,-999.00, 3.97, 4.01,-999.00,-999.00
NESM3, 3.03, 3.23,-999.00, 2.76,-999.00, 3.27,-999.00, 2.90, 3.59, 3.63,-999.00,-999.00
NorESM1-F, 2.46, 2.49,-999.00, 2.36,-999.00, 2.50,-999.00, 2.46,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.80, 2.80,-999.00,-999.00,-999.00, 2.75,-999.00,-999.00, 2.94, 3.48,-999.00,-999.00
UofT-CCSM-4, 2.49, 2.57, 2.28,-999.00,-999.00, 2.57, 2.26,-999.00,-999.00,-999.00,-999.00,-999.00
