MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.77,-999.00,-999.00, 3.91,-999.00,-999.00,-999.00, 3.84, 3.87, 4.20,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.95, 2.61, 3.06,-999.00, 2.93, 2.57, 2.97,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.97, 2.84, 2.43,-999.00,-999.00, 2.83, 2.40,-999.00, 3.53, 3.46,-999.00,-999.00
CESM2, 3.06, 2.87,-999.00, 2.87,-999.00, 2.84,-999.00, 2.82, 3.64, 3.88,-999.00,-999.00
CNRM-CM5, 3.41, 3.27, 2.62,-999.00,-999.00, 3.26, 2.55,-999.00, 3.91, 3.95,-999.00,-999.00
CNRM-CM6-1, 3.45,-999.00,-999.00, 3.31,-999.00,-999.00,-999.00,-999.00, 4.10, 4.15,-999.00,-999.00
COSMOS-ASO, 3.33,-999.00, 2.01,-999.00,-999.00,-999.00, 1.94,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 3.00, 2.93,-999.00,-999.00,-999.00, 2.90,-999.00,-999.00, 3.63, 3.54,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.75, 2.81,-999.00,-999.00,-999.00, 2.78,-999.00,-999.00, 3.17,-999.00,-999.00,-999.00
EC-EARTH-2-2, 3.08, 2.95,-999.00,-999.00,-999.00, 2.94,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 3.46, 3.27,-999.00,-999.00,-999.00, 3.26,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 2.74, 2.65,-999.00, 2.55,-999.00, 2.57,-999.00, 2.48, 3.18, 3.30,-999.00,-999.00
FGOALS-g2, 2.71, 2.54, 2.01,-999.00,-999.00, 2.53, 1.98,-999.00, 2.84, 3.18,-999.00,-999.00
FGOALS-g3, 2.86, 2.51,-999.00, 2.52,-999.00, 2.49,-999.00, 2.48,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.99, 2.85,-999.00,-999.00,-999.00, 2.82,-999.00,-999.00, 3.40, 3.45,-999.00,-999.00
GISS-E2-1-G, 3.16, 3.08,-999.00, 2.97,-999.00, 3.05,-999.00, 2.91, 3.15, 3.59,-999.00,-999.00
GISS-E2-R, 3.42, 3.26, 3.30,-999.00,-999.00, 3.25, 3.27,-999.00, 3.99, 4.04,-999.00,-999.00
HadCM3, 3.17,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 3.41, 3.30,-999.00,-999.00,-999.00, 3.26,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.46, 3.37,-999.00,-999.00,-999.00, 3.33,-999.00,-999.00, 4.02, 3.88,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.32,-999.00, 3.47,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 3.60, 3.55, 2.43, 3.60,-999.00, 3.54, 2.40, 3.56, 3.90, 4.08,-999.00,-999.00
IPSL-CM5A-LR, 3.32, 3.28, 2.32,-999.00,-999.00, 3.27, 2.26,-999.00, 3.42, 3.85,-999.00,-999.00
IPSL-CM6A-LR, 3.92, 3.71,-999.00, 3.78,-999.00, 3.66,-999.00, 3.68, 4.48, 5.56,-999.00,-999.00
KCM1-2-2, 2.46, 2.38,-999.00,-999.00,-999.00, 2.38,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 3.29, 3.15, 2.49,-999.00,-999.00, 3.15, 2.47, 3.15, 3.92, 3.78,-999.00,-999.00
MIROC-ESM, 3.53, 3.44, 2.16,-999.00,-999.00, 3.43, 2.12,-999.00, 3.87, 4.36,-999.00,-999.00
MPI-ESM1-2-LR, 3.46, 3.25, 2.77,-999.00,-999.00, 3.22,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 3.63, 3.44, 2.36,-999.00,-999.00, 3.40, 2.30,-999.00, 4.39, 4.36,-999.00,-999.00
MRI-CGCM3, 3.50, 3.38, 2.61,-999.00,-999.00, 3.36, 2.54,-999.00, 4.04, 4.28,-999.00,-999.00
MRI-ESM2-0, 3.58, 3.40,-999.00,-999.00,-999.00, 3.39,-999.00,-999.00, 4.23, 4.54,-999.00,-999.00
NESM3, 3.93, 3.93,-999.00, 4.00,-999.00, 3.89,-999.00, 3.91, 4.42, 4.65,-999.00,-999.00
NorESM1-F, 2.82, 2.70,-999.00, 2.86,-999.00, 2.69,-999.00, 2.79,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.95, 3.25,-999.00,-999.00,-999.00, 3.21,-999.00,-999.00, 3.44, 3.96,-999.00,-999.00
UofT-CCSM-4, 2.75, 2.68, 2.42,-999.00,-999.00, 2.66, 2.39,-999.00,-999.00,-999.00,-999.00,-999.00
