MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,12.20,-999.00,-999.00,11.81,-999.00,-999.00,-999.00,14.65,18.12,19.33,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,10.75,-8.20, 9.55,-999.00,11.73,-8.28,12.68,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,10.44,10.31,-10.45,-999.00,-999.00,11.36,-10.55,-999.00,15.72,16.09,-999.00,-999.00
CESM2,12.77,13.39,-999.00,12.03,16.83,14.32,-999.00,14.84,18.54,20.42,-999.00,-999.00
CNRM-CM5, 9.39,10.21,-3.65,-999.00,-999.00,11.17,-3.81,-999.00,14.28,15.67,-999.00,-999.00
CNRM-CM6-1,10.84,-999.00,-999.00,10.74,-999.00,-999.00,-999.00,13.52,17.34,18.41,-999.00,-999.00
COSMOS-ASO, 8.61,-999.00,-15.52,-999.00,-999.00,-999.00,-15.62,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 9.88,10.31,-999.00,-999.00,-999.00,11.35,-999.00,-999.00,14.04,15.70,-999.00,-999.00
CSIRO-Mk3L-1-2, 9.46, 9.65,-999.00,-999.00,-999.00,10.77,-999.00,-999.00,13.42,-999.00,-999.00,-999.00
EC-EARTH-2-2, 5.91, 5.93,-999.00,-999.00,-999.00, 6.73,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 8.73, 9.24,-999.00,-999.00,-999.00,10.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 9.69, 9.48,-999.00, 7.75,-999.00,10.36,-999.00,10.35,15.91,15.85,-999.00,-999.00
FGOALS-g2, 6.78, 6.36,-15.99,-999.00,-999.00, 7.44,-16.08,-999.00,12.90,14.35,-999.00,-999.00
FGOALS-g3, 8.58, 8.96,-999.00, 7.66,-999.00, 9.89,-999.00,10.37,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,12.70,12.89,-999.00,-999.00,-999.00,13.90,-999.00,-999.00,18.51,19.59,-999.00,-999.00
GISS-E2-1-G,10.28,10.45,-999.00, 9.10,11.31,11.46,-999.00,12.16,11.45,15.49,-999.00,-999.00
GISS-E2-R,10.20,10.18,-7.61,-999.00,-999.00,11.11,-7.69,-999.00,14.76,15.48,-999.00,-999.00
HadCM3, 8.51,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 9.69,10.62,-999.00,-999.00,-999.00,11.69,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,10.69,11.95,-999.00,-999.00,-999.00,12.98,-999.00,-999.00,17.95,20.51,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,12.88,-999.00,14.22,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,10.93,10.92,-10.89, 9.55,-999.00,11.82,-11.00,12.23,14.26,14.93,-999.00,-999.00
IPSL-CM5A-LR, 9.47, 9.99,-13.47,-999.00,-999.00,11.05,-13.56,-999.00,15.66,17.47,-999.00,-999.00
IPSL-CM6A-LR, 9.96,10.06,-999.00, 9.01,13.08,11.14,-999.00,12.25,18.53,23.53,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,11.85,11.45,-6.65, 9.86,-999.00,12.38,-6.75,12.55,16.79,17.52,-999.00,-999.00
MIROC-ESM,12.65,12.47,-12.58,-999.00,-999.00,13.38,-12.67,-999.00,18.51,20.77,-999.00,-999.00
MPI-ESM1-2-LR, 9.05, 9.22,-9.19, 9.17,-999.00,10.18,-999.00, 8.80,16.90,16.93,-999.00,-999.00
MPI-ESM-P, 9.62, 9.96,-12.96,-999.00,-999.00,10.89,-13.03,-999.00,16.40,18.11,-999.00,-999.00
MRI-CGCM3, 7.59, 7.96,-9.94,-999.00,-999.00, 8.98,-10.08,-999.00,11.82,12.77,-999.00,-999.00
MRI-ESM2-0, 9.62, 9.76,-999.00,-999.00,-999.00,10.79,-999.00,-999.00,13.87,15.07,-999.00,-999.00
NESM3,11.93,11.23,-999.00,10.20,-999.00,12.27,-999.00,13.33,21.20,21.81,-999.00,-999.00
NorESM1-F,11.28,11.26,-999.00, 9.35,14.54,12.35,-999.00,12.62,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,12.44,12.99,-999.00,11.60,-999.00,14.00,-999.00,14.70,17.75,19.95,-999.00,-999.00
UofT-CCSM-4, 9.67, 9.72,-8.87,-999.00,-999.00,10.83,-8.97,-999.00,-999.00,-999.00,-999.00,-999.00
