MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 9.84,-999.00,-999.00, 9.36,-999.00,-999.00,-999.00, 8.94,14.98,16.17,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 5.56,-9.52, 6.31,-999.00, 5.69,-9.55, 6.05,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 9.21, 7.81,-10.32,-999.00,-999.00, 7.91,-10.35,-999.00,14.33,14.81,-999.00,-999.00
CESM2, 8.21, 6.42,-999.00, 6.41,14.83, 6.57,-999.00, 6.09,14.54,17.00,-999.00,-999.00
CNRM-CM5, 6.02, 5.09,-10.78,-999.00,-999.00, 5.21,-10.82,-999.00,10.57,11.66,-999.00,-999.00
CNRM-CM6-1, 6.77,-999.00,-999.00, 5.90,-999.00,-999.00,-999.00, 5.66,12.64,13.60,-999.00,-999.00
COSMOS-ASO, 7.31,-999.00,-16.61,-999.00,-999.00,-999.00,-16.65,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 7.24, 6.38,-999.00,-999.00,-999.00, 6.50,-999.00,-999.00,11.20,13.23,-999.00,-999.00
CSIRO-Mk3L-1-2, 7.51, 7.03,-999.00,-999.00,-999.00, 7.14,-999.00,-999.00,11.54,-999.00,-999.00,-999.00
EC-EARTH-2-2, 3.99, 2.82,-999.00,-999.00,-999.00, 2.95,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 4.22, 2.94,-999.00,-999.00,-999.00, 3.06,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 7.09, 5.67,-999.00, 6.13,-999.00, 5.86,-999.00, 5.89,13.86,13.67,-999.00,-999.00
FGOALS-g2, 4.48, 2.81,-15.05,-999.00,-999.00, 2.94,-15.08,-999.00, 9.50,10.48,-999.00,-999.00
FGOALS-g3, 5.72, 4.59,-999.00, 5.83,-999.00, 4.72,-999.00, 5.57,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 8.28, 7.02,-999.00,-999.00,-999.00, 7.14,-999.00,-999.00,13.21,14.10,-999.00,-999.00
GISS-E2-1-G, 7.67, 6.18,-999.00, 6.87,10.27, 6.30,-999.00, 6.61, 8.77,12.71,-999.00,-999.00
GISS-E2-R, 8.01, 6.96,-5.65,-999.00,-999.00, 7.06,-5.67,-999.00,12.17,13.03,-999.00,-999.00
HadCM3, 6.99,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 7.67, 6.81,-999.00,-999.00,-999.00, 6.95,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 9.10, 8.22,-999.00,-999.00,-999.00, 8.34,-999.00,-999.00,14.72,16.56,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 4.97,-999.00, 5.46,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 8.68, 7.20,-11.25, 7.54,-999.00, 7.33,-11.29, 7.28,12.28,13.03,-999.00,-999.00
IPSL-CM5A-LR, 5.89, 4.83,-15.38,-999.00,-999.00, 4.95,-15.41,-999.00,11.26,12.15,-999.00,-999.00
IPSL-CM6A-LR, 5.43, 3.64,-999.00, 4.33, 8.32, 3.79,-999.00, 4.02,12.97,16.76,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 9.85, 7.98,-5.03, 8.90,-999.00, 8.13,-5.07, 8.64,15.05,16.03,-999.00,-999.00
MIROC-ESM, 9.90, 8.59,-13.57,-999.00,-999.00, 8.73,-13.61,-999.00,16.98,18.54,-999.00,-999.00
MPI-ESM1-2-LR, 6.20, 4.56,-10.48,10.67,-999.00, 4.69,-999.00,10.71,12.57,12.80,-999.00,-999.00
MPI-ESM-P, 6.76, 5.65,-14.34,-999.00,-999.00, 5.77,-14.37,-999.00,11.59,13.23,-999.00,-999.00
MRI-CGCM3, 5.89, 5.25,-10.89,-999.00,-999.00, 5.36,-10.93,-999.00, 9.09, 9.92,-999.00,-999.00
MRI-ESM2-0, 6.93, 5.64,-999.00,-999.00,-999.00, 5.76,-999.00,-999.00,10.92,12.32,-999.00,-999.00
NESM3, 7.68, 5.44,-999.00, 6.45,-999.00, 5.57,-999.00, 6.19,14.58,15.90,-999.00,-999.00
NorESM1-F,10.59, 9.45,-999.00,10.52,12.53, 9.55,-999.00,10.28,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 9.59, 8.09,-999.00, 8.88,-999.00, 8.20,-999.00, 8.61,14.96,17.41,-999.00,-999.00
UofT-CCSM-4, 8.00, 6.69,-8.82,-999.00,-999.00, 6.79,-8.85,-999.00,-999.00,-999.00,-999.00,-999.00
